Name,Size / Usage,Context,Input,Digest,Updated
deepseek-coder:latest,776MB,16K,Text,3ddd2d3fc8d2,2 years ago
deepseek-coder:base,776MB,16K,Text,3b417b786925,2 years ago
deepseek-coder:instruct,776MB,16K,Text,3ddd2d3fc8d2,2 years ago
deepseek-coder:1.3b,776MB,16K,Text,3ddd2d3fc8d2,2 years ago
deepseek-coder:6.7b,3.8GB,16K,Text,ce298d984115,2 years ago
deepseek-coder:33b,19GB,16K,Text,acec7c0b0fd9,2 years ago
deepseek-coder:1.3b-base,776MB,16K,Text,3b417b786925,2 years ago
deepseek-coder:1.3b-base-q2_K,632MB,16K,Text,b4f8c7285df8,2 years ago
deepseek-coder:1.3b-base-q3_K_S,659MB,16K,Text,3a3c3bc11d11,2 years ago
deepseek-coder:1.3b-base-q3_K_M,705MB,16K,Text,08722dd8ec98,2 years ago
deepseek-coder:1.3b-base-q3_K_L,745MB,16K,Text,9884474f8e97,2 years ago
deepseek-coder:1.3b-base-q4_0,776MB,16K,Text,3b417b786925,2 years ago
deepseek-coder:1.3b-base-q4_1,856MB,16K,Text,75c6c24f8b9a,2 years ago
deepseek-coder:1.3b-base-q4_K_S,815MB,16K,Text,2c83b95953cd,2 years ago
deepseek-coder:1.3b-base-q4_K_M,874MB,16K,Text,4e17652b15c5,2 years ago
deepseek-coder:1.3b-base-q5_0,936MB,16K,Text,2d4798d07377,2 years ago
deepseek-coder:1.3b-base-q5_1,1.0GB,16K,Text,2eb01ebad3f6,2 years ago
deepseek-coder:1.3b-base-q5_K_S,953MB,16K,Text,f2689d6fec98,2 years ago
deepseek-coder:1.3b-base-q5_K_M,1.0GB,16K,Text,2940f35e76bc,2 years ago
deepseek-coder:1.3b-base-q6_K,1.2GB,16K,Text,87397ba29cd4,2 years ago
deepseek-coder:1.3b-base-q8_0,1.4GB,16K,Text,71f702eff852,2 years ago
deepseek-coder:1.3b-base-fp16,2.7GB,16K,Text,02b95acb6d92,2 years ago
deepseek-coder:1.3b-instruct,776MB,16K,Text,3ddd2d3fc8d2,2 years ago
deepseek-coder:1.3b-instruct-q2_K,632MB,16K,Text,1ad28239dd09,2 years ago
deepseek-coder:1.3b-instruct-q3_K_S,659MB,16K,Text,4c1eaf4c63f8,2 years ago
deepseek-coder:1.3b-instruct-q3_K_M,705MB,16K,Text,1cd27a52ef39,2 years ago
deepseek-coder:1.3b-instruct-q3_K_L,745MB,16K,Text,0d2f32faf31e,2 years ago
deepseek-coder:1.3b-instruct-q4_0,776MB,16K,Text,3ddd2d3fc8d2,2 years ago
deepseek-coder:1.3b-instruct-q4_1,856MB,16K,Text,403b7eec078d,2 years ago
deepseek-coder:1.3b-instruct-q4_K_S,815MB,16K,Text,47ca84afbf6d,2 years ago
deepseek-coder:1.3b-instruct-q4_K_M,874MB,16K,Text,d84d8a173290,2 years ago
deepseek-coder:1.3b-instruct-q5_0,936MB,16K,Text,5f4cd944cf61,2 years ago
deepseek-coder:1.3b-instruct-q5_1,1.0GB,16K,Text,334319021268,2 years ago
deepseek-coder:1.3b-instruct-q5_K_S,953MB,16K,Text,ca290ca9a10a,2 years ago
deepseek-coder:1.3b-instruct-q5_K_M,1.0GB,16K,Text,2ff0e9282aba,2 years ago
deepseek-coder:1.3b-instruct-q6_K,1.2GB,16K,Text,ce574ed6d34f,2 years ago
deepseek-coder:1.3b-instruct-q8_0,1.4GB,16K,Text,44e92342b6c8,2 years ago
deepseek-coder:1.3b-instruct-fp16,2.7GB,16K,Text,89aaa860fc95,2 years ago
deepseek-coder:6.7b-base,3.8GB,16K,Text,585a5cb3b219,2 years ago
deepseek-coder:6.7b-base-q2_K,2.8GB,16K,Text,e13d22daf157,2 years ago
deepseek-coder:6.7b-base-q3_K_S,3.0GB,16K,Text,ef853316467f,2 years ago
deepseek-coder:6.7b-base-q3_K_M,3.3GB,16K,Text,22ce0a5b45b2,2 years ago
deepseek-coder:6.7b-base-q3_K_L,3.6GB,16K,Text,29f806615022,2 years ago
deepseek-coder:6.7b-base-q4_0,3.8GB,16K,Text,585a5cb3b219,2 years ago
deepseek-coder:6.7b-base-q4_1,4.2GB,16K,Text,a269275b3473,2 years ago
deepseek-coder:6.7b-base-q4_K_S,3.9GB,16K,Text,b199f259ba9d,2 years ago
deepseek-coder:6.7b-base-q4_K_M,4.1GB,16K,Text,c12c864e1264,2 years ago
deepseek-coder:6.7b-base-q5_0,4.7GB,16K,Text,bcea528a2f2f,2 years ago
deepseek-coder:6.7b-base-q5_1,5.1GB,16K,Text,c5ee75dc71c8,2 years ago
deepseek-coder:6.7b-base-q5_K_S,4.7GB,16K,Text,dcff193117f4,2 years ago
deepseek-coder:6.7b-base-q5_K_M,4.8GB,16K,Text,5d67f76f7c57,2 years ago
deepseek-coder:6.7b-base-q6_K,5.5GB,16K,Text,b91bf20f5a3c,2 years ago
deepseek-coder:6.7b-base-q8_0,7.2GB,16K,Text,570c490f997d,2 years ago
deepseek-coder:6.7b-base-fp16,13GB,16K,Text,bc2d4c7ea23e,2 years ago
deepseek-coder:6.7b-instruct,3.8GB,16K,Text,ce298d984115,2 years ago
deepseek-coder:6.7b-instruct-q2_K,2.8GB,16K,Text,6fd7b2652ba7,2 years ago
deepseek-coder:6.7b-instruct-q3_K_S,3.0GB,16K,Text,38bce866b00f,2 years ago
deepseek-coder:6.7b-instruct-q3_K_M,3.3GB,16K,Text,27c2e4ed6a59,2 years ago
deepseek-coder:6.7b-instruct-q3_K_L,3.6GB,16K,Text,ea00a885753e,2 years ago
deepseek-coder:6.7b-instruct-q4_0,3.8GB,16K,Text,ce298d984115,2 years ago
deepseek-coder:6.7b-instruct-q4_1,4.2GB,16K,Text,4c147a2a4536,2 years ago
deepseek-coder:6.7b-instruct-q4_K_S,3.9GB,16K,Text,aa47b230dd4a,2 years ago
deepseek-coder:6.7b-instruct-q4_K_M,4.1GB,16K,Text,af6da0444f84,2 years ago
deepseek-coder:6.7b-instruct-q5_0,4.7GB,16K,Text,24c6f279a2a3,2 years ago
deepseek-coder:6.7b-instruct-q5_1,5.1GB,16K,Text,e13a2f5b13e6,2 years ago
deepseek-coder:6.7b-instruct-q5_K_S,4.7GB,16K,Text,fa9d8a78ef0d,2 years ago
deepseek-coder:6.7b-instruct-q5_K_M,4.8GB,16K,Text,d6a1221fb5ff,2 years ago
deepseek-coder:6.7b-instruct-q6_K,5.5GB,16K,Text,5b1241961817,2 years ago
deepseek-coder:6.7b-instruct-q8_0,7.2GB,16K,Text,54b58e32d587,2 years ago
deepseek-coder:6.7b-instruct-fp16,13GB,16K,Text,5421a6319130,2 years ago
deepseek-coder:33b-base,19GB,16K,Text,ca50732c8ee1,2 years ago
deepseek-coder:33b-base-q2_K,14GB,16K,Text,c1a84861e5df,2 years ago
deepseek-coder:33b-base-q3_K_S,14GB,16K,Text,29b391c03801,2 years ago
deepseek-coder:33b-base-q3_K_M,16GB,16K,Text,fdb6068cec14,2 years ago
deepseek-coder:33b-base-q3_K_L,18GB,16K,Text,e47bf0616d0d,2 years ago
deepseek-coder:33b-base-q4_0,19GB,16K,Text,ca50732c8ee1,2 years ago
deepseek-coder:33b-base-q4_1,21GB,16K,Text,d09dd3fe1448,2 years ago
deepseek-coder:33b-base-q4_K_S,19GB,16K,Text,012e92746442,2 years ago
deepseek-coder:33b-base-q4_K_M,20GB,16K,Text,a205c1c80cf6,2 years ago
deepseek-coder:33b-base-q5_0,23GB,16K,Text,a6c33a2e9332,2 years ago
deepseek-coder:33b-base-q5_1,25GB,16K,Text,ba34d0e6ade6,2 years ago
deepseek-coder:33b-base-q5_K_S,23GB,16K,Text,b9fef6f330c5,2 years ago
deepseek-coder:33b-base-q5_K_M,24GB,16K,Text,2260429a178c,2 years ago
deepseek-coder:33b-base-q6_K,27GB,16K,Text,4cb5c88ab035,2 years ago
deepseek-coder:33b-base-q8_0,35GB,16K,Text,1779efbb95d3,2 years ago
deepseek-coder:33b-base-fp16,67GB,16K,Text,eed8d5b0dfcc,2 years ago
deepseek-coder:33b-instruct,19GB,16K,Text,acec7c0b0fd9,2 years ago
deepseek-coder:33b-instruct-q2_K,14GB,16K,Text,cb08fe026ad3,2 years ago
deepseek-coder:33b-instruct-q3_K_S,14GB,16K,Text,a97a97b70cb4,2 years ago
deepseek-coder:33b-instruct-q3_K_M,16GB,16K,Text,e31fcc644c53,2 years ago
deepseek-coder:33b-instruct-q3_K_L,18GB,16K,Text,070ae915fa23,2 years ago
deepseek-coder:33b-instruct-q4_0,19GB,16K,Text,acec7c0b0fd9,2 years ago
deepseek-coder:33b-instruct-q4_1,21GB,16K,Text,d59c6d5d79ac,2 years ago
deepseek-coder:33b-instruct-q4_K_S,19GB,16K,Text,8f5d0f5ef4e5,2 years ago
deepseek-coder:33b-instruct-q4_K_M,20GB,16K,Text,92b0c569c0df,2 years ago
deepseek-coder:33b-instruct-q5_0,23GB,16K,Text,c41da1e19678,2 years ago
deepseek-coder:33b-instruct-q5_1,25GB,16K,Text,11fccea78dbe,2 years ago
deepseek-coder:33b-instruct-q5_K_S,23GB,16K,Text,f1d23826a886,2 years ago
deepseek-coder:33b-instruct-q5_K_M,24GB,16K,Text,bd4a96fb44c0,2 years ago
deepseek-coder:33b-instruct-q6_K,27GB,16K,Text,d44c67a95e2a,2 years ago
deepseek-coder:33b-instruct-q8_0,35GB,16K,Text,1b30ba8b1b95,2 years ago
deepseek-coder:33b-instruct-fp16,67GB,16K,Text,b54904179335,2 years ago
