Name,Size / Usage,Context,Input,Digest,Updated
deepseek-r1:latest,5.2GB,128K,Text,6995872bfe4c,1 year ago
deepseek-r1:1.5b,1.1GB,128K,Text,e0979632db5a,1 year ago
deepseek-r1:7b,4.7GB,128K,Text,755ced02ce7b,1 year ago
deepseek-r1:8b,5.2GB,128K,Text,6995872bfe4c,1 year ago
deepseek-r1:14b,9.0GB,128K,Text,c333b7232bdb,1 year ago
deepseek-r1:32b,20GB,128K,Text,edba8017331d,1 year ago
deepseek-r1:70b,43GB,128K,Text,d37b54d01a76,1 year ago
deepseek-r1:671b,404GB,160K,Text,14a4e575643d,1 year ago
deepseek-r1:1.5b-qwen-distill-q4_K_M,1.1GB,128K,Text,e0979632db5a,1 year ago
deepseek-r1:1.5b-qwen-distill-q8_0,1.9GB,128K,Text,21c9dbd320fa,1 year ago
deepseek-r1:1.5b-qwen-distill-fp16,3.6GB,128K,Text,80c3a3c97773,1 year ago
deepseek-r1:7b-qwen-distill-q4_K_M,4.7GB,128K,Text,755ced02ce7b,1 year ago
deepseek-r1:7b-qwen-distill-q8_0,8.1GB,128K,Text,1b1708b22a5f,1 year ago
deepseek-r1:7b-qwen-distill-fp16,15GB,128K,Text,e18c08316744,1 year ago
deepseek-r1:8b-0528-qwen3-q4_K_M,5.2GB,128K,Text,6995872bfe4c,1 year ago
deepseek-r1:8b-0528-qwen3-q8_0,8.9GB,128K,Text,cade62fd2850,1 year ago
deepseek-r1:8b-0528-qwen3-fp16,16GB,128K,Text,a5f168330005,1 year ago
deepseek-r1:8b-llama-distill-q4_K_M,4.9GB,128K,Text,9e54bf95550c,1 year ago
deepseek-r1:8b-llama-distill-q8_0,8.5GB,128K,Text,744d1ee47c3d,1 year ago
deepseek-r1:8b-llama-distill-fp16,16GB,128K,Text,859adef8321e,1 year ago
deepseek-r1:14b-qwen-distill-q4_K_M,9.0GB,128K,Text,c333b7232bdb,1 year ago
deepseek-r1:14b-qwen-distill-q8_0,16GB,128K,Text,b3c61716272d,1 year ago
deepseek-r1:14b-qwen-distill-fp16,30GB,128K,Text,7c72950ea94e,1 year ago
deepseek-r1:32b-qwen-distill-q4_K_M,20GB,128K,Text,edba8017331d,1 year ago
deepseek-r1:32b-qwen-distill-q8_0,35GB,128K,Text,b177522350a4,1 year ago
deepseek-r1:32b-qwen-distill-fp16,66GB,128K,Text,20ed0f80363b,1 year ago
deepseek-r1:70b-llama-distill-q4_K_M,43GB,128K,Text,d37b54d01a76,1 year ago
deepseek-r1:70b-llama-distill-q8_0,75GB,128K,Text,98d07a28d239,1 year ago
deepseek-r1:70b-llama-distill-fp16,141GB,128K,Text,7a7636f7c9fd,1 year ago
deepseek-r1:671b-0528-q4_K_M,404GB,160K,Text,14a4e575643d,1 year ago
deepseek-r1:671b-0528-q8_0,713GB,160K,Text,c483e7c247e3,1 year ago
deepseek-r1:671b-0528-fp16,1.3TB,160K,Text,0eabebef839b,1 year ago
deepseek-r1:671b-q4_K_M,404GB,160K,Text,58e944f7074d,1 year ago
deepseek-r1:671b-q8_0,713GB,160K,Text,00fb327206ce,1 year ago
deepseek-r1:671b-fp16,1.3TB,160K,Text,3f9ee65b4e69,1 year ago
