Name,Size / Usage,Context,Input
codegemma:latest,5.0GB,8K,Text
codegemma:code,1.6GB,8K,Text
codegemma:instruct,5.0GB,8K,Text
codegemma:2b,1.6GB,8K,Text
codegemma:7b,5.0GB,8K,Text
codegemma:2b-code,1.6GB,8K,Text
codegemma:2b-code-q2_K,1.2GB,8K,Text
codegemma:2b-code-v1.1-q2_K,1.2GB,8K,Text
codegemma:2b-code-q3_K_S,1.3GB,8K,Text
codegemma:2b-code-v1.1-q3_K_S,1.3GB,8K,Text
codegemma:2b-code-q3_K_M,1.4GB,8K,Text
codegemma:2b-code-v1.1-q3_K_M,1.4GB,8K,Text
codegemma:2b-code-q3_K_L,1.5GB,8K,Text
codegemma:2b-code-v1.1-q3_K_L,1.5GB,8K,Text
codegemma:2b-code-q4_0,1.6GB,8K,Text
codegemma:2b-code-v1.1-q4_0,1.6GB,8K,Text
codegemma:2b-code-q4_1,1.7GB,8K,Text
codegemma:2b-code-v1.1-q4_1,1.7GB,8K,Text
codegemma:2b-code-q4_K_S,1.6GB,8K,Text
codegemma:2b-code-v1.1-q4_K_S,1.6GB,8K,Text
codegemma:2b-code-q4_K_M,1.6GB,8K,Text
codegemma:2b-code-v1.1-q4_K_M,1.6GB,8K,Text
codegemma:2b-code-q5_0,1.8GB,8K,Text
codegemma:2b-code-v1.1-q5_0,1.8GB,8K,Text
codegemma:2b-code-q5_1,1.9GB,8K,Text
codegemma:2b-code-v1.1-q5_1,1.9GB,8K,Text
codegemma:2b-code-q5_K_S,1.8GB,8K,Text
codegemma:2b-code-v1.1-q5_K_S,1.8GB,8K,Text
codegemma:2b-code-q5_K_M,1.8GB,8K,Text
codegemma:2b-code-v1.1-q5_K_M,1.8GB,8K,Text
codegemma:2b-code-q6_K,2.1GB,8K,Text
codegemma:2b-code-v1.1-q6_K,2.1GB,8K,Text
codegemma:2b-code-q8_0,2.7GB,8K,Text
codegemma:2b-code-v1.1-q8_0,2.7GB,8K,Text
codegemma:2b-code-fp16,5.0GB,8K,Text
codegemma:2b-code-v1.1-fp16,5.0GB,8K,Text
codegemma:2b-v1.1,1.6GB,8K,Text
codegemma:7b-code,5.0GB,8K,Text
codegemma:7b-code-q2_K,3.5GB,8K,Text
codegemma:7b-code-q3_K_S,4.0GB,8K,Text
codegemma:7b-code-q3_K_M,4.4GB,8K,Text
codegemma:7b-code-q3_K_L,4.7GB,8K,Text
codegemma:7b-code-q4_0,5.0GB,8K,Text
codegemma:7b-code-q4_1,5.5GB,8K,Text
codegemma:7b-code-q4_K_S,5.0GB,8K,Text
codegemma:7b-code-q4_K_M,5.3GB,8K,Text
codegemma:7b-code-q5_0,6.0GB,8K,Text
codegemma:7b-code-q5_1,6.5GB,8K,Text
codegemma:7b-code-q5_K_S,6.0GB,8K,Text
codegemma:7b-code-q5_K_M,6.1GB,8K,Text
codegemma:7b-code-q6_K,7.0GB,8K,Text
codegemma:7b-code-q8_0,9.1GB,8K,Text
codegemma:7b-code-fp16,17GB,8K,Text
codegemma:7b-instruct,5.0GB,8K,Text
codegemma:7b-instruct-q2_K,3.5GB,8K,Text
codegemma:7b-instruct-v1.1-q2_K,3.5GB,8K,Text
codegemma:7b-instruct-q3_K_S,4.0GB,8K,Text
codegemma:7b-instruct-v1.1-q3_K_S,4.0GB,8K,Text
codegemma:7b-instruct-q3_K_M,4.4GB,8K,Text
codegemma:7b-instruct-v1.1-q3_K_M,4.4GB,8K,Text
codegemma:7b-instruct-q3_K_L,4.7GB,8K,Text
codegemma:7b-instruct-v1.1-q3_K_L,4.7GB,8K,Text
codegemma:7b-instruct-q4_0,5.0GB,8K,Text
codegemma:7b-instruct-v1.1-q4_0,5.0GB,8K,Text
codegemma:7b-instruct-q4_1,5.5GB,8K,Text
codegemma:7b-instruct-v1.1-q4_1,5.5GB,8K,Text
codegemma:7b-instruct-q4_K_S,5.0GB,8K,Text
codegemma:7b-instruct-v1.1-q4_K_S,5.0GB,8K,Text
codegemma:7b-instruct-q4_K_M,5.3GB,8K,Text
codegemma:7b-instruct-v1.1-q4_K_M,5.3GB,8K,Text
codegemma:7b-instruct-q5_0,6.0GB,8K,Text
codegemma:7b-instruct-v1.1-q5_0,6.0GB,8K,Text
codegemma:7b-instruct-q5_1,6.5GB,8K,Text
codegemma:7b-instruct-v1.1-q5_1,6.5GB,8K,Text
codegemma:7b-instruct-q5_K_S,6.0GB,8K,Text
codegemma:7b-instruct-v1.1-q5_K_S,6.0GB,8K,Text
codegemma:7b-instruct-q5_K_M,6.1GB,8K,Text
codegemma:7b-instruct-v1.1-q5_K_M,6.1GB,8K,Text
codegemma:7b-instruct-q6_K,7.0GB,8K,Text
codegemma:7b-instruct-v1.1-q6_K,7.0GB,8K,Text
codegemma:7b-instruct-q8_0,9.1GB,8K,Text
codegemma:7b-instruct-v1.1-q8_0,9.1GB,8K,Text
codegemma:7b-instruct-fp16,17GB,8K,Text
codegemma:7b-instruct-v1.1-fp16,17GB,8K,Text
codegemma:7b-v1.1,5.0GB,8K,Text
