Name,Size / Usage,Context,Input,Digest,Updated
gemma:latest,5.0GB,8K,Text,a72c7f4d0a15,2 years ago
gemma:instruct,5.0GB,8K,Text,a72c7f4d0a15,2 years ago
gemma:text,5.2GB,8K,Text,af57093b878e,2 years ago
gemma:v1.1,5.0GB,8K,Text,a72c7f4d0a15,2 years ago
gemma:2b,1.7GB,8K,Text,b50d6c999e59,2 years ago
gemma:7b,5.0GB,8K,Text,a72c7f4d0a15,2 years ago
gemma:2b-instruct,1.6GB,8K,Text,030ee63283b5,2 years ago
gemma:2b-instruct-q2_K,1.3GB,8K,Text,462aa639add9,2 years ago
gemma:2b-instruct-v1.1-q2_K,1.2GB,8K,Text,8be00e58cf4f,2 years ago
gemma:2b-instruct-q3_K_S,1.4GB,8K,Text,1147ae8910c1,2 years ago
gemma:2b-instruct-v1.1-q3_K_S,1.3GB,8K,Text,fa7ef5ec4918,2 years ago
gemma:2b-instruct-q3_K_M,1.5GB,8K,Text,0bb5a6a99256,2 years ago
gemma:2b-instruct-v1.1-q3_K_M,1.4GB,8K,Text,5bb1882722eb,2 years ago
gemma:2b-instruct-q3_K_L,1.6GB,8K,Text,a5e1a96f2947,2 years ago
gemma:2b-instruct-v1.1-q3_K_L,1.5GB,8K,Text,198260e1ebc4,2 years ago
gemma:2b-instruct-q4_0,1.7GB,8K,Text,b50d6c999e59,2 years ago
gemma:2b-instruct-v1.1-q4_0,1.6GB,8K,Text,030ee63283b5,2 years ago
gemma:2b-instruct-q4_1,1.8GB,8K,Text,79f47baf629d,2 years ago
gemma:2b-instruct-v1.1-q4_1,1.7GB,8K,Text,7eceb81ab6c2,2 years ago
gemma:2b-instruct-q4_K_S,1.7GB,8K,Text,1f62e695daaf,2 years ago
gemma:2b-instruct-v1.1-q4_K_S,1.6GB,8K,Text,0c8c655954ea,2 years ago
gemma:2b-instruct-q4_K_M,1.8GB,8K,Text,073d0876d678,2 years ago
gemma:2b-instruct-v1.1-q4_K_M,1.6GB,8K,Text,1a26b1fdc8cf,2 years ago
gemma:2b-instruct-q5_0,1.9GB,8K,Text,f2e0978e20a7,2 years ago
gemma:2b-instruct-v1.1-q5_0,1.8GB,8K,Text,08119f9e759a,2 years ago
gemma:2b-instruct-q5_1,2.1GB,8K,Text,2005cd5b9f9a,2 years ago
gemma:2b-instruct-v1.1-q5_1,1.9GB,8K,Text,c30cb73e47bb,2 years ago
gemma:2b-instruct-q5_K_S,1.9GB,8K,Text,466d55f10b72,2 years ago
gemma:2b-instruct-v1.1-q5_K_S,1.8GB,8K,Text,86981b46f254,2 years ago
gemma:2b-instruct-q5_K_M,2.0GB,8K,Text,79fe7a4a6e26,2 years ago
gemma:2b-instruct-v1.1-q5_K_M,1.8GB,8K,Text,8b4445dd0168,2 years ago
gemma:2b-instruct-q6_K,2.2GB,8K,Text,2934d89f4873,2 years ago
gemma:2b-instruct-v1.1-q6_K,2.1GB,8K,Text,25735feffbe0,2 years ago
gemma:2b-instruct-q8_0,2.7GB,8K,Text,233b6c11a9a9,2 years ago
gemma:2b-instruct-v1.1-q8_0,2.7GB,8K,Text,040645156534,2 years ago
gemma:2b-instruct-fp16,4.5GB,8K,Text,1cca4a1914b8,2 years ago
gemma:2b-instruct-v1.1-fp16,5.0GB,8K,Text,fa8ddc50dcc2,2 years ago
gemma:2b-text,1.7GB,8K,Text,4003359bdf67,2 years ago
gemma:2b-text-q2_K,1.3GB,8K,Text,fa08f447fb74,2 years ago
gemma:2b-text-q3_K_S,1.4GB,8K,Text,30edc7975a67,2 years ago
gemma:2b-text-q3_K_M,1.5GB,8K,Text,3755aa666a62,2 years ago
gemma:2b-text-q3_K_L,1.6GB,8K,Text,fb3cb86ed3a0,2 years ago
gemma:2b-text-q4_0,1.7GB,8K,Text,4003359bdf67,2 years ago
gemma:2b-text-q4_1,1.8GB,8K,Text,2336b3481fc2,2 years ago
gemma:2b-text-q4_K_S,1.7GB,8K,Text,e1f170c66fed,2 years ago
gemma:2b-text-q4_K_M,1.8GB,8K,Text,14b9181dd33c,2 years ago
gemma:2b-text-q5_0,1.9GB,8K,Text,b82a85f35c76,2 years ago
gemma:2b-text-q5_1,2.1GB,8K,Text,af9d160f687e,2 years ago
gemma:2b-text-q5_K_S,1.9GB,8K,Text,dbbce6ea20a0,2 years ago
gemma:2b-text-q5_K_M,2.0GB,8K,Text,75095004592a,2 years ago
gemma:2b-text-q6_K,2.2GB,8K,Text,5bd4a449bdbe,2 years ago
gemma:2b-text-q8_0,2.7GB,8K,Text,40e5082de8d9,2 years ago
