Name,Size / Usage,Context,Input,Digest,Updated
gemma2:latest,5.4GB,8K,Text,ff02c3702f32,2 years ago
gemma2:2b,1.6GB,8K,Text,8ccf136fdd52,2 years ago
gemma2:9b,5.4GB,8K,Text,ff02c3702f32,2 years ago
gemma2:27b,16GB,8K,Text,53261bc9c192,2 years ago
gemma2:2b-instruct-q2_K,1.2GB,8K,Text,470392386d3f,2 years ago
gemma2:2b-instruct-q3_K_S,1.4GB,8K,Text,23e3c31b0102,2 years ago
gemma2:2b-instruct-q3_K_M,1.5GB,8K,Text,c9f6dc0ebba9,2 years ago
gemma2:2b-instruct-q3_K_L,1.6GB,8K,Text,3f4d7eff5631,2 years ago
gemma2:2b-instruct-q4_0,1.6GB,8K,Text,8ccf136fdd52,2 years ago
gemma2:2b-instruct-q4_1,1.8GB,8K,Text,147febd40666,2 years ago
gemma2:2b-instruct-q4_K_S,1.6GB,8K,Text,832970b742f1,2 years ago
gemma2:2b-instruct-q4_K_M,1.7GB,8K,Text,cb2d06dce813,2 years ago
gemma2:2b-instruct-q5_0,1.9GB,8K,Text,33c77c94b6d9,2 years ago
gemma2:2b-instruct-q5_1,2.0GB,8K,Text,3d4744db4971,2 years ago
gemma2:2b-instruct-q5_K_S,1.9GB,8K,Text,6ced300e723a,2 years ago
gemma2:2b-instruct-q5_K_M,1.9GB,8K,Text,44b731fe20db,2 years ago
gemma2:2b-instruct-q6_K,2.2GB,8K,Text,6c5eedbb9189,2 years ago
gemma2:2b-instruct-q8_0,2.8GB,8K,Text,9d27a8c2325c,2 years ago
gemma2:2b-instruct-fp16,5.2GB,8K,Text,ca5f76641a2a,2 years ago
gemma2:2b-text-q2_K,1.2GB,8K,Text,dc8ae2e5288f,2 years ago
gemma2:2b-text-q3_K_S,1.4GB,8K,Text,79e51c86c582,2 years ago
gemma2:2b-text-q3_K_M,1.5GB,8K,Text,d1fbc3646636,2 years ago
gemma2:2b-text-q3_K_L,1.6GB,8K,Text,3bb5d7d90c92,2 years ago
gemma2:2b-text-q4_0,1.6GB,8K,Text,3e796d92bb34,2 years ago
gemma2:2b-text-q4_1,1.8GB,8K,Text,47a5df96d4e0,2 years ago
gemma2:2b-text-q4_K_S,1.6GB,8K,Text,d86f9248222e,2 years ago
gemma2:2b-text-q4_K_M,1.7GB,8K,Text,c104b2dcf9cd,2 years ago
gemma2:2b-text-q5_0,1.9GB,8K,Text,5584a807b8ba,2 years ago
gemma2:2b-text-q5_1,2.0GB,8K,Text,6fb41a6313fd,2 years ago
gemma2:2b-text-q5_K_S,1.9GB,8K,Text,a3cd2a717100,2 years ago
gemma2:2b-text-q5_K_M,1.9GB,8K,Text,d298863d20ab,2 years ago
gemma2:2b-text-q6_K,2.2GB,8K,Text,3b637a49f20f,2 years ago
gemma2:2b-text-q8_0,2.8GB,8K,Text,302f408c0774,2 years ago
gemma2:2b-text-fp16,5.2GB,8K,Text,230266e59979,2 years ago
gemma2:9b-instruct-q2_K,3.8GB,8K,Text,592e44efb2df,2 years ago
gemma2:9b-instruct-q3_K_S,4.3GB,8K,Text,1c8775e10b1c,2 years ago
gemma2:9b-instruct-q3_K_M,4.8GB,8K,Text,7461deaf5540,2 years ago
gemma2:9b-instruct-q3_K_L,5.1GB,8K,Text,d714823ae8ef,2 years ago
gemma2:9b-instruct-q4_0,5.4GB,8K,Text,ff02c3702f32,2 years ago
gemma2:9b-instruct-q4_1,6.0GB,8K,Text,5bfc4cf059e2,2 years ago
gemma2:9b-instruct-q4_K_S,5.5GB,8K,Text,3d812e007d80,2 years ago
gemma2:9b-instruct-q4_K_M,5.8GB,8K,Text,c20bec88025f,2 years ago
gemma2:9b-instruct-q5_0,6.5GB,8K,Text,ad7303695a24,2 years ago
gemma2:9b-instruct-q5_1,7.0GB,8K,Text,11404375df45,2 years ago
gemma2:9b-instruct-q5_K_S,6.5GB,8K,Text,6995ad07422a,2 years ago
gemma2:9b-instruct-q5_K_M,6.6GB,8K,Text,272e1f3a41a6,2 years ago
gemma2:9b-instruct-q6_K,7.6GB,8K,Text,3827bab50424,2 years ago
gemma2:9b-instruct-q8_0,9.8GB,8K,Text,54faa8324fdf,2 years ago
gemma2:9b-instruct-fp16,18GB,8K,Text,28e6684b0850,2 years ago
gemma2:9b-text-q2_K,3.8GB,8K,Text,81108b242383,2 years ago
gemma2:9b-text-q3_K_S,4.3GB,8K,Text,021fbe1dc58b,2 years ago
gemma2:9b-text-q3_K_M,4.8GB,8K,Text,e224c0ba8c7c,2 years ago
gemma2:9b-text-q3_K_L,5.1GB,8K,Text,5cb6a0b99634,2 years ago
gemma2:9b-text-q4_0,5.4GB,8K,Text,dedd536d2868,2 years ago
gemma2:9b-text-q4_1,6.0GB,8K,Text,39d615163f3c,2 years ago
gemma2:9b-text-q4_K_S,5.5GB,8K,Text,89a237d62c43,2 years ago
gemma2:9b-text-q4_K_M,5.8GB,8K,Text,f4da9dd04c19,2 years ago
gemma2:9b-text-q5_0,6.5GB,8K,Text,3d1c595d93ad,2 years ago
gemma2:9b-text-q5_1,7.0GB,8K,Text,2c8271d50a2c,2 years ago
gemma2:9b-text-q5_K_S,6.5GB,8K,Text,d569833b0000,2 years ago
gemma2:9b-text-q5_K_M,6.6GB,8K,Text,cb5cdf64cd6a,2 years ago
gemma2:9b-text-q6_K,7.6GB,8K,Text,eecb7df81861,2 years ago
gemma2:9b-text-q8_0,9.8GB,8K,Text,e09381422c99,2 years ago
gemma2:9b-text-fp16,18GB,8K,Text,71ccbb94da28,2 years ago
gemma2:27b-instruct-q2_K,10GB,8K,Text,76893265b678,2 years ago
gemma2:27b-instruct-q3_K_S,12GB,8K,Text,69280a4e9328,2 years ago
gemma2:27b-instruct-q3_K_M,13GB,8K,Text,6a5f9669ec46,2 years ago
gemma2:27b-instruct-q3_K_L,15GB,8K,Text,b4373ced0518,2 years ago
gemma2:27b-instruct-q4_0,16GB,8K,Text,53261bc9c192,2 years ago
gemma2:27b-instruct-q4_1,17GB,8K,Text,00571b7df00d,2 years ago
gemma2:27b-instruct-q4_K_S,16GB,8K,Text,04e31e399ce4,2 years ago
gemma2:27b-instruct-q4_K_M,17GB,8K,Text,cfd95e5696e9,2 years ago
gemma2:27b-instruct-q5_0,19GB,8K,Text,9a3c9159e872,2 years ago
gemma2:27b-instruct-q5_1,21GB,8K,Text,2945f01919f8,2 years ago
gemma2:27b-instruct-q5_K_S,19GB,8K,Text,44414d6eeb99,2 years ago
gemma2:27b-instruct-q5_K_M,19GB,8K,Text,fc62fd7d70c9,2 years ago
gemma2:27b-instruct-q6_K,22GB,8K,Text,42dd7dda6a9b,2 years ago
gemma2:27b-instruct-q8_0,29GB,8K,Text,dab5dca674db,2 years ago
gemma2:27b-instruct-fp16,54GB,8K,Text,4a8f851205c5,2 years ago
gemma2:27b-text-q2_K,10GB,8K,Text,b155db00c442,2 years ago
gemma2:27b-text-q3_K_S,12GB,8K,Text,5005188f3c9f,2 years ago
gemma2:27b-text-q3_K_M,13GB,8K,Text,a0339d8fbaca,2 years ago
gemma2:27b-text-q3_K_L,15GB,8K,Text,141000b954c5,2 years ago
gemma2:27b-text-q4_0,16GB,8K,Text,7fc57426afcc,2 years ago
gemma2:27b-text-q4_1,17GB,8K,Text,e478a638db41,2 years ago
gemma2:27b-text-q4_K_S,16GB,8K,Text,3943c447b4cb,2 years ago
gemma2:27b-text-q4_K_M,17GB,8K,Text,1cab10d40d57,2 years ago
gemma2:27b-text-q5_0,19GB,8K,Text,b14cd86ea97e,2 years ago
gemma2:27b-text-q5_1,21GB,8K,Text,43e7a8f2c64b,2 years ago
gemma2:27b-text-q5_K_S,19GB,8K,Text,3cdf7604434b,2 years ago
gemma2:27b-text-q5_K_M,19GB,8K,Text,bd157e89aea0,2 years ago
gemma2:27b-text-q6_K,22GB,8K,Text,c0d8f9013cd0,2 years ago
gemma2:27b-text-q8_0,29GB,8K,Text,0f062e1aad57,2 years ago
gemma2:27b-text-fp16,54GB,8K,Text,f2bf7cf9592e,2 years ago
