Name,Size / Usage,Context,Input,Digest,Updated
shieldgemma:latest,5.8GB,8K,Text,c82cacd5af5e,1 year ago
shieldgemma:2b,1.7GB,8K,Text,5aad5044d142,1 year ago
shieldgemma:9b,5.8GB,8K,Text,c82cacd5af5e,1 year ago
shieldgemma:27b,17GB,8K,Text,a5d7e17031b4,1 year ago
shieldgemma:2b-q2_K,1.2GB,8K,Text,8fe6125835d8,1 year ago
shieldgemma:2b-q3_K_S,1.4GB,8K,Text,ed1adf76cf49,1 year ago
shieldgemma:2b-q3_K_M,1.5GB,8K,Text,8792c0fdb69d,1 year ago
shieldgemma:2b-q3_K_L,1.6GB,8K,Text,6e1f85ff56c4,1 year ago
shieldgemma:2b-q4_0,1.6GB,8K,Text,8c75ad5241ba,1 year ago
shieldgemma:2b-q4_1,1.8GB,8K,Text,8079392bcbe5,1 year ago
shieldgemma:2b-q4_K_S,1.6GB,8K,Text,460e97ad8fe1,1 year ago
shieldgemma:2b-q4_K_M,1.7GB,8K,Text,5aad5044d142,1 year ago
shieldgemma:2b-q5_0,1.9GB,8K,Text,f0ccd970270f,1 year ago
shieldgemma:2b-q5_1,2.0GB,8K,Text,86dd3e901f29,1 year ago
shieldgemma:2b-q5_K_S,1.9GB,8K,Text,e87b5af5b923,1 year ago
shieldgemma:2b-q5_K_M,1.9GB,8K,Text,29b311ed2d95,1 year ago
shieldgemma:2b-q6_K,2.2GB,8K,Text,d6bc266fff20,1 year ago
shieldgemma:2b-q8_0,2.8GB,8K,Text,4e23a11d17c8,1 year ago
shieldgemma:2b-fp16,5.2GB,8K,Text,edaf3b7bd2ea,1 year ago
shieldgemma:9b-q2_K,3.8GB,8K,Text,4705089a2870,1 year ago
shieldgemma:9b-q3_K_S,4.3GB,8K,Text,59f3cd1ead5e,1 year ago
shieldgemma:9b-q3_K_M,4.8GB,8K,Text,1ee83e818fb1,1 year ago
shieldgemma:9b-q3_K_L,5.1GB,8K,Text,02637dc40252,1 year ago
shieldgemma:9b-q4_0,5.4GB,8K,Text,672a383489f4,1 year ago
shieldgemma:9b-q4_1,6.0GB,8K,Text,423d2aeca52c,1 year ago
shieldgemma:9b-q4_K_S,5.5GB,8K,Text,c4b9ac85349c,1 year ago
shieldgemma:9b-q4_K_M,5.8GB,8K,Text,c82cacd5af5e,1 year ago
shieldgemma:9b-q5_0,6.5GB,8K,Text,75f32f5d1b35,1 year ago
shieldgemma:9b-q5_1,7.0GB,8K,Text,43e40f2b8a24,1 year ago
shieldgemma:9b-q5_K_S,6.5GB,8K,Text,577538bd20f5,1 year ago
shieldgemma:9b-q5_K_M,6.6GB,8K,Text,cbfb3b3b1cd1,1 year ago
shieldgemma:9b-q6_K,7.6GB,8K,Text,3fe88a5a8730,1 year ago
shieldgemma:9b-q8_0,9.8GB,8K,Text,14c1959c8e4f,1 year ago
shieldgemma:9b-fp16,18GB,8K,Text,5ad5e824db94,1 year ago
shieldgemma:27b-q2_K,10GB,8K,Text,d8d17ed3cef2,1 year ago
shieldgemma:27b-q3_K_S,12GB,8K,Text,feca6f60628a,1 year ago
shieldgemma:27b-q3_K_M,13GB,8K,Text,d8f3e2e2f1b2,1 year ago
shieldgemma:27b-q3_K_L,15GB,8K,Text,8f19ca45514c,1 year ago
shieldgemma:27b-q4_0,16GB,8K,Text,dd3ba9bf896e,1 year ago
shieldgemma:27b-q4_1,17GB,8K,Text,86baf7b8d77e,1 year ago
shieldgemma:27b-q4_K_S,16GB,8K,Text,4eb28893980b,1 year ago
shieldgemma:27b-q4_K_M,17GB,8K,Text,a5d7e17031b4,1 year ago
shieldgemma:27b-q5_0,19GB,8K,Text,b260777de17e,1 year ago
shieldgemma:27b-q5_1,21GB,8K,Text,61a1eaeb05ad,1 year ago
shieldgemma:27b-q5_K_S,19GB,8K,Text,751794b36b4c,1 year ago
shieldgemma:27b-q5_K_M,19GB,8K,Text,18593abe595e,1 year ago
shieldgemma:27b-q6_K,22GB,8K,Text,a2c181c9fa6a,1 year ago
shieldgemma:27b-q8_0,29GB,8K,Text,0bedd4c372fe,1 year ago
shieldgemma:27b-fp16,54GB,8K,Text,3e774e7b4545,1 year ago
