Name,Size / Usage,Context,Input,Digest,Updated
granite3-dense:latest,1.6GB,4K,Text,5c2e6f3112f4,1 year ago
granite3-dense:2b,1.6GB,4K,Text,5c2e6f3112f4,1 year ago
granite3-dense:8b,4.9GB,4K,Text,199456d876ee,1 year ago
granite3-dense:2b-instruct-q2_K,1.0GB,4K,Text,2261d92d6175,1 year ago
granite3-dense:2b-instruct-q3_K_S,1.2GB,4K,Text,7c6af70b9f11,1 year ago
granite3-dense:2b-instruct-q3_K_M,1.3GB,4K,Text,c08ae454856c,1 year ago
granite3-dense:2b-instruct-q3_K_L,1.4GB,4K,Text,201ccf1522e8,1 year ago
granite3-dense:2b-instruct-q4_0,1.5GB,4K,Text,dd4a07b9e1b7,1 year ago
granite3-dense:2b-instruct-q4_1,1.7GB,4K,Text,e12ad0fad2ad,1 year ago
granite3-dense:2b-instruct-q4_K_S,1.5GB,4K,Text,0f87f54eb387,1 year ago
granite3-dense:2b-instruct-q4_K_M,1.6GB,4K,Text,5c2e6f3112f4,1 year ago
granite3-dense:2b-instruct-q5_0,1.8GB,4K,Text,db3fbcdec89b,1 year ago
granite3-dense:2b-instruct-q5_1,2.0GB,4K,Text,bc5ed577d64f,1 year ago
granite3-dense:2b-instruct-q5_K_S,1.8GB,4K,Text,be9d8efefd30,1 year ago
granite3-dense:2b-instruct-q5_K_M,1.9GB,4K,Text,dcace13d6d34,1 year ago
granite3-dense:2b-instruct-q6_K,2.2GB,4K,Text,7f374efdad9b,1 year ago
granite3-dense:2b-instruct-q8_0,2.8GB,4K,Text,f35cd2e1e433,1 year ago
granite3-dense:2b-instruct-fp16,5.3GB,4K,Text,24e5c0a35f78,1 year ago
granite3-dense:8b-instruct-q2_K,3.1GB,4K,Text,2ea57f8bc8fd,1 year ago
granite3-dense:8b-instruct-q3_K_S,3.6GB,4K,Text,4c5f0dba11a8,1 year ago
granite3-dense:8b-instruct-q3_K_M,4.0GB,4K,Text,c1a94d47b25c,1 year ago
granite3-dense:8b-instruct-q3_K_L,4.3GB,4K,Text,c74b04a2513f,1 year ago
granite3-dense:8b-instruct-q4_0,4.7GB,4K,Text,16473222519f,1 year ago
granite3-dense:8b-instruct-q4_1,5.1GB,4K,Text,8a47472a11f2,1 year ago
granite3-dense:8b-instruct-q4_K_S,4.7GB,4K,Text,8fc1ce76b8f2,1 year ago
granite3-dense:8b-instruct-q4_K_M,4.9GB,4K,Text,199456d876ee,1 year ago
granite3-dense:8b-instruct-q5_0,5.6GB,4K,Text,449cddb1864d,1 year ago
granite3-dense:8b-instruct-q5_1,6.1GB,4K,Text,ae4ab94be005,1 year ago
granite3-dense:8b-instruct-q5_K_S,5.6GB,4K,Text,49055e666925,1 year ago
granite3-dense:8b-instruct-q5_K_M,5.8GB,4K,Text,e85361d1973c,1 year ago
granite3-dense:8b-instruct-q6_K,6.7GB,4K,Text,ec258d53940b,1 year ago
granite3-dense:8b-instruct-q8_0,8.7GB,4K,Text,f1466e70a7be,1 year ago
granite3-dense:8b-instruct-fp16,16GB,4K,Text,d3a4062e339e,1 year ago
