Name,Size / Usage,Context,Input,Digest,Updated
granite3-moe:latest,822MB,4K,Text,d84e1e38ee39,1 year ago
granite3-moe:1b,822MB,4K,Text,d84e1e38ee39,1 year ago
granite3-moe:3b,2.1GB,4K,Text,157f538ae66e,1 year ago
granite3-moe:1b-instruct-q2_K,512MB,4K,Text,5965f707577c,1 year ago
granite3-moe:1b-instruct-q3_K_S,598MB,4K,Text,cab9e1d32d19,1 year ago
granite3-moe:1b-instruct-q3_K_M,659MB,4K,Text,ea6a79b9b3cc,1 year ago
granite3-moe:1b-instruct-q3_K_L,711MB,4K,Text,bbb955565d3d,1 year ago
granite3-moe:1b-instruct-q4_0,768MB,4K,Text,9b6ee4c08df8,1 year ago
granite3-moe:1b-instruct-q4_1,849MB,4K,Text,c3aa5d722767,1 year ago
granite3-moe:1b-instruct-q4_K_S,775MB,4K,Text,76e6392d08a3,1 year ago
granite3-moe:1b-instruct-q4_K_M,822MB,4K,Text,d84e1e38ee39,1 year ago
granite3-moe:1b-instruct-q5_0,929MB,4K,Text,f49b9c68d958,1 year ago
granite3-moe:1b-instruct-q5_1,1.0GB,4K,Text,f1dbdb4ce40f,1 year ago
granite3-moe:1b-instruct-q5_K_S,929MB,4K,Text,427124d0793f,1 year ago
granite3-moe:1b-instruct-q5_K_M,956MB,4K,Text,c51ea1c8bab3,1 year ago
granite3-moe:1b-instruct-q6_K,1.1GB,4K,Text,a585cc84307b,1 year ago
granite3-moe:1b-instruct-q8_0,1.4GB,4K,Text,84f7efa9cc2d,1 year ago
granite3-moe:1b-instruct-fp16,2.7GB,4K,Text,cee5d696574c,1 year ago
granite3-moe:3b-instruct-q2_K,1.3GB,4K,Text,48ee4c1b7090,1 year ago
granite3-moe:3b-instruct-q3_K_S,1.5GB,4K,Text,5952b23cdd5c,1 year ago
granite3-moe:3b-instruct-q3_K_M,1.6GB,4K,Text,cc32cde7c1fe,1 year ago
granite3-moe:3b-instruct-q3_K_L,1.8GB,4K,Text,8c76215f504a,1 year ago
granite3-moe:3b-instruct-q4_0,1.9GB,4K,Text,d144aac2b0d8,1 year ago
granite3-moe:3b-instruct-q4_1,2.1GB,4K,Text,ac91c7b62cc7,1 year ago
granite3-moe:3b-instruct-q4_K_S,1.9GB,4K,Text,9f5ecea51621,1 year ago
granite3-moe:3b-instruct-q4_K_M,2.1GB,4K,Text,157f538ae66e,1 year ago
granite3-moe:3b-instruct-q5_0,2.3GB,4K,Text,e623edd5db90,1 year ago
granite3-moe:3b-instruct-q5_1,2.5GB,4K,Text,709d47478efd,1 year ago
granite3-moe:3b-instruct-q5_K_S,2.3GB,4K,Text,c84b2a3a27fd,1 year ago
granite3-moe:3b-instruct-q5_K_M,2.4GB,4K,Text,94e89b071306,1 year ago
granite3-moe:3b-instruct-q6_K,2.8GB,4K,Text,c196db4b29bb,1 year ago
granite3-moe:3b-instruct-q8_0,3.6GB,4K,Text,f3b962d19110,1 year ago
granite3-moe:3b-instruct-fp16,6.8GB,4K,Text,9433d98bf426,1 year ago
