Name,Size / Usage,Context,Input,Digest,Updated
granite3.1-dense:latest,5.0GB,128K,Text,34d3be74ec54,1 year ago
granite3.1-dense:2b,1.6GB,128K,Text,fba1ad01113e,1 year ago
granite3.1-dense:8b,5.0GB,128K,Text,34d3be74ec54,1 year ago
granite3.1-dense:2b-instruct-q2_K,1.0GB,128K,Text,f412eb659c66,1 year ago
granite3.1-dense:2b-instruct-q3_K_S,1.2GB,128K,Text,74791f52899c,1 year ago
granite3.1-dense:2b-instruct-q3_K_M,1.3GB,128K,Text,d65eb61a1e65,1 year ago
granite3.1-dense:2b-instruct-q3_K_L,1.4GB,128K,Text,85ad99cb9a18,1 year ago
granite3.1-dense:2b-instruct-q4_0,1.5GB,128K,Text,7ed050a70760,1 year ago
granite3.1-dense:2b-instruct-q4_1,1.6GB,128K,Text,c265a649f4f8,1 year ago
granite3.1-dense:2b-instruct-q4_K_S,1.5GB,128K,Text,a8d7602ade5f,1 year ago
granite3.1-dense:2b-instruct-q4_K_M,1.6GB,128K,Text,fba1ad01113e,1 year ago
granite3.1-dense:2b-instruct-q5_0,1.8GB,128K,Text,f26890da1451,1 year ago
granite3.1-dense:2b-instruct-q5_1,1.9GB,128K,Text,35c067239cb5,1 year ago
granite3.1-dense:2b-instruct-q5_K_S,1.8GB,128K,Text,1a2b39f6e69c,1 year ago
granite3.1-dense:2b-instruct-q5_K_M,1.8GB,128K,Text,86cdcdb94cd6,1 year ago
granite3.1-dense:2b-instruct-q6_K,2.1GB,128K,Text,66d07595e1dc,1 year ago
granite3.1-dense:2b-instruct-q8_0,2.7GB,128K,Text,ef1441680161,1 year ago
granite3.1-dense:2b-instruct-fp16,5.1GB,128K,Text,1f64b4541957,1 year ago
granite3.1-dense:8b-instruct-q2_K,3.2GB,128K,Text,4b18119a5086,1 year ago
granite3.1-dense:8b-instruct-q3_K_S,3.6GB,128K,Text,338340c340cb,1 year ago
granite3.1-dense:8b-instruct-q3_K_M,4.0GB,128K,Text,0dc5c3ac8a1e,1 year ago
granite3.1-dense:8b-instruct-q3_K_L,4.4GB,128K,Text,8f28ec28aafc,1 year ago
granite3.1-dense:8b-instruct-q4_0,4.7GB,128K,Text,fc2c18155205,1 year ago
granite3.1-dense:8b-instruct-q4_1,5.2GB,128K,Text,a94882d992cf,1 year ago
granite3.1-dense:8b-instruct-q4_K_S,4.7GB,128K,Text,4707086b3bed,1 year ago
granite3.1-dense:8b-instruct-q4_K_M,5.0GB,128K,Text,34d3be74ec54,1 year ago
granite3.1-dense:8b-instruct-q5_0,5.7GB,128K,Text,3ec7544ebcb8,1 year ago
granite3.1-dense:8b-instruct-q5_1,6.2GB,128K,Text,5f3faea362a7,1 year ago
granite3.1-dense:8b-instruct-q5_K_S,5.7GB,128K,Text,8c98cd3dd70e,1 year ago
granite3.1-dense:8b-instruct-q5_K_M,5.8GB,128K,Text,4ae40e965ca7,1 year ago
granite3.1-dense:8b-instruct-q6_K,6.8GB,128K,Text,8e5691d17175,1 year ago
granite3.1-dense:8b-instruct-q8_0,8.7GB,128K,Text,fd5499afc361,1 year ago
granite3.1-dense:8b-instruct-fp16,16GB,128K,Text,51d4ae6e2b23,1 year ago
