Name,Size / Usage,Context,Input,Digest,Updated
granite3.1-moe:latest,2.0GB,128K,Text,b43d80d7fca7,1 year ago
granite3.1-moe:1b,1.4GB,128K,Text,3269ce3e31ea,1 year ago
granite3.1-moe:3b,2.0GB,128K,Text,b43d80d7fca7,1 year ago
granite3.1-moe:1b-instruct-q2_K,524MB,128K,Text,6521a8fa2f7d,1 year ago
granite3.1-moe:1b-instruct-q3_K_S,610MB,128K,Text,c81277fe1196,1 year ago
granite3.1-moe:1b-instruct-q3_K_M,671MB,128K,Text,a9921af691fb,1 year ago
granite3.1-moe:1b-instruct-q3_K_L,724MB,128K,Text,38e819bae7cb,1 year ago
granite3.1-moe:1b-instruct-q4_0,781MB,128K,Text,f1e180ae50b0,1 year ago
granite3.1-moe:1b-instruct-q4_1,861MB,128K,Text,d62c69d05bc9,1 year ago
granite3.1-moe:1b-instruct-q4_K_S,787MB,128K,Text,531849afb99e,1 year ago
granite3.1-moe:1b-instruct-q4_K_M,834MB,128K,Text,f825ee9e296f,1 year ago
granite3.1-moe:1b-instruct-q5_0,941MB,128K,Text,3d8012283ac9,1 year ago
granite3.1-moe:1b-instruct-q5_1,1.0GB,128K,Text,39b91d40cf9e,1 year ago
granite3.1-moe:1b-instruct-q5_K_S,941MB,128K,Text,fcc3d042cf51,1 year ago
granite3.1-moe:1b-instruct-q5_K_M,969MB,128K,Text,6c0ad5f8dbc5,1 year ago
granite3.1-moe:1b-instruct-q6_K,1.1GB,128K,Text,72cde855354e,1 year ago
granite3.1-moe:1b-instruct-q8_0,1.4GB,128K,Text,3269ce3e31ea,1 year ago
granite3.1-moe:1b-instruct-fp16,2.7GB,128K,Text,99904f51aa5c,1 year ago
granite3.1-moe:3b-instruct-q2_K,1.3GB,128K,Text,7ea974a9d11f,1 year ago
granite3.1-moe:3b-instruct-q3_K_S,1.5GB,128K,Text,86de476c2ed2,1 year ago
granite3.1-moe:3b-instruct-q3_K_M,1.6GB,128K,Text,216dcd8f0222,1 year ago
granite3.1-moe:3b-instruct-q3_K_L,1.8GB,128K,Text,712573071d24,1 year ago
granite3.1-moe:3b-instruct-q4_0,1.9GB,128K,Text,575c94ea9f74,1 year ago
granite3.1-moe:3b-instruct-q4_1,2.1GB,128K,Text,a4c8618969bb,1 year ago
granite3.1-moe:3b-instruct-q4_K_S,1.9GB,128K,Text,71da5b32c299,1 year ago
granite3.1-moe:3b-instruct-q4_K_M,2.0GB,128K,Text,b43d80d7fca7,1 year ago
granite3.1-moe:3b-instruct-q5_0,2.3GB,128K,Text,ac1c3501f148,1 year ago
granite3.1-moe:3b-instruct-q5_1,2.5GB,128K,Text,14ba2faee6e3,1 year ago
granite3.1-moe:3b-instruct-q5_K_S,2.3GB,128K,Text,ec25600ae9c5,1 year ago
granite3.1-moe:3b-instruct-q5_K_M,2.4GB,128K,Text,fac03e34e804,1 year ago
granite3.1-moe:3b-instruct-q6_K,2.7GB,128K,Text,b49c14c5cac4,1 year ago
granite3.1-moe:3b-instruct-q8_0,3.5GB,128K,Text,038f46903bbd,1 year ago
granite3.1-moe:3b-instruct-fp16,6.6GB,128K,Text,cdedb7e7b102,1 year ago
