Name,Size / Usage,Context,Input,Digest,Updated
granite4.1:3b,2.1GB,128K,Text,6fd349357287,4 months ago
granite4.1:8b,5.3GB,128K,Text,444af1c4b2fe,4 months ago
granite4.1:30b,17GB,128K,Text,3f3e5df8a021,4 months ago
granite4.1:3b-q2_K,1.4GB,128K,Text,41d7e7e6dc59,4 months ago
granite4.1:3b-q3_K_S,1.6GB,128K,Text,1daefd678dc8,4 months ago
granite4.1:3b-q3_K_M,1.7GB,128K,Text,bd72b20cd67b,4 months ago
granite4.1:3b-q3_K_L,1.9GB,128K,Text,eb446378f84c,4 months ago
granite4.1:3b-q4_0,2.0GB,128K,Text,010f4b63e5f7,4 months ago
granite4.1:3b-q4_1,2.2GB,128K,Text,53377988686e,4 months ago
granite4.1:3b-q4_K_S,2.0GB,128K,Text,aaf53db81651,4 months ago
granite4.1:3b-q4_K_M,2.1GB,128K,Text,6fd349357287,4 months ago
granite4.1:3b-q5_0,2.4GB,128K,Text,655215522aaa,4 months ago
granite4.1:3b-q5_1,2.6GB,128K,Text,7d0a195533f7,4 months ago
granite4.1:3b-q5_K_S,2.4GB,128K,Text,d671c6877cde,4 months ago
granite4.1:3b-q5_K_M,2.4GB,128K,Text,5f9ff57bab32,4 months ago
granite4.1:3b-q6_K,2.8GB,128K,Text,3c142316f4cf,4 months ago
granite4.1:3b-q8_0,3.6GB,128K,Text,f087f8b0712f,4 months ago
granite4.1:3b-bf16,6.8GB,128K,Text,517250fafa06,3 months ago
granite4.1:8b-q2_K,3.4GB,128K,Text,ccf96f3f0780,4 months ago
granite4.1:8b-q3_K_S,3.9GB,128K,Text,a6cf031b28f0,4 months ago
granite4.1:8b-q3_K_M,4.3GB,128K,Text,11ec0ebc2697,4 months ago
granite4.1:8b-q3_K_L,4.7GB,128K,Text,d780c2e519e8,4 months ago
granite4.1:8b-q4_0,5.1GB,128K,Text,d1ca2294e93a,4 months ago
granite4.1:8b-q4_1,5.6GB,128K,Text,d2eb1c61fdae,4 months ago
granite4.1:8b-q4_K_S,5.1GB,128K,Text,f7082ba9a6e7,4 months ago
granite4.1:8b-q4_K_M,5.3GB,128K,Text,444af1c4b2fe,4 months ago
granite4.1:8b-q5_0,6.1GB,128K,Text,4ac8c864384e,4 months ago
granite4.1:8b-q5_1,6.6GB,128K,Text,88e9f3963ec8,4 months ago
granite4.1:8b-q5_K_S,6.1GB,128K,Text,3f290aa8867b,4 months ago
granite4.1:8b-q5_K_M,6.3GB,128K,Text,a15a247eea85,4 months ago
granite4.1:8b-q6_K,7.2GB,128K,Text,cc47b04956a8,4 months ago
granite4.1:8b-q8_0,9.3GB,128K,Text,ee48dfe31954,4 months ago
granite4.1:8b-bf16,18GB,128K,Text,ff2ca5247c31,3 months ago
granite4.1:30b-q2_K,11GB,128K,Text,ae1d684487df,4 months ago
granite4.1:30b-q3_K_S,13GB,128K,Text,a5eeaa67e5fd,4 months ago
granite4.1:30b-q3_K_M,14GB,128K,Text,234006e86874,4 months ago
granite4.1:30b-q3_K_L,15GB,128K,Text,7c55609a16c7,4 months ago
granite4.1:30b-q4_0,16GB,128K,Text,402200215ef1,4 months ago
granite4.1:30b-q4_1,18GB,128K,Text,8f3b74ec031d,4 months ago
granite4.1:30b-q4_K_S,16GB,128K,Text,1cab6c5d975d,4 months ago
granite4.1:30b-q4_K_M,17GB,128K,Text,3f3e5df8a021,4 months ago
granite4.1:30b-q5_0,20GB,128K,Text,9b8dca9cb9cb,4 months ago
granite4.1:30b-q5_1,22GB,128K,Text,23203614f0e9,4 months ago
granite4.1:30b-q5_K_S,20GB,128K,Text,f1fba10b6ca9,4 months ago
granite4.1:30b-q5_K_M,20GB,128K,Text,454ddb5316f7,4 months ago
granite4.1:30b-q6_K,24GB,128K,Text,d7711d853ce4,4 months ago
granite4.1:30b-q8_0,31GB,128K,Text,0f7a2b54edab,4 months ago
granite4.1:30b-bf16,58GB,128K,Text,e2e7d6de1890,4 months ago
