Name,Size / Usage,Context,Input,Digest,Updated
granite3-dense:2b,1.6GB,4K,Text,35d2593ca718,1 year ago
granite3-dense:8b,4.9GB,4K,Text,721bb52663a1,1 year ago
granite3-dense:2b-base-q2_K,978MB,4K,Text,aa3a82c06828,1 year ago
granite3-dense:2b-base-q3_K_S,1.1GB,4K,Text,8c5c4047dc74,1 year ago
granite3-dense:2b-base-q3_K_M,1.3GB,4K,Text,ab143329c189,1 year ago
granite3-dense:2b-base-q3_K_L,1.4GB,4K,Text,d073c1711638,1 year ago
granite3-dense:2b-base-q4_0,1.5GB,4K,Text,52ae00d9b99a,1 year ago
granite3-dense:2b-base-q4_1,1.6GB,4K,Text,b907032d8cd0,1 year ago
granite3-dense:2b-base-q4_K_S,1.5GB,4K,Text,df5f2511b63f,1 year ago
granite3-dense:2b-base-q4_K_M,1.5GB,4K,Text,2d13f4257c57,1 year ago
granite3-dense:2b-base-q5_0,1.8GB,4K,Text,ecea55c737b4,1 year ago
granite3-dense:2b-base-q5_1,1.9GB,4K,Text,b10ec8811d0d,1 year ago
granite3-dense:2b-base-q5_K_S,1.8GB,4K,Text,c62635bd3bd5,1 year ago
granite3-dense:2b-base-q5_K_M,1.8GB,4K,Text,025368ebfee9,1 year ago
granite3-dense:2b-base-q6_K,2.1GB,4K,Text,6a1802d2a90b,1 year ago
granite3-dense:2b-base-q8_0,2.7GB,4K,Text,c50fc2b9d8e2,1 year ago
granite3-dense:2b-base-f16,5.1GB,4K,Text,5ed129afd07b,1 year ago
granite3-dense:2b-instruct-q2_K,1.0GB,4K,Text,4595ebb16046,1 year ago
granite3-dense:2b-instruct-q3_K_S,1.2GB,4K,Text,f22819cd568a,1 year ago
granite3-dense:2b-instruct-q3_K_M,1.3GB,4K,Text,497d255beef8,1 year ago
granite3-dense:2b-instruct-q3_K_L,1.4GB,4K,Text,8b4a92109823,1 year ago
granite3-dense:2b-instruct-q4_0,1.5GB,4K,Text,16ab5bedbdde,1 year ago
granite3-dense:2b-instruct-q4_1,1.7GB,4K,Text,616acd8fb9d1,1 year ago
granite3-dense:2b-instruct-q4_K_S,1.5GB,4K,Text,4961f9306303,1 year ago
granite3-dense:2b-instruct-q4_K_M,1.6GB,4K,Text,35d2593ca718,1 year ago
granite3-dense:2b-instruct-q5_0,1.8GB,4K,Text,d886ce2427bb,1 year ago
granite3-dense:2b-instruct-q5_1,2.0GB,4K,Text,45b7bd2bde9b,1 year ago
granite3-dense:2b-instruct-q5_K_S,1.8GB,4K,Text,03aade47da2d,1 year ago
granite3-dense:2b-instruct-q5_K_M,1.9GB,4K,Text,36dc7cf596aa,1 year ago
granite3-dense:2b-instruct-q6_K,2.2GB,4K,Text,16dc0862d52f,1 year ago
granite3-dense:2b-instruct-q8_0,2.8GB,4K,Text,738b0a192bee,1 year ago
granite3-dense:2b-instruct-f16,5.3GB,4K,Text,3ad0d337d938,1 year ago
granite3-dense:8b-instruct-q2_K,3.1GB,4K,Text,ebc82e288d55,1 year ago
granite3-dense:8b-instruct-q3_K_S,3.6GB,4K,Text,70c6c8a7c75f,1 year ago
granite3-dense:8b-instruct-q3_K_M,4.0GB,4K,Text,6594e3e066f2,1 year ago
granite3-dense:8b-instruct-q3_K_L,4.3GB,4K,Text,68e8106ca812,1 year ago
granite3-dense:8b-instruct-q4_0,4.7GB,4K,Text,9c8d487501fc,1 year ago
granite3-dense:8b-instruct-q4_1,5.1GB,4K,Text,fc251bdb41c5,1 year ago
granite3-dense:8b-instruct-q4_K_S,4.7GB,4K,Text,b3303d14e882,1 year ago
granite3-dense:8b-instruct-q4_K_M,4.9GB,4K,Text,721bb52663a1,1 year ago
granite3-dense:8b-instruct-q5_0,5.6GB,4K,Text,83e524d9e91c,1 year ago
granite3-dense:8b-instruct-q5_1,6.1GB,4K,Text,7aabcf5e7ea2,1 year ago
granite3-dense:8b-instruct-q5_K_S,5.6GB,4K,Text,5b0ed5a79f50,1 year ago
granite3-dense:8b-instruct-q5_K_M,5.8GB,4K,Text,5ba51cd3fb50,1 year ago
granite3-dense:8b-instruct-q6_K,6.7GB,4K,Text,f268ad324dc9,1 year ago
granite3-dense:8b-instruct-q8_0,8.7GB,4K,Text,af7c68abaeda,1 year ago
granite3-dense:8b-instruct-f16,16GB,4K,Text,999165dc0ffa,1 year ago
