Name,Size / Usage,Context,Input,Digest,Updated
granite3-guardian:2b,2.1GB,8K,Text,660ad5f95636,1 year ago
granite3-guardian:8b,6.7GB,8K,Text,5d726a9a29bc,1 year ago
granite3-guardian:2b-q4_K_M,1.5GB,8K,Text,cc73c57fd569,1 year ago
granite3-guardian:2b-q5_K_M,1.8GB,8K,Text,79aef5af3f6b,1 year ago
granite3-guardian:2b-q6_K,2.1GB,8K,Text,660ad5f95636,1 year ago
granite3-guardian:2b-q8_0,2.7GB,8K,Text,f5ecf0283bcb,1 year ago
granite3-guardian:2b-f16,5.1GB,8K,Text,5742bc2bb98f,1 year ago
granite3-guardian:8b-q4_K_M,4.9GB,8K,Text,cb30605f5616,1 year ago
granite3-guardian:8b-q5_K_M,5.8GB,8K,Text,b01caf41f702,1 year ago
granite3-guardian:8b-q6_K,6.7GB,8K,Text,5d726a9a29bc,1 year ago
granite3-guardian:8b-q8_0,8.7GB,8K,Text,42d8012e0358,1 year ago
granite3-guardian:8b-f16,16GB,8K,Text,5bc371d48bd0,1 year ago
