Name,Size / Usage,Context,Input,Digest,Updated
granite3-moe:1b,822MB,4K,Text,412eea6889de,1 year ago
granite3-moe:3b,2.1GB,4K,Text,60cecf1845f2,1 year ago
granite3-moe:1b-base-q2_K,529MB,4K,Text,3bde6fd68cd9,1 year ago
granite3-moe:1b-base-q3_K_S,619MB,4K,Text,cd0c15ff751e,1 year ago
granite3-moe:1b-base-q3_K_M,680MB,4K,Text,30c6e9bd419c,1 year ago
granite3-moe:1b-base-q3_K_L,733MB,4K,Text,3c85e3423f9d,1 year ago
granite3-moe:1b-base-q4_0,797MB,4K,Text,bf0c85742d1a,1 year ago
granite3-moe:1b-base-q4_1,880MB,4K,Text,23f343d74126,1 year ago
granite3-moe:1b-base-q4_K_S,803MB,4K,Text,d5da58ee49b9,1 year ago
granite3-moe:1b-base-q4_K_M,850MB,4K,Text,bf5713f93334,1 year ago
granite3-moe:1b-base-q5_0,963MB,4K,Text,229e3fac3caf,1 year ago
granite3-moe:1b-base-q5_1,1.0GB,4K,Text,b742c7900989,1 year ago
granite3-moe:1b-base-q5_K_S,963MB,4K,Text,b01d5ecb7f71,1 year ago
granite3-moe:1b-base-q5_K_M,991MB,4K,Text,237914d52501,1 year ago
granite3-moe:1b-base-q6_K,1.1GB,4K,Text,ffedebb21268,1 year ago
granite3-moe:1b-base-q8_0,1.5GB,4K,Text,f6b34e4e8789,1 year ago
granite3-moe:1b-base-f16,2.8GB,4K,Text,a7c7e9d19bab,1 year ago
granite3-moe:1b-instruct-q2_K,512MB,4K,Text,a81a27cb71de,1 year ago
granite3-moe:1b-instruct-q3_K_S,598MB,4K,Text,a8a44fdf4a25,1 year ago
granite3-moe:1b-instruct-q3_K_M,659MB,4K,Text,ee08f6aba672,1 year ago
granite3-moe:1b-instruct-q3_K_L,711MB,4K,Text,cce9d2fec272,1 year ago
granite3-moe:1b-instruct-q4_0,768MB,4K,Text,2ec20367b8e4,1 year ago
granite3-moe:1b-instruct-q4_1,849MB,4K,Text,64cb2cb753a0,1 year ago
granite3-moe:1b-instruct-q4_K_S,775MB,4K,Text,80e10919162f,1 year ago
granite3-moe:1b-instruct-q4_K_M,822MB,4K,Text,412eea6889de,1 year ago
granite3-moe:1b-instruct-q5_0,929MB,4K,Text,f5b0ed0fd0ad,1 year ago
granite3-moe:1b-instruct-q5_1,1.0GB,4K,Text,b67f2065e097,1 year ago
granite3-moe:1b-instruct-q5_K_S,929MB,4K,Text,3269f94b9141,1 year ago
granite3-moe:1b-instruct-q5_K_M,956MB,4K,Text,0f7b50af0817,1 year ago
