Name,Size / Usage,Context,Input,Digest,Updated
granite3.1-dense:2b,1.5GB,128K,Text,2c9b483d277f,1 year ago
granite3.1-dense:8b,4.9GB,128K,Text,5b66ee12e3e1,1 year ago
granite3.1-dense:2b-base-q2_K,978MB,128K,Text,0af90f3e2aa0,1 year ago
granite3.1-dense:2b-base-q3_K_S,1.1GB,128K,Text,7729e350c3ba,1 year ago
granite3.1-dense:2b-base-q3_K_M,1.3GB,128K,Text,60f852922ea6,1 year ago
granite3.1-dense:2b-base-q3_K_L,1.4GB,128K,Text,11eaf289883f,1 year ago
granite3.1-dense:2b-base-q4_0,1.5GB,128K,Text,0712decd1f96,1 year ago
granite3.1-dense:2b-base-q4_1,1.6GB,128K,Text,14e35033be82,1 year ago
granite3.1-dense:2b-base-q4_K_S,1.5GB,128K,Text,f04d9fd1fb68,1 year ago
granite3.1-dense:2b-base-q4_K_M,1.5GB,128K,Text,57628a01feab,1 year ago
granite3.1-dense:2b-base-q5_0,1.8GB,128K,Text,95282e8aeea5,1 year ago
granite3.1-dense:2b-base-q5_1,1.9GB,128K,Text,7bc513ae4525,1 year ago
granite3.1-dense:2b-base-q5_K_S,1.8GB,128K,Text,9e4cbb110958,1 year ago
granite3.1-dense:2b-base-q5_K_M,1.8GB,128K,Text,4567cbb198b4,1 year ago
granite3.1-dense:2b-base-q6_K,2.1GB,128K,Text,e17ea579f83a,1 year ago
granite3.1-dense:2b-base-q8_0,2.7GB,128K,Text,7d2bc857bd3b,1 year ago
granite3.1-dense:2b-base-f16,5.1GB,128K,Text,96c71b4448df,1 year ago
granite3.1-dense:2b-instruct-q2_K,978MB,128K,Text,5eecbc140e7b,1 year ago
granite3.1-dense:2b-instruct-q3_K_S,1.1GB,128K,Text,6989bf9381bd,1 year ago
granite3.1-dense:2b-instruct-q3_K_M,1.3GB,128K,Text,d21b926872b8,1 year ago
granite3.1-dense:2b-instruct-q3_K_L,1.4GB,128K,Text,c86015ddf1b0,1 year ago
granite3.1-dense:2b-instruct-q4_0,1.5GB,128K,Text,5819b07a3a01,1 year ago
granite3.1-dense:2b-instruct-q4_1,1.6GB,128K,Text,f02b026e3468,1 year ago
granite3.1-dense:2b-instruct-q4_K_S,1.5GB,128K,Text,1ebd7a6e4584,1 year ago
granite3.1-dense:2b-instruct-q4_K_M,1.5GB,128K,Text,2c9b483d277f,1 year ago
granite3.1-dense:2b-instruct-q5_0,1.8GB,128K,Text,ce61a69f74bd,1 year ago
granite3.1-dense:2b-instruct-q5_1,1.9GB,128K,Text,40450b76460d,1 year ago
granite3.1-dense:2b-instruct-q5_K_S,1.8GB,128K,Text,a65e7800002b,1 year ago
granite3.1-dense:2b-instruct-q5_K_M,1.8GB,128K,Text,8233d53724b4,1 year ago
granite3.1-dense:2b-instruct-q6_K,2.1GB,128K,Text,7b97db92ed46,1 year ago
granite3.1-dense:2b-instruct-q8_0,2.7GB,128K,Text,1245da574577,1 year ago
granite3.1-dense:2b-instruct-f16,5.1GB,128K,Text,55ecd3f2da49,1 year ago
granite3.1-dense:8b-base-q2_K,3.1GB,128K,Text,d4036facb3cb,1 year ago
granite3.1-dense:8b-base-q3_K_S,3.6GB,128K,Text,8a9350462247,1 year ago
granite3.1-dense:8b-base-q3_K_M,4.0GB,128K,Text,423b30e5defd,1 year ago
granite3.1-dense:8b-base-q3_K_L,4.3GB,128K,Text,6778e8021ee7,1 year ago
granite3.1-dense:8b-base-q4_0,4.7GB,128K,Text,34adea260aff,1 year ago
granite3.1-dense:8b-base-q4_1,5.1GB,128K,Text,5704663ff178,1 year ago
granite3.1-dense:8b-base-q4_K_S,4.7GB,128K,Text,15fd07f32d63,1 year ago
granite3.1-dense:8b-base-q4_K_M,4.9GB,128K,Text,bb109c975f34,1 year ago
granite3.1-dense:8b-base-q5_0,5.6GB,128K,Text,a2a5b68bfc6f,1 year ago
granite3.1-dense:8b-base-q5_1,6.1GB,128K,Text,ecdf5d381340,1 year ago
granite3.1-dense:8b-base-q5_K_S,5.6GB,128K,Text,899e469578cb,1 year ago
granite3.1-dense:8b-base-q5_K_M,5.8GB,128K,Text,bed365284cb2,1 year ago
granite3.1-dense:8b-base-q6_K,6.7GB,128K,Text,71d7d5aeb629,1 year ago
granite3.1-dense:8b-base-q8_0,8.7GB,128K,Text,1143d829882a,1 year ago
granite3.1-dense:8b-base-f16,16GB,128K,Text,14d165864875,1 year ago
granite3.1-dense:8b-instruct-q2_K,3.1GB,128K,Text,408be7f9c7c6,1 year ago
granite3.1-dense:8b-instruct-q3_K_S,3.6GB,128K,Text,a5e9b80dc14f,1 year ago
granite3.1-dense:8b-instruct-q3_K_M,4.0GB,128K,Text,a9d0e37befa8,1 year ago
granite3.1-dense:8b-instruct-q3_K_L,4.3GB,128K,Text,ecdd2f1b4c8d,1 year ago
granite3.1-dense:8b-instruct-q4_0,4.7GB,128K,Text,ae4ec03ce4d2,1 year ago
granite3.1-dense:8b-instruct-q4_1,5.1GB,128K,Text,2742c361fad9,1 year ago
granite3.1-dense:8b-instruct-q4_K_S,4.7GB,128K,Text,c810f9f87239,1 year ago
granite3.1-dense:8b-instruct-q4_K_M,4.9GB,128K,Text,5b66ee12e3e1,1 year ago
granite3.1-dense:8b-instruct-q5_0,5.6GB,128K,Text,1a274dd6e5c8,1 year ago
granite3.1-dense:8b-instruct-q5_1,6.1GB,128K,Text,12d8f499f602,1 year ago
granite3.1-dense:8b-instruct-q5_K_S,5.6GB,128K,Text,4d2a19260feb,1 year ago
granite3.1-dense:8b-instruct-q5_K_M,5.8GB,128K,Text,7ae30acfb98d,1 year ago
granite3.1-dense:8b-instruct-q6_K,6.7GB,128K,Text,f52a120cf57f,1 year ago
granite3.1-dense:8b-instruct-q8_0,8.7GB,128K,Text,3685eb86c6bc,1 year ago
granite3.1-dense:8b-instruct-f16,16GB,128K,Text,91a051c97553,1 year ago
