Name,Size / Usage,Context,Input,Digest,Updated
granite3.1-moe:1b,822MB,128K,Text,510368d8951b,1 year ago
granite3.1-moe:3b,2.0GB,128K,Text,605fe091a8c3,1 year ago
granite3.1-moe:1b-base-q2_K,512MB,128K,Text,4f5ae9bf84b7,1 year ago
granite3.1-moe:1b-base-q3_K_S,598MB,128K,Text,008c5eeae403,1 year ago
granite3.1-moe:1b-base-q3_K_M,659MB,128K,Text,0e2f7fc14512,1 year ago
granite3.1-moe:1b-base-q3_K_L,711MB,128K,Text,07fc3b31653e,1 year ago
granite3.1-moe:1b-base-q4_0,768MB,128K,Text,9ce38673700d,1 year ago
granite3.1-moe:1b-base-q4_1,849MB,128K,Text,a9595d72e87d,1 year ago
granite3.1-moe:1b-base-q4_K_S,775MB,128K,Text,3eef8013fd1e,1 year ago
granite3.1-moe:1b-base-q4_K_M,822MB,128K,Text,ca456fb7a8c6,1 year ago
granite3.1-moe:1b-base-q5_0,929MB,128K,Text,97bfbc6ea723,1 year ago
granite3.1-moe:1b-base-q5_1,1.0GB,128K,Text,1ea493b96031,1 year ago
granite3.1-moe:1b-base-q5_K_S,929MB,128K,Text,7c12116ef9d6,1 year ago
granite3.1-moe:1b-base-q5_K_M,956MB,128K,Text,a8c103ddab62,1 year ago
granite3.1-moe:1b-base-q6_K,1.1GB,128K,Text,18e7c5020bca,1 year ago
granite3.1-moe:1b-base-q8_0,1.4GB,128K,Text,8b17fe333408,1 year ago
granite3.1-moe:1b-base-f16,2.7GB,128K,Text,4cd3e8bd24af,1 year ago
granite3.1-moe:1b-instruct-q2_K,512MB,128K,Text,6c48d7af9884,1 year ago
granite3.1-moe:1b-instruct-q3_K_S,598MB,128K,Text,74178e358028,1 year ago
granite3.1-moe:1b-instruct-q3_K_M,659MB,128K,Text,9c633a5e3790,1 year ago
granite3.1-moe:1b-instruct-q3_K_L,711MB,128K,Text,a3c5aa2de112,1 year ago
granite3.1-moe:1b-instruct-q4_0,768MB,128K,Text,ccae5a934aa0,1 year ago
