Name,Size / Usage,Context,Input,Digest,Updated
granite3.2-guardian:3b,2.7GB,128K,Text,4f7cdff62b7e,1 year ago
granite3.2-guardian:5b,4.7GB,128K,Text,6946343626e0,1 year ago
granite3.2-guardian:3b-q4_K_M,2.0GB,128K,Text,e04204f2f749,1 year ago
granite3.2-guardian:3b-q5_K_M,2.4GB,128K,Text,0d841878ed23,1 year ago
granite3.2-guardian:3b-q6_K,2.7GB,128K,Text,4f7cdff62b7e,1 year ago
granite3.2-guardian:3b-q8_0,3.5GB,128K,Text,d3f1876433ca,1 year ago
granite3.2-guardian:3b-f16,6.6GB,128K,Text,a0bec1a2ecf7,1 year ago
granite3.2-guardian:5b-q4_K_M,3.5GB,128K,Text,a1bcc6b428c9,1 year ago
granite3.2-guardian:5b-q5_K_M,4.1GB,128K,Text,e8741473bd5f,1 year ago
granite3.2-guardian:5b-q6_K,4.7GB,128K,Text,6946343626e0,1 year ago
granite3.2-guardian:5b-q8_0,6.1GB,128K,Text,82695e42222c,1 year ago
granite3.2-guardian:5b-f16,12GB,128K,Text,714df1e41f47,1 year ago
