Name,Size / Usage,Context,Input,Digest,Updated
granite4.0-preview:tiny,4.0GB,1M,Text,61f7d6c4f9b8,11 months ago
granite4.0-preview:tiny-base-q2_K,2.5GB,1M,Text,093e83613981,11 months ago
granite4.0-preview:tiny-base-q3_K_S,2.9GB,1M,Text,c2ba604eb35d,11 months ago
granite4.0-preview:tiny-base-q3_K_M,3.2GB,1M,Text,17f4848f71b3,11 months ago
granite4.0-preview:tiny-base-q3_K_L,3.4GB,1M,Text,b8125d507309,11 months ago
granite4.0-preview:tiny-base-q4_0,3.8GB,1M,Text,147a835023a1,11 months ago
granite4.0-preview:tiny-base-q4_1,4.2GB,1M,Text,8c28fd38f613,11 months ago
granite4.0-preview:tiny-base-q4_K_S,3.8GB,1M,Text,22fe716d343f,11 months ago
granite4.0-preview:tiny-base-q4_K_M,4.1GB,1M,Text,5934e75c5676,11 months ago
granite4.0-preview:tiny-base-q5_0,4.6GB,1M,Text,75017279b232,11 months ago
granite4.0-preview:tiny-base-q5_1,5.0GB,1M,Text,b2f66f70d3ae,11 months ago
granite4.0-preview:tiny-base-q5_K_S,4.6GB,1M,Text,6fbbb348159c,11 months ago
granite4.0-preview:tiny-base-q5_K_M,4.7GB,1M,Text,92a6fb182cb0,11 months ago
granite4.0-preview:tiny-base-q6_K,5.5GB,1M,Text,d1f954008218,11 months ago
granite4.0-preview:tiny-base-q8_0,7.1GB,1M,Text,672ec12976cd,11 months ago
granite4.0-preview:tiny-base-f16,13GB,1M,Text,0d859b55f32e,11 months ago
granite4.0-preview:tiny-instruct-q2_K,2.5GB,1M,Text,1b0b4b5e36c6,11 months ago
granite4.0-preview:tiny-instruct-q3_K_S,2.9GB,1M,Text,56d20ece241e,11 months ago
granite4.0-preview:tiny-instruct-q3_K_M,3.2GB,1M,Text,1cb208747b5f,11 months ago
granite4.0-preview:tiny-instruct-q3_K_L,3.4GB,1M,Text,02230a76c984,11 months ago
granite4.0-preview:tiny-instruct-q4_0,3.8GB,1M,Text,532787b8fce6,11 months ago
granite4.0-preview:tiny-instruct-q4_1,4.2GB,1M,Text,476533dfb86e,11 months ago
granite4.0-preview:tiny-instruct-q4_K_S,3.8GB,1M,Text,e614ef0a2d45,11 months ago
granite4.0-preview:tiny-instruct-q4_K_M,4.0GB,1M,Text,61f7d6c4f9b8,11 months ago
granite4.0-preview:tiny-instruct-q5_0,4.6GB,1M,Text,0748274e15fa,11 months ago
granite4.0-preview:tiny-instruct-q5_1,5.0GB,1M,Text,767219393fb6,11 months ago
granite4.0-preview:tiny-instruct-q5_K_S,4.6GB,1M,Text,377173acb171,11 months ago
granite4.0-preview:tiny-instruct-q5_K_M,4.7GB,1M,Text,7d65562c3f16,11 months ago
granite4.0-preview:tiny-instruct-q6_K,5.5GB,1M,Text,8af3d4ecc85c,11 months ago
granite4.0-preview:tiny-instruct-q8_0,7.1GB,1M,Text,bf8d998b583f,11 months ago
granite4.0-preview:tiny-instruct-f16,13GB,1M,Text,8a30cdadd87f,11 months ago
