Name,Size / Usage,Context,Input,Digest,Updated
granite4.2:3b,2.2GB,128K,Text,7a65e6414ad6,1 week ago
granite4.2:8b,5.3GB,128K,Text,efbf7a204b67,1 week ago
granite4.2:30b,18GB,128K,Text,e65d8fa47f66,1 week ago
granite4.2:3b-q2_K,1.5GB,128K,Text,0681d16a437e,1 week ago
granite4.2:3b-q3_K_S,1.7GB,128K,Text,9f0ff9d12685,1 week ago
granite4.2:3b-q3_K_M,1.8GB,128K,Text,bacb915b3d79,1 week ago
granite4.2:3b-q3_K_L,2.0GB,128K,Text,6b46da5ef255,1 week ago
granite4.2:3b-q4_0,2.1GB,128K,Text,7bc936b56fec,1 week ago
granite4.2:3b-q4_1,2.3GB,128K,Text,b56bbd9a3274,1 week ago
granite4.2:3b-q4_K_S,2.1GB,128K,Text,0ff85ec2f9bc,1 week ago
granite4.2:3b-q4_K_M,2.2GB,128K,Text,7a65e6414ad6,1 week ago
granite4.2:3b-q5_0,2.6GB,128K,Text,e083ed55bd53,1 week ago
granite4.2:3b-q5_1,2.8GB,128K,Text,89a2836a3b66,1 week ago
granite4.2:3b-q5_K_S,2.6GB,128K,Text,59e1cd391082,1 week ago
granite4.2:3b-q5_K_M,2.6GB,128K,Text,895a8b7d3834,1 week ago
granite4.2:3b-q6_K,3.0GB,128K,Text,12e3b9262f02,1 week ago
granite4.2:3b-q8_0,3.9GB,128K,Text,e4971383b71d,1 week ago
granite4.2:3b-bf16,7.3GB,128K,Text,0e0a538a0f21,1 week ago
granite4.2:8b-q2_K,3.4GB,128K,Text,a998461bae0d,1 week ago
granite4.2:8b-q3_K_S,3.9GB,128K,Text,64319701e841,1 week ago
granite4.2:8b-q3_K_M,4.3GB,128K,Text,6a154d042cac,1 week ago
granite4.2:8b-q3_K_L,4.7GB,128K,Text,84181ef35707,1 week ago
granite4.2:8b-q4_0,5.1GB,128K,Text,f50b12c2f6a4,1 week ago
granite4.2:8b-q4_1,5.6GB,128K,Text,c7aa2029ef6d,1 week ago
granite4.2:8b-q4_K_S,5.1GB,128K,Text,b58135edd0a8,1 week ago
granite4.2:8b-q4_K_M,5.3GB,128K,Text,efbf7a204b67,1 week ago
granite4.2:8b-q5_0,6.1GB,128K,Text,086b9907dbf7,1 week ago
granite4.2:8b-q5_1,6.6GB,128K,Text,8df237f87bfa,1 week ago
granite4.2:8b-q5_K_S,6.1GB,128K,Text,9e39fbfdf923,1 week ago
granite4.2:8b-q5_K_M,6.3GB,128K,Text,8f7e0014f25a,1 week ago
granite4.2:8b-q6_K,7.2GB,128K,Text,18bc6f885e1e,1 week ago
granite4.2:8b-q8_0,9.3GB,128K,Text,129fb7971800,1 week ago
granite4.2:8b-bf16,18GB,128K,Text,8970bb7fa6bb,1 week ago
granite4.2:30b-q2_K,11GB,128K,Text,21204cafe2a3,1 week ago
granite4.2:30b-q3_K_S,13GB,128K,Text,8ff9887e6dcb,1 week ago
granite4.2:30b-q3_K_M,14GB,128K,Text,a079936d22cf,1 week ago
granite4.2:30b-q3_K_L,15GB,128K,Text,a6a02dcbb424,1 week ago
granite4.2:30b-q4_0,17GB,128K,Text,fb6d0a428d28,1 week ago
granite4.2:30b-q4_1,18GB,128K,Text,54e923a9e02a,1 week ago
granite4.2:30b-q4_K_S,17GB,128K,Text,ae6b4069c9d1,1 week ago
granite4.2:30b-q4_K_M,18GB,128K,Text,e65d8fa47f66,1 week ago
granite4.2:30b-q5_0,20GB,128K,Text,ad2644f802b6,1 week ago
granite4.2:30b-q5_1,22GB,128K,Text,4718b9da0c87,1 week ago
granite4.2:30b-q5_K_S,20GB,128K,Text,bf40df3173b0,1 week ago
granite4.2:30b-q5_K_M,21GB,128K,Text,eac89cee49da,1 week ago
granite4.2:30b-q6_K,24GB,128K,Text,226492693360,1 week ago
granite4.2:30b-q8_0,31GB,128K,Text,e4dd353378a0,1 week ago
granite4.2:30b-bf16,45GB,128K,Text,e76d060ddfa7,1 week ago
