Name,Size / Usage,Context,Input,Digest,Updated
granite4:latest,2.1GB,128K,Text,98b5cfd619dd,10 months ago
granite4:micro,2.1GB,128K,Text,89962fcc7523,11 months ago
granite4:350m,708MB,32K,Text,5eee845b49c4,10 months ago
granite4:1b,3.3GB,128K,Text,26e4cb132798,10 months ago
granite4:3b,2.1GB,128K,Text,89962fcc7523,10 months ago
granite4:350m-base-q2_K,181MB,32K,Text,c6b51e1b6648,10 months ago
granite4:350m-base-q3_K_S,195MB,32K,Text,229dfb8c5522,10 months ago
granite4:350m-base-q3_K_M,208MB,32K,Text,2ac9fd2e0bc1,10 months ago
granite4:350m-base-q3_K_L,220MB,32K,Text,573aad6445be,10 months ago
granite4:350m-base-q4_0,228MB,32K,Text,36807bf6ab92,10 months ago
granite4:350m-base-q4_1,244MB,32K,Text,906025147b1b,10 months ago
granite4:350m-base-q4_K_S,229MB,32K,Text,c491c3e10202,10 months ago
granite4:350m-base-q4_K_M,237MB,32K,Text,9ac9d157eada,10 months ago
granite4:350m-base-q5_0,260MB,32K,Text,2e297eed9623,10 months ago
granite4:350m-base-q5_1,275MB,32K,Text,548757aaefbe,10 months ago
granite4:350m-base-q5_K_S,260MB,32K,Text,16c442bbb92b,10 months ago
granite4:350m-base-q5_K_M,264MB,32K,Text,aa94f2db6668,10 months ago
granite4:350m-base-q6_K,293MB,32K,Text,c6e2f1a19d96,10 months ago
granite4:350m-base-q8_0,378MB,32K,Text,c2242b8fc00c,10 months ago
granite4:350m-base-f16,708MB,32K,Text,db71f755768b,10 months ago
granite4:350m-base-bf16,708MB,32K,Text,e22733e34ef0,10 months ago
granite4:350m-h,366MB,1M,Text,7145075ed3d6,10 months ago
granite4:350m-h-base-q2_K,160MB,1M,Text,8ebc2d29ab98,10 months ago
granite4:350m-h-q2_K,160MB,1M,Text,095c6a011c36,10 months ago
granite4:350m-h-base-q3_K_S,181MB,1M,Text,238f8ab7cce4,10 months ago
granite4:350m-h-q3_K_S,181MB,1M,Text,e376efd6da33,10 months ago
granite4:350m-h-base-q3_K_M,189MB,1M,Text,479207290be7,10 months ago
granite4:350m-h-q3_K_M,189MB,1M,Text,eca5dfd0dd8d,10 months ago
granite4:350m-h-base-q3_K_L,195MB,1M,Text,44c4aecd6f23,10 months ago
granite4:350m-h-q3_K_L,195MB,1M,Text,ece1ad8bbde4,10 months ago
granite4:350m-h-base-q4_0,216MB,1M,Text,5e6fe39f6a5a,10 months ago
granite4:350m-h-q4_0,216MB,1M,Text,b44a3d784081,10 months ago
granite4:350m-h-base-q4_1,233MB,1M,Text,a763c30ad1d5,10 months ago
granite4:350m-h-q4_1,233MB,1M,Text,597cd01d0b83,10 months ago
granite4:350m-h-base-q4_K_S,217MB,1M,Text,211ccef1e12f,10 months ago
granite4:350m-h-q4_K_S,217MB,1M,Text,4e601bfba0f9,10 months ago
granite4:350m-h-base-q4_K_M,223MB,1M,Text,3c0ab17eee9e,10 months ago
granite4:350m-h-q4_K_M,223MB,1M,Text,c1212b660941,10 months ago
granite4:350m-h-base-q5_0,249MB,1M,Text,a0deba5c7f45,10 months ago
granite4:350m-h-q5_0,249MB,1M,Text,b2d1e545e535,10 months ago
granite4:350m-h-base-q5_1,265MB,1M,Text,8ca7d5740458,10 months ago
granite4:350m-h-q5_1,265MB,1M,Text,2f4731153821,10 months ago
granite4:350m-h-base-q5_K_S,249MB,1M,Text,145747056d3e,10 months ago
granite4:350m-h-q5_K_S,249MB,1M,Text,ab20a438de09,10 months ago
granite4:350m-h-base-q5_K_M,252MB,1M,Text,78ee04b78898,10 months ago
granite4:350m-h-q5_K_M,252MB,1M,Text,5b6eaf05f3b1,10 months ago
granite4:350m-h-base-q6_K,284MB,1M,Text,7923e6cdd952,10 months ago
granite4:350m-h-q6_K,284MB,1M,Text,52b034b7886b,10 months ago
granite4:350m-h-base-q8_0,366MB,1M,Text,fc639b9e4edb,10 months ago
granite4:350m-h-q8_0,366MB,1M,Text,7145075ed3d6,10 months ago
granite4:350m-h-base-f16,685MB,1M,Text,ab2c68ebd903,10 months ago
granite4:350m-h-f16,685MB,1M,Text,ee5b4752df5b,10 months ago
granite4:350m-h-base-bf16,685MB,1M,Text,d0e2a7befca8,10 months ago
granite4:350m-h-bf16,685MB,1M,Text,c0e597002a17,10 months ago
granite4:350m-q2_K,181MB,32K,Text,4388094af88e,10 months ago
granite4:350m-q3_K_S,195MB,32K,Text,8e8f22f173de,10 months ago
granite4:350m-q3_K_M,208MB,32K,Text,f6f52d09dec5,10 months ago
granite4:350m-q3_K_L,220MB,32K,Text,69bdc42d48f8,10 months ago
granite4:350m-q4_0,228MB,32K,Text,605debddea6e,10 months ago
granite4:350m-q4_1,244MB,32K,Text,d64cc0cd6765,10 months ago
granite4:350m-q4_K_S,229MB,32K,Text,224435010cf5,10 months ago
granite4:350m-q4_K_M,237MB,32K,Text,9b0e22699cc4,10 months ago
granite4:350m-q5_0,260MB,32K,Text,a5348aa46c6d,10 months ago
granite4:350m-q5_1,275MB,32K,Text,3df269de717b,10 months ago
granite4:350m-q5_K_S,260MB,32K,Text,cb191bbc0b2c,10 months ago
granite4:350m-q5_K_M,264MB,32K,Text,e342e0b9940f,10 months ago
granite4:350m-q6_K,293MB,32K,Text,ce994e52918f,10 months ago
granite4:350m-q8_0,378MB,32K,Text,ab70622bfd6d,10 months ago
granite4:350m-f16,708MB,32K,Text,5f406a30dfcd,10 months ago
granite4:350m-bf16,708MB,32K,Text,5eee845b49c4,10 months ago
granite4:1b-base-q2_K,702MB,128K,Text,058f7f8a5050,10 months ago
granite4:1b-base-q3_K_S,786MB,128K,Text,702676384ab6,10 months ago
granite4:1b-base-q3_K_M,860MB,128K,Text,4952c67a331f,10 months ago
granite4:1b-base-q3_K_L,926MB,128K,Text,65ffca9fa61c,10 months ago
granite4:1b-base-q4_0,975MB,128K,Text,373f27cac06f,10 months ago
granite4:1b-base-q4_1,1.1GB,128K,Text,47e34d293042,10 months ago
granite4:1b-base-q4_K_S,981MB,128K,Text,c00347af2bb9,10 months ago
granite4:1b-base-q4_K_M,1.0GB,128K,Text,c8892f62bfcd,10 months ago
granite4:1b-base-q5_0,1.2GB,128K,Text,c7baa7aa30e8,10 months ago
granite4:1b-base-q5_1,1.2GB,128K,Text,7f6307f2cc8c,10 months ago
granite4:1b-base-q5_K_S,1.2GB,128K,Text,dee359a7888b,10 months ago
granite4:1b-base-q5_K_M,1.2GB,128K,Text,8b421f6fb5d3,10 months ago
granite4:1b-base-q6_K,1.3GB,128K,Text,506968fbbf51,10 months ago
granite4:1b-base-q8_0,1.7GB,128K,Text,903d9d7a0c17,10 months ago
granite4:1b-base-f16,3.3GB,128K,Text,5f735e6bf0de,10 months ago
granite4:1b-base-bf16,3.3GB,128K,Text,84ebb272fa5a,10 months ago
granite4:1b-h,1.6GB,1M,Text,7761ae79cab9,10 months ago
granite4:1b-h-base-q2_K,589MB,1M,Text,85298a97e1a8,10 months ago
granite4:1b-h-q2_K,589MB,1M,Text,10881bb567b9,10 months ago
granite4:1b-h-base-q3_K_S,695MB,1M,Text,04d1bd28c0d1,10 months ago
granite4:1b-h-q3_K_S,695MB,1M,Text,f691cbdffe22,10 months ago
granite4:1b-h-base-q3_K_M,732MB,1M,Text,9a94d8a83cda,10 months ago
granite4:1b-h-q3_K_M,732MB,1M,Text,45a24969d797,10 months ago
granite4:1b-h-base-q3_K_L,763MB,1M,Text,9de46b2c53ea,10 months ago
granite4:1b-h-q3_K_L,763MB,1M,Text,9996a7ac4deb,10 months ago
granite4:1b-h-base-q4_0,868MB,1M,Text,5e5794340010,10 months ago
granite4:1b-h-q4_0,868MB,1M,Text,02302f39df66,10 months ago
granite4:1b-h-base-q4_1,950MB,1M,Text,548994e31191,10 months ago
granite4:1b-h-q4_1,950MB,1M,Text,8eb7be51e860,10 months ago
granite4:1b-h-base-q4_K_S,873MB,1M,Text,cb390dcab69a,10 months ago
granite4:1b-h-q4_K_S,873MB,1M,Text,24456b5fd2da,10 months ago
granite4:1b-h-base-q4_K_M,901MB,1M,Text,1b08c9e641aa,10 months ago
granite4:1b-h-q4_K_M,901MB,1M,Text,0edb9a6ca284,10 months ago
granite4:1b-h-base-q5_0,1.0GB,1M,Text,3d9d4e2c0945,10 months ago
granite4:1b-h-q5_0,1.0GB,1M,Text,4f1206d96a08,10 months ago
granite4:1b-h-base-q5_1,1.1GB,1M,Text,c689da56298f,10 months ago
granite4:1b-h-q5_1,1.1GB,1M,Text,adbc7ffd477c,10 months ago
granite4:1b-h-base-q5_K_S,1.0GB,1M,Text,d678bd8ddc91,10 months ago
granite4:1b-h-q5_K_S,1.0GB,1M,Text,8154dcc811d0,10 months ago
granite4:1b-h-base-q5_K_M,1.0GB,1M,Text,9e3e981b1b33,10 months ago
granite4:1b-h-q5_K_M,1.0GB,1M,Text,2e60bc7b0025,10 months ago
granite4:1b-h-base-q6_K,1.2GB,1M,Text,25f67dce907b,10 months ago
granite4:1b-h-q6_K,1.2GB,1M,Text,47d126dc2b8e,10 months ago
granite4:1b-h-base-q8_0,1.6GB,1M,Text,4c11ecc40d05,10 months ago
granite4:1b-h-q8_0,1.6GB,1M,Text,7761ae79cab9,10 months ago
granite4:1b-h-base-f16,2.9GB,1M,Text,bc30f999ea0f,10 months ago
granite4:1b-h-f16,2.9GB,1M,Text,6225a45edb4b,10 months ago
granite4:1b-h-base-bf16,2.9GB,1M,Text,9c5a47645a5a,10 months ago
granite4:1b-h-bf16,2.9GB,1M,Text,1245a435071f,10 months ago
granite4:1b-q2_K,702MB,128K,Text,fa4051ba3820,10 months ago
granite4:1b-q3_K_S,786MB,128K,Text,ac1ed87332d8,10 months ago
granite4:1b-q3_K_M,860MB,128K,Text,ceb1c75e26f1,10 months ago
granite4:1b-q3_K_L,926MB,128K,Text,43668b72fe11,10 months ago
granite4:1b-q4_0,975MB,128K,Text,872caea5aeed,10 months ago
granite4:1b-q4_1,1.1GB,128K,Text,db76cdf9bdfd,10 months ago
granite4:1b-q4_K_S,981MB,128K,Text,41096a47db73,10 months ago
granite4:1b-q4_K_M,1.0GB,128K,Text,2ab52bcf7214,10 months ago
granite4:1b-q5_0,1.2GB,128K,Text,359eb5246771,10 months ago
granite4:1b-q5_1,1.2GB,128K,Text,a941848b3f4b,10 months ago
granite4:1b-q5_K_S,1.2GB,128K,Text,eac37d5e201d,10 months ago
granite4:1b-q5_K_M,1.2GB,128K,Text,04919a96d1c0,10 months ago
granite4:1b-q6_K,1.3GB,128K,Text,d613923cdcae,10 months ago
granite4:1b-q8_0,1.7GB,128K,Text,cbde93658fc5,10 months ago
granite4:1b-f16,3.3GB,128K,Text,c204e5c2b586,10 months ago
granite4:1b-bf16,3.3GB,128K,Text,26e4cb132798,10 months ago
granite4:3b-h,1.9GB,1M,Text,076afb3855dc,10 months ago
granite4:7b-a1b-h,4.2GB,1M,Text,566b725534ea,10 months ago
