Name,Size / Usage,Context,Input,Digest,Updated,source,size_gb,is_installed
gemma3:270m-it-qat,241MB,32K,Text,b16d6d39dfbd,1 year ago,all_models_sorted.csv,0.2353515625,True
gemma3:270m-it-qat,241MB,32K,Text,b16d6d39dfbd,1 year ago,gemma\gemma3.csv,0.2353515625,True
gemma3:270m-it-qat,241MB,32K,Text,b16d6d39dfbd,1 year ago,models_under_5gb.csv,0.2353515625,True
qwen2.5-coder:0.5b-instruct-q3_K_S,338MB,32K,Text,8bb2ad3ffe61,1 year ago,models_under_5gb.csv,0.330078125,True
qwen2.5-coder:0.5b-base-q3_K_S,338MB,32K,Text,e422e12f737e,1 year ago,models_under_5gb.csv,0.330078125,True
qwen2.5-coder:0.5b-base-q3_K_S,338MB,32K,Text,e422e12f737e,1 year ago,all_models_sorted.csv,0.330078125,True
qwen2:0.5b-instruct-q3_K_S,338MB,32K,Text,ae41a13fd9b2,2 years ago,all_models_sorted.csv,0.330078125,True
qwen2.5-coder:0.5b-base-q3_K_S,338MB,32K,Text,e422e12f737e,1 year ago,qwen\qwen2.5-coder.csv,0.330078125,True
qwen2.5-coder:0.5b-instruct-q3_K_S,338MB,32K,Text,8bb2ad3ffe61,1 year ago,qwen\qwen2.5-coder.csv,0.330078125,True
qwen2:0.5b-instruct-q3_K_S,338MB,32K,Text,ae41a13fd9b2,2 years ago,qwen\qwen2.csv,0.330078125,True
qwen2:0.5b-instruct-q3_K_S,338MB,32K,Text,ae41a13fd9b2,2 years ago,models_under_5gb.csv,0.330078125,True
qwen2.5-coder:0.5b-instruct-q3_K_S,338MB,32K,Text,8bb2ad3ffe61,1 year ago,all_models_sorted.csv,0.330078125,True
qwen2:0.5b-instruct-q2_K,339MB,32K,Text,06dda8c1519a,2 years ago,all_models_sorted.csv,0.3310546875,True
qwen2:0.5b-instruct-q2_K,339MB,32K,Text,06dda8c1519a,2 years ago,models_under_5gb.csv,0.3310546875,True
qwen2.5-coder:0.5b-instruct-q2_K,339MB,32K,Text,76b5ba6f676e,1 year ago,models_under_5gb.csv,0.3310546875,True
qwen2.5-coder:0.5b-base-q2_K,339MB,32K,Text,d31a8a24175b,1 year ago,models_under_5gb.csv,0.3310546875,True
qwen2.5-coder:0.5b-base-q2_K,339MB,32K,Text,d31a8a24175b,1 year ago,all_models_sorted.csv,0.3310546875,True
qwen2.5-coder:0.5b-instruct-q2_K,339MB,32K,Text,76b5ba6f676e,1 year ago,qwen\qwen2.5-coder.csv,0.3310546875,True
qwen2:0.5b-instruct-q2_K,339MB,32K,Text,06dda8c1519a,2 years ago,qwen\qwen2.csv,0.3310546875,True
qwen2.5-coder:0.5b-base-q2_K,339MB,32K,Text,d31a8a24175b,1 year ago,qwen\qwen2.5-coder.csv,0.3310546875,True
qwen2.5-coder:0.5b-instruct-q2_K,339MB,32K,Text,76b5ba6f676e,1 year ago,all_models_sorted.csv,0.3310546875,True
qwen2.5-coder:0.5b-instruct-q4_0,352MB,32K,Text,563b972026e4,1 year ago,qwen\qwen2.5-coder.csv,0.34375,True
qwen2:0.5b-instruct-q4_0,352MB,32K,Text,6f48b936a09f,2 years ago,all_models_sorted.csv,0.34375,True
qwen2:0.5b-instruct,352MB,32K,Text,6f48b936a09f,2 years ago,all_models_sorted.csv,0.34375,True
qwen2.5-coder:0.5b-instruct-q4_0,352MB,32K,Text,563b972026e4,1 year ago,all_models_sorted.csv,0.34375,True
qwen2:0.5b,352MB,32K,Text,6f48b936a09f,2 years ago,all_models_sorted.csv,0.34375,True
qwen2.5-coder:0.5b-base-q4_0,352MB,32K,Text,5b162945dc3f,1 year ago,qwen\qwen2.5-coder.csv,0.34375,True
qwen2:0.5b,352MB,32K,Text,6f48b936a09f,2 years ago,models_under_5gb.csv,0.34375,True
qwen2.5-coder:0.5b-instruct-q4_0,352MB,32K,Text,563b972026e4,1 year ago,models_under_5gb.csv,0.34375,True
qwen2:0.5b-instruct-q4_0,352MB,32K,Text,6f48b936a09f,2 years ago,models_under_5gb.csv,0.34375,True
qwen2.5-coder:0.5b-base-q4_0,352MB,32K,Text,5b162945dc3f,1 year ago,models_under_5gb.csv,0.34375,True
qwen2.5-coder:0.5b-base-q4_0,352MB,32K,Text,5b162945dc3f,1 year ago,all_models_sorted.csv,0.34375,True
qwen2:0.5b-instruct,352MB,32K,Text,6f48b936a09f,2 years ago,models_under_5gb.csv,0.34375,True
qwen2:0.5b-instruct-q4_0,352MB,32K,Text,6f48b936a09f,2 years ago,qwen\qwen2.csv,0.34375,True
qwen2:0.5b,352MB,32K,Text,6f48b936a09f,2 years ago,qwen\qwen2.csv,0.34375,True
qwen2:0.5b-instruct,352MB,32K,Text,6f48b936a09f,2 years ago,qwen\qwen2.csv,0.34375,True
qwen2.5-coder:0.5b-base-q3_K_M,355MB,32K,Text,2f339fd12a48,1 year ago,all_models_sorted.csv,0.3466796875,True
qwen2.5-coder:0.5b-base-q3_K_M,355MB,32K,Text,2f339fd12a48,1 year ago,models_under_5gb.csv,0.3466796875,True
qwen2.5-coder:0.5b-base-q3_K_M,355MB,32K,Text,2f339fd12a48,1 year ago,qwen\qwen2.5-coder.csv,0.3466796875,True
qwen2:0.5b-instruct-q3_K_M,355MB,32K,Text,2adbb16f0a5d,2 years ago,qwen\qwen2.csv,0.3466796875,True
qwen2.5-coder:0.5b-instruct-q3_K_M,355MB,32K,Text,bfa544a4a1e4,1 year ago,all_models_sorted.csv,0.3466796875,True
qwen2.5-coder:0.5b-instruct-q3_K_M,355MB,32K,Text,bfa544a4a1e4,1 year ago,qwen\qwen2.5-coder.csv,0.3466796875,True
qwen2:0.5b-instruct-q3_K_M,355MB,32K,Text,2adbb16f0a5d,2 years ago,models_under_5gb.csv,0.3466796875,True
qwen2.5-coder:0.5b-instruct-q3_K_M,355MB,32K,Text,bfa544a4a1e4,1 year ago,models_under_5gb.csv,0.3466796875,True
qwen2:0.5b-instruct-q3_K_M,355MB,32K,Text,2adbb16f0a5d,2 years ago,all_models_sorted.csv,0.3466796875,True
granite4:350m-h,366MB,1M,Text,7145075ed3d6,10 months ago,models_under_5gb.csv,0.357421875,True
granite4:350m-h,366MB,1M,Text,7145075ed3d6,10 months ago,all_models_sorted.csv,0.357421875,True
granite4:350m-h,366MB,1M,Text,7145075ed3d6,10 months ago,ibm\granite4.csv,0.357421875,True
qwen2.5-coder:0.5b-instruct-q3_K_L,369MB,32K,Text,421e449ec2a2,1 year ago,all_models_sorted.csv,0.3603515625,True
qwen2:0.5b-instruct-q3_K_L,369MB,32K,Text,425aee1fa207,2 years ago,qwen\qwen2.csv,0.3603515625,True
qwen2.5-coder:0.5b-base-q3_K_L,369MB,32K,Text,4a05a175ece5,1 year ago,models_under_5gb.csv,0.3603515625,True
qwen2:0.5b-instruct-q3_K_L,369MB,32K,Text,425aee1fa207,2 years ago,models_under_5gb.csv,0.3603515625,True
qwen2.5-coder:0.5b-instruct-q3_K_L,369MB,32K,Text,421e449ec2a2,1 year ago,models_under_5gb.csv,0.3603515625,True
qwen2.5-coder:0.5b-base-q3_K_L,369MB,32K,Text,4a05a175ece5,1 year ago,all_models_sorted.csv,0.3603515625,True
qwen2.5-coder:0.5b-base-q3_K_L,369MB,32K,Text,4a05a175ece5,1 year ago,qwen\qwen2.5-coder.csv,0.3603515625,True
qwen2:0.5b-instruct-q3_K_L,369MB,32K,Text,425aee1fa207,2 years ago,all_models_sorted.csv,0.3603515625,True
qwen2.5-coder:0.5b-instruct-q3_K_L,369MB,32K,Text,421e449ec2a2,1 year ago,qwen\qwen2.5-coder.csv,0.3603515625,True
qwen2.5-coder:0.5b-instruct-q4_1,375MB,32K,Text,1a07144b5855,1 year ago,models_under_5gb.csv,0.3662109375,True
qwen2.5-coder:0.5b-base-q4_1,375MB,32K,Text,27c4e36f2bf1,1 year ago,models_under_5gb.csv,0.3662109375,True
qwen2:0.5b-instruct-q4_1,375MB,32K,Text,a1a9a139f5f4,2 years ago,models_under_5gb.csv,0.3662109375,True
qwen2.5-coder:0.5b-instruct-q4_1,375MB,32K,Text,1a07144b5855,1 year ago,qwen\qwen2.5-coder.csv,0.3662109375,True
qwen2.5-coder:0.5b-base-q4_1,375MB,32K,Text,27c4e36f2bf1,1 year ago,all_models_sorted.csv,0.3662109375,True
qwen2.5-coder:0.5b-base-q4_1,375MB,32K,Text,27c4e36f2bf1,1 year ago,qwen\qwen2.5-coder.csv,0.3662109375,True
qwen2:0.5b-instruct-q4_1,375MB,32K,Text,a1a9a139f5f4,2 years ago,qwen\qwen2.csv,0.3662109375,True
qwen2:0.5b-instruct-q4_1,375MB,32K,Text,a1a9a139f5f4,2 years ago,all_models_sorted.csv,0.3662109375,True
qwen2.5-coder:0.5b-instruct-q4_1,375MB,32K,Text,1a07144b5855,1 year ago,all_models_sorted.csv,0.3662109375,True
qwen2.5-coder:0.5b-instruct-q4_K_S,385MB,32K,Text,3260403e0ead,1 year ago,models_under_5gb.csv,0.3759765625,True
qwen2.5-coder:0.5b-base-q4_K_S,385MB,32K,Text,fb9f36e97c1a,1 year ago,models_under_5gb.csv,0.3759765625,True
qwen2.5-coder:0.5b-base-q4_K_S,385MB,32K,Text,fb9f36e97c1a,1 year ago,qwen\qwen2.5-coder.csv,0.3759765625,True
qwen2:0.5b-instruct-q4_K_S,385MB,32K,Text,f6898a38eeae,2 years ago,qwen\qwen2.csv,0.3759765625,True
qwen2.5-coder:0.5b-instruct-q4_K_S,385MB,32K,Text,3260403e0ead,1 year ago,qwen\qwen2.5-coder.csv,0.3759765625,True
qwen2:0.5b-instruct-q4_K_S,385MB,32K,Text,f6898a38eeae,2 years ago,models_under_5gb.csv,0.3759765625,True
qwen2.5-coder:0.5b-base-q4_K_S,385MB,32K,Text,fb9f36e97c1a,1 year ago,all_models_sorted.csv,0.3759765625,True
qwen2:0.5b-instruct-q4_K_S,385MB,32K,Text,f6898a38eeae,2 years ago,all_models_sorted.csv,0.3759765625,True
qwen2.5-coder:0.5b-instruct-q4_K_S,385MB,32K,Text,3260403e0ead,1 year ago,all_models_sorted.csv,0.3759765625,True
qwen:0.5b,395MB,32K,Text,b5dc5e784f2a,2 years ago,all_models_sorted.csv,0.3857421875,True
qwen:0.5b,395MB,32K,Text,b5dc5e784f2a,2 years ago,models_under_5gb.csv,0.3857421875,True
qwen:0.5b,395MB,32K,Text,b5dc5e784f2a,2 years ago,qwen\qwen.csv,0.3857421875,True
qwen2:0.5b-instruct-q5_0,397MB,32K,Text,b17625f38956,2 years ago,models_under_5gb.csv,0.3876953125,True
qwen2.5-coder:0.5b-base-q5_0,397MB,32K,Text,d913cffe15a5,1 year ago,all_models_sorted.csv,0.3876953125,True
qwen2.5-coder:0.5b-instruct-q5_0,397MB,32K,Text,3f95976d5c24,1 year ago,qwen\qwen2.5-coder.csv,0.3876953125,True
qwen2.5-coder:0.5b-instruct-q5_0,397MB,32K,Text,3f95976d5c24,1 year ago,all_models_sorted.csv,0.3876953125,True
qwen2:0.5b-instruct-q5_0,397MB,32K,Text,b17625f38956,2 years ago,all_models_sorted.csv,0.3876953125,True
qwen2.5-coder:0.5b-base-q5_0,397MB,32K,Text,d913cffe15a5,1 year ago,qwen\qwen2.5-coder.csv,0.3876953125,True
qwen2.5-coder:0.5b-instruct-q5_0,397MB,32K,Text,3f95976d5c24,1 year ago,models_under_5gb.csv,0.3876953125,True
qwen2:0.5b-instruct-q5_0,397MB,32K,Text,b17625f38956,2 years ago,qwen\qwen2.csv,0.3876953125,True
qwen2.5-coder:0.5b-base-q5_0,397MB,32K,Text,d913cffe15a5,1 year ago,models_under_5gb.csv,0.3876953125,True
qwen2:0.5b-instruct-q4_K_M,398MB,32K,Text,19d15f48d098,2 years ago,models_under_5gb.csv,0.388671875,True
qwen2.5-coder:0.5b-base-q4_K_M,398MB,32K,Text,a5e657de26cb,1 year ago,models_under_5gb.csv,0.388671875,True
qwen2:0.5b-instruct-q4_K_M,398MB,32K,Text,19d15f48d098,2 years ago,all_models_sorted.csv,0.388671875,True
qwen2.5-coder:0.5b,398MB,32K,Text,4ff64a7f502a,1 year ago,all_models_sorted.csv,0.388671875,True
qwen2.5-coder:0.5b-base-q4_K_M,398MB,32K,Text,a5e657de26cb,1 year ago,all_models_sorted.csv,0.388671875,True
qwen2.5-coder:0.5b-instruct-q4_K_M,398MB,32K,Text,4ff64a7f502a,1 year ago,all_models_sorted.csv,0.388671875,True
