Name,Size / Usage,Context,Input,Digest,Updated
llama-guard3:latest,4.9GB,128K,Text,46f211c3d866,1 year ago
llama-guard3:1b,1.6GB,128K,Text,494147e06bf9,1 year ago
llama-guard3:8b,4.9GB,128K,Text,46f211c3d866,1 year ago
llama-guard3:1b-q2_K,667MB,128K,Text,4f4a8f765204,1 year ago
llama-guard3:1b-q3_K_S,755MB,128K,Text,ba60616a0c42,1 year ago
llama-guard3:1b-q3_K_M,804MB,128K,Text,b78caaa936b2,1 year ago
llama-guard3:1b-q3_K_L,845MB,128K,Text,56573dbb7522,1 year ago
llama-guard3:1b-q4_0,919MB,128K,Text,9ef1b1d8bcf1,1 year ago
llama-guard3:1b-q4_1,996MB,128K,Text,472f17649b81,1 year ago
llama-guard3:1b-q4_K_S,923MB,128K,Text,c704818a1eb7,1 year ago
llama-guard3:1b-q4_K_M,955MB,128K,Text,f00008beff55,1 year ago
llama-guard3:1b-q5_0,1.1GB,128K,Text,addf16c29474,1 year ago
llama-guard3:1b-q5_1,1.2GB,128K,Text,b50f55fc799b,1 year ago
llama-guard3:1b-q5_K_S,1.1GB,128K,Text,0d2095859cf0,1 year ago
llama-guard3:1b-q5_K_M,1.1GB,128K,Text,ce0d5502e1e3,1 year ago
llama-guard3:1b-q6_K,1.2GB,128K,Text,fa99080590a2,1 year ago
llama-guard3:1b-q8_0,1.6GB,128K,Text,494147e06bf9,1 year ago
llama-guard3:1b-fp16,3.0GB,128K,Text,d72f84e54012,1 year ago
llama-guard3:8b-q2_K,3.2GB,128K,Text,48bd36a8a40c,1 year ago
llama-guard3:8b-q3_K_S,3.7GB,128K,Text,d1fa14fbd1a6,1 year ago
llama-guard3:8b-q3_K_M,4.0GB,128K,Text,0043e6c0f561,1 year ago
llama-guard3:8b-q3_K_L,4.3GB,128K,Text,bea5c2385dc2,1 year ago
llama-guard3:8b-q4_0,4.7GB,128K,Text,d8d7fb8dfa56,1 year ago
llama-guard3:8b-q4_1,5.1GB,128K,Text,dbdbb468940f,1 year ago
llama-guard3:8b-q4_K_S,4.7GB,128K,Text,7e8d75f07310,1 year ago
llama-guard3:8b-q4_K_M,4.9GB,128K,Text,46f211c3d866,1 year ago
llama-guard3:8b-q5_0,5.6GB,128K,Text,d3622397e2ce,1 year ago
llama-guard3:8b-q5_1,6.1GB,128K,Text,f32c583fc2dd,1 year ago
llama-guard3:8b-q5_K_S,5.6GB,128K,Text,adfedf090c4a,1 year ago
llama-guard3:8b-q5_K_M,5.7GB,128K,Text,38e0f1d13795,1 year ago
llama-guard3:8b-q6_K,6.6GB,128K,Text,ca512b2c0abf,1 year ago
llama-guard3:8b-q8_0,8.5GB,128K,Text,5cc118047fb2,1 year ago
llama-guard3:8b-fp16,16GB,128K,Text,6945df9ed1fe,1 year ago
