Name,Size / Usage,Context,Input
llama-pro:latest,4.7GB,4K,Text
llama-pro:instruct,4.7GB,4K,Text
llama-pro:text,4.7GB,4K,Text
llama-pro:8b-instruct-q2_K,3.5GB,4K,Text
llama-pro:8b-instruct-q3_K_S,3.6GB,4K,Text
llama-pro:8b-instruct-q3_K_M,4.1GB,4K,Text
llama-pro:8b-instruct-q3_K_L,4.5GB,4K,Text
llama-pro:8b-instruct-q4_0,4.7GB,4K,Text
llama-pro:8b-instruct-q4_1,5.3GB,4K,Text
llama-pro:8b-instruct-q4_K_S,4.8GB,4K,Text
llama-pro:8b-instruct-q4_K_M,5.1GB,4K,Text
llama-pro:8b-instruct-q5_0,5.8GB,4K,Text
llama-pro:8b-instruct-q5_1,6.3GB,4K,Text
llama-pro:8b-instruct-q5_K_S,5.8GB,4K,Text
llama-pro:8b-instruct-q5_K_M,5.9GB,4K,Text
llama-pro:8b-instruct-q6_K,6.9GB,4K,Text
llama-pro:8b-instruct-q8_0,8.9GB,4K,Text
llama-pro:8b-instruct-fp16,17GB,4K,Text
llama-pro:8b-text-q2_K,3.5GB,4K,Text
llama-pro:8b-text-q3_K_S,3.6GB,4K,Text
llama-pro:8b-text-q3_K_M,4.1GB,4K,Text
llama-pro:8b-text-q3_K_L,4.5GB,4K,Text
llama-pro:8b-text-q4_0,4.7GB,4K,Text
llama-pro:8b-text-q4_1,5.3GB,4K,Text
llama-pro:8b-text-q4_K_S,4.8GB,4K,Text
llama-pro:8b-text-q4_K_M,5.1GB,4K,Text
llama-pro:8b-text-q5_0,5.8GB,4K,Text
llama-pro:8b-text-q5_1,6.3GB,4K,Text
llama-pro:8b-text-q5_K_S,5.8GB,4K,Text
llama-pro:8b-text-q5_K_M,5.9GB,4K,Text
llama-pro:8b-text-q6_K,6.9GB,4K,Text
llama-pro:8b-text-q8_0,8.9GB,4K,Text
llama-pro:8b-text-fp16,17GB,4K,Text
