Name,Size / Usage,Context,Input,Digest,Updated
llama2-uncensored:latest,3.8GB,2K,Text,44040b922233,2 years ago
llama2-uncensored:7b,3.8GB,2K,Text,44040b922233,2 years ago
llama2-uncensored:70b,39GB,2K,Text,bdd0ec2f5ec5,2 years ago
llama2-uncensored:7b-chat,3.8GB,2K,Text,44040b922233,2 years ago
llama2-uncensored:7b-chat-q2_K,2.8GB,2K,Text,74ae83e72254,2 years ago
llama2-uncensored:7b-chat-q3_K_S,2.9GB,2K,Text,3f56c4266b91,2 years ago
llama2-uncensored:7b-chat-q3_K_M,3.3GB,2K,Text,e74d204469c8,2 years ago
llama2-uncensored:7b-chat-q3_K_L,3.6GB,2K,Text,4c971d36df3a,2 years ago
llama2-uncensored:7b-chat-q4_0,3.8GB,2K,Text,44040b922233,2 years ago
llama2-uncensored:7b-chat-q4_1,4.2GB,2K,Text,0126058e3693,2 years ago
llama2-uncensored:7b-chat-q4_K_S,3.9GB,2K,Text,7c0b8e49e54b,2 years ago
llama2-uncensored:7b-chat-q4_K_M,4.1GB,2K,Text,a91c5baf8d31,2 years ago
llama2-uncensored:7b-chat-q5_0,4.7GB,2K,Text,48c918f41b91,2 years ago
llama2-uncensored:7b-chat-q5_1,5.1GB,2K,Text,4ba18e066719,2 years ago
llama2-uncensored:7b-chat-q5_K_S,4.7GB,2K,Text,f2f04ee3b17e,2 years ago
llama2-uncensored:7b-chat-q5_K_M,4.8GB,2K,Text,db0d5a17b770,2 years ago
llama2-uncensored:7b-chat-q6_K,5.5GB,2K,Text,f3040de79519,2 years ago
llama2-uncensored:7b-chat-q8_0,7.2GB,2K,Text,a3a460233379,2 years ago
llama2-uncensored:7b-chat-fp16,13GB,2K,Text,b29ffe78e250,2 years ago
llama2-uncensored:70b-chat,39GB,2K,Text,bdd0ec2f5ec5,2 years ago
llama2-uncensored:70b-chat-q2_K,29GB,2K,Text,07eb9c33537f,2 years ago
llama2-uncensored:70b-chat-q3_K_S,30GB,2K,Text,493a8291671f,2 years ago
llama2-uncensored:70b-chat-q3_K_M,33GB,2K,Text,dc1b2e6eadcb,2 years ago
llama2-uncensored:70b-chat-q3_K_L,36GB,2K,Text,36c29a76fcc6,2 years ago
llama2-uncensored:70b-chat-q4_0,39GB,2K,Text,bdd0ec2f5ec5,2 years ago
llama2-uncensored:70b-chat-q4_1,43GB,2K,Text,26fa2e1dcc70,2 years ago
llama2-uncensored:70b-chat-q4_K_S,39GB,2K,Text,ccd1d1a41ec7,2 years ago
llama2-uncensored:70b-chat-q4_K_M,41GB,2K,Text,97d4d2728756,2 years ago
llama2-uncensored:70b-chat-q5_0,47GB,2K,Text,16ddcf15080c,2 years ago
llama2-uncensored:70b-chat-q5_1,52GB,2K,Text,1eda65206a66,2 years ago
llama2-uncensored:70b-chat-q5_K_S,47GB,2K,Text,90ac8e79f29b,2 years ago
llama2-uncensored:70b-chat-q5_K_M,49GB,2K,Text,cb930df97107,2 years ago
llama2-uncensored:70b-chat-q6_K,57GB,2K,Text,38f49b2673e7,2 years ago
llama2-uncensored:70b-chat-q8_0,73GB,2K,Text,256b13d53838,2 years ago
