Name,Size / Usage,Context,Input,Digest,Updated
llama3-chatqa:latest,4.7GB,8K,Text,b37a98d204b2,2 years ago
llama3-chatqa:8b,4.7GB,8K,Text,b37a98d204b2,2 years ago
llama3-chatqa:70b,40GB,8K,Text,ab8941f03aa3,2 years ago
llama3-chatqa:8b-v1.5,4.7GB,8K,Text,b37a98d204b2,2 years ago
llama3-chatqa:8b-v1.5-q2_K,3.2GB,8K,Text,010674c8ebb4,2 years ago
llama3-chatqa:8b-v1.5-q3_K_S,3.7GB,8K,Text,6d4cf2ccd7df,2 years ago
llama3-chatqa:8b-v1.5-q3_K_M,4.0GB,8K,Text,d1cbce0911ee,2 years ago
llama3-chatqa:8b-v1.5-q3_K_L,4.3GB,8K,Text,748c33a3a51f,2 years ago
llama3-chatqa:8b-v1.5-q4_0,4.7GB,8K,Text,b37a98d204b2,2 years ago
llama3-chatqa:8b-v1.5-q4_1,5.1GB,8K,Text,598e30318446,2 years ago
llama3-chatqa:8b-v1.5-q4_K_S,4.7GB,8K,Text,c4c5c98e11c6,2 years ago
llama3-chatqa:8b-v1.5-q4_K_M,4.9GB,8K,Text,07e385a3991b,2 years ago
llama3-chatqa:8b-v1.5-q5_0,5.6GB,8K,Text,7775bf791816,2 years ago
llama3-chatqa:8b-v1.5-q5_1,6.1GB,8K,Text,233019c7a259,2 years ago
llama3-chatqa:8b-v1.5-q5_K_S,5.6GB,8K,Text,3eab2a2fa684,2 years ago
llama3-chatqa:8b-v1.5-q5_K_M,5.7GB,8K,Text,d0e9675cf775,2 years ago
llama3-chatqa:8b-v1.5-q6_K,6.6GB,8K,Text,576770c27967,2 years ago
llama3-chatqa:8b-v1.5-q8_0,8.5GB,8K,Text,4b48f929dc16,2 years ago
llama3-chatqa:8b-v1.5-fp16,16GB,8K,Text,54f366e1115a,2 years ago
llama3-chatqa:70b-v1.5,40GB,8K,Text,ab8941f03aa3,2 years ago
llama3-chatqa:70b-v1.5-q2_K,26GB,8K,Text,8fde9769839c,2 years ago
llama3-chatqa:70b-v1.5-q3_K_S,31GB,8K,Text,6c487abb0e1f,2 years ago
llama3-chatqa:70b-v1.5-q3_K_M,34GB,8K,Text,47d621963e0c,2 years ago
llama3-chatqa:70b-v1.5-q3_K_L,37GB,8K,Text,d894d5e58d1e,2 years ago
llama3-chatqa:70b-v1.5-q4_0,40GB,8K,Text,ab8941f03aa3,2 years ago
llama3-chatqa:70b-v1.5-q4_1,44GB,8K,Text,ae356afdf521,2 years ago
llama3-chatqa:70b-v1.5-q4_K_S,40GB,8K,Text,7d6f62f9c1c6,2 years ago
llama3-chatqa:70b-v1.5-q4_K_M,43GB,8K,Text,bd9cc94a71c9,2 years ago
llama3-chatqa:70b-v1.5-q5_0,49GB,8K,Text,29f1075baf3a,2 years ago
llama3-chatqa:70b-v1.5-q5_1,53GB,8K,Text,3adf827c2f0c,2 years ago
llama3-chatqa:70b-v1.5-q5_K_S,49GB,8K,Text,2650a0fefd9b,2 years ago
llama3-chatqa:70b-v1.5-q5_K_M,50GB,8K,Text,275a26d672ac,2 years ago
llama3-chatqa:70b-v1.5-q6_K,58GB,8K,Text,8cc009d2a270,2 years ago
llama3-chatqa:70b-v1.5-q8_0,75GB,8K,Text,1fb999cb1cad,2 years ago
llama3-chatqa:70b-v1.5-fp16,141GB,8K,Text,d46dd05cde4c,2 years ago
