Name,Size / Usage,Context,Input,Digest,Updated
llama3-gradient:latest,4.7GB,1M,Text,5d1398df5b8b,2 years ago
llama3-gradient:instruct,4.7GB,1M,Text,5d1398df5b8b,2 years ago
llama3-gradient:1048k,4.7GB,1M,Text,5d1398df5b8b,2 years ago
llama3-gradient:8b,4.7GB,1M,Text,5d1398df5b8b,2 years ago
llama3-gradient:70b,40GB,1M,Text,b5d6e9d0ae61,2 years ago
llama3-gradient:8b-instruct-1048k-q2_K,3.2GB,1M,Text,c842eda5ddd5,2 years ago
llama3-gradient:8b-instruct-1048k-q3_K_S,3.7GB,1M,Text,ac6814bccbc9,2 years ago
llama3-gradient:8b-instruct-1048k-q3_K_M,4.0GB,1M,Text,786019279b07,2 years ago
llama3-gradient:8b-instruct-1048k-q3_K_L,4.3GB,1M,Text,5a2ea82ad056,2 years ago
llama3-gradient:8b-instruct-1048k-q4_0,4.7GB,1M,Text,5d1398df5b8b,2 years ago
llama3-gradient:8b-instruct-1048k-q4_1,5.1GB,1M,Text,1e76a7e4e55b,2 years ago
llama3-gradient:8b-instruct-1048k-q4_K_S,4.7GB,1M,Text,419da1c2bc33,2 years ago
llama3-gradient:8b-instruct-1048k-q4_K_M,4.9GB,1M,Text,3ba4af54f02f,2 years ago
llama3-gradient:8b-instruct-1048k-q5_0,5.6GB,1M,Text,fcab91d085ad,2 years ago
llama3-gradient:8b-instruct-1048k-q5_1,6.1GB,1M,Text,778b4e9deda3,2 years ago
llama3-gradient:8b-instruct-1048k-q5_K_S,5.6GB,1M,Text,a2a68d63519c,2 years ago
llama3-gradient:8b-instruct-1048k-q5_K_M,5.7GB,1M,Text,279429844582,2 years ago
llama3-gradient:8b-instruct-1048k-q6_K,6.6GB,1M,Text,9851a7dbda92,2 years ago
llama3-gradient:8b-instruct-1048k-q8_0,8.5GB,1M,Text,543168ef36be,2 years ago
llama3-gradient:8b-instruct-1048k-fp16,16GB,1M,Text,839e683046bb,2 years ago
llama3-gradient:70b-instruct-1048k-q2_K,26GB,1M,Text,ed7c53c8b502,2 years ago
llama3-gradient:70b-instruct-1048k-q3_K_S,31GB,1M,Text,bdee3e061f75,2 years ago
llama3-gradient:70b-instruct-1048k-q3_K_M,34GB,1M,Text,e4fc265d59a8,2 years ago
llama3-gradient:70b-instruct-1048k-q3_K_L,37GB,1M,Text,a03cb0882529,2 years ago
llama3-gradient:70b-instruct-1048k-q4_0,40GB,1M,Text,b5d6e9d0ae61,2 years ago
llama3-gradient:70b-instruct-1048k-q4_1,44GB,1M,Text,4ecc3cc03c9a,2 years ago
llama3-gradient:70b-instruct-1048k-q4_K_S,40GB,1M,Text,8c990ff8dd67,2 years ago
llama3-gradient:70b-instruct-1048k-q4_K_M,43GB,1M,Text,b68ba521fab5,2 years ago
llama3-gradient:70b-instruct-1048k-q5_0,49GB,1M,Text,31e92584c546,2 years ago
llama3-gradient:70b-instruct-1048k-q5_1,53GB,1M,Text,feafc730ced8,2 years ago
llama3-gradient:70b-instruct-1048k-q5_K_S,49GB,1M,Text,841f57c74a05,2 years ago
llama3-gradient:70b-instruct-1048k-q5_K_M,50GB,1M,Text,a3db61871133,2 years ago
llama3-gradient:70b-instruct-1048k-q6_K,58GB,1M,Text,d224f1d529ea,2 years ago
llama3-gradient:70b-instruct-1048k-q8_0,75GB,1M,Text,65fc2ffdd713,2 years ago
llama3-gradient:70b-instruct-1048k-fp16,141GB,1M,Text,cfcadecc99e9,2 years ago
