Name,Size / Usage,Context,Input,Digest,Updated
llama3-groq-tool-use:latest,4.7GB,8K,Text,36211dad2b15,2 years ago
llama3-groq-tool-use:8b,4.7GB,8K,Text,36211dad2b15,2 years ago
llama3-groq-tool-use:70b,40GB,8K,Text,696d50e6fc55,2 years ago
llama3-groq-tool-use:8b-q2_K,3.2GB,8K,Text,37fac70005b1,2 years ago
llama3-groq-tool-use:8b-q3_K_S,3.7GB,8K,Text,3f7165ed6ac3,2 years ago
llama3-groq-tool-use:8b-q3_K_M,4.0GB,8K,Text,def359e8ef42,2 years ago
llama3-groq-tool-use:8b-q3_K_L,4.3GB,8K,Text,57fbbf9656ef,2 years ago
llama3-groq-tool-use:8b-q4_0,4.7GB,8K,Text,36211dad2b15,2 years ago
llama3-groq-tool-use:8b-q4_1,5.1GB,8K,Text,b927899ecb62,2 years ago
llama3-groq-tool-use:8b-q4_K_S,4.7GB,8K,Text,9dc66563ded8,2 years ago
llama3-groq-tool-use:8b-q4_K_M,4.9GB,8K,Text,5fa325bad307,2 years ago
llama3-groq-tool-use:8b-q5_0,5.6GB,8K,Text,0482e45a0517,2 years ago
llama3-groq-tool-use:8b-q5_1,6.1GB,8K,Text,45984ff6d001,2 years ago
llama3-groq-tool-use:8b-q5_K_S,5.6GB,8K,Text,6a1775abde02,2 years ago
llama3-groq-tool-use:8b-q5_K_M,5.7GB,8K,Text,50c9c554ddd4,2 years ago
llama3-groq-tool-use:8b-q6_K,6.6GB,8K,Text,7ec6fd768fe0,2 years ago
llama3-groq-tool-use:8b-q8_0,8.5GB,8K,Text,58ab12b11127,2 years ago
llama3-groq-tool-use:8b-fp16,16GB,8K,Text,be9b2c0775a5,2 years ago
llama3-groq-tool-use:70b-q2_K,26GB,8K,Text,dab8a158f092,2 years ago
llama3-groq-tool-use:70b-q3_K_S,31GB,8K,Text,4f446f9b1b86,2 years ago
llama3-groq-tool-use:70b-q3_K_M,34GB,8K,Text,5e0c9286cabe,2 years ago
llama3-groq-tool-use:70b-q3_K_L,37GB,8K,Text,94b979ce931c,2 years ago
llama3-groq-tool-use:70b-q4_0,40GB,8K,Text,696d50e6fc55,2 years ago
llama3-groq-tool-use:70b-q4_1,44GB,8K,Text,35972e96c25d,2 years ago
llama3-groq-tool-use:70b-q4_K_S,40GB,8K,Text,464bc22f0c7f,2 years ago
llama3-groq-tool-use:70b-q4_K_M,43GB,8K,Text,45eafa1bfbd8,2 years ago
llama3-groq-tool-use:70b-q5_0,49GB,8K,Text,5c52fd8e4ba7,2 years ago
llama3-groq-tool-use:70b-q5_1,53GB,8K,Text,337622a2615e,2 years ago
llama3-groq-tool-use:70b-q5_K_S,49GB,8K,Text,88450a6c4bc7,2 years ago
llama3-groq-tool-use:70b-q5_K_M,50GB,8K,Text,7e1f34171905,2 years ago
llama3-groq-tool-use:70b-q6_K,58GB,8K,Text,fe241542dd2b,2 years ago
llama3-groq-tool-use:70b-q8_0,75GB,8K,Text,e998a1023200,2 years ago
llama3-groq-tool-use:70b-fp16,141GB,8K,Text,8ef2a1906612,2 years ago
