Name,Size / Usage,Context,Input,Digest,Updated
llama3.1:latest,4.9GB,128K,Text,46e0c10c039e,1 year ago
llama3.1:8b,4.9GB,128K,Text,46e0c10c039e,1 year ago
llama3.1:70b,43GB,128K,Text,711a9e8463af,1 year ago
llama3.1:405b,243GB,128K,Text,dbd6b9ea93de,1 year ago
llama3.1:8b-instruct-q2_K,3.2GB,128K,Text,44a139eeb344,1 year ago
llama3.1:8b-instruct-q3_K_S,3.7GB,128K,Text,16268e519444,1 year ago
llama3.1:8b-instruct-q3_K_M,4.0GB,128K,Text,4faa21fca5a2,1 year ago
llama3.1:8b-instruct-q3_K_L,4.3GB,128K,Text,04a2f1e44de7,1 year ago
llama3.1:8b-instruct-q4_0,4.7GB,128K,Text,42182419e950,1 year ago
llama3.1:8b-instruct-q4_1,5.1GB,128K,Text,e129e608a752,1 year ago
llama3.1:8b-instruct-q4_K_S,4.7GB,128K,Text,778e1e675704,1 year ago
llama3.1:8b-instruct-q4_K_M,4.9GB,128K,Text,46e0c10c039e,1 year ago
llama3.1:8b-instruct-q5_0,5.6GB,128K,Text,26bc223a1709,1 year ago
llama3.1:8b-instruct-q5_1,6.1GB,128K,Text,8faaa53f9cda,1 year ago
llama3.1:8b-instruct-q5_K_S,5.6GB,128K,Text,2d79e69bc236,1 year ago
llama3.1:8b-instruct-q5_K_M,5.7GB,128K,Text,27fe1b0ab52c,1 year ago
llama3.1:8b-instruct-q6_K,6.6GB,128K,Text,81e7664fda9c,1 year ago
llama3.1:8b-instruct-q8_0,8.5GB,128K,Text,b158ded76fa0,1 year ago
llama3.1:8b-instruct-fp16,16GB,128K,Text,4aacac419454,1 year ago
llama3.1:8b-text-q2_K,3.2GB,128K,Text,82bedef0ef47,2 years ago
llama3.1:8b-text-q3_K_S,3.7GB,128K,Text,92c2cffe1a17,2 years ago
llama3.1:8b-text-q3_K_M,4.0GB,128K,Text,abcf9215e3df,2 years ago
llama3.1:8b-text-q3_K_L,4.3GB,128K,Text,4d9a56f79245,2 years ago
llama3.1:8b-text-q4_0,4.7GB,128K,Text,025059e83055,2 years ago
llama3.1:8b-text-q4_1,5.1GB,128K,Text,4b32d52187b4,2 years ago
llama3.1:8b-text-q4_K_S,4.7GB,128K,Text,d1a421604a57,2 years ago
llama3.1:8b-text-q4_K_M,4.9GB,128K,Text,6f98b5a6e4b7,2 years ago
llama3.1:8b-text-q5_0,5.6GB,128K,Text,ee0f9a2ffa00,2 years ago
llama3.1:8b-text-q5_1,6.1GB,128K,Text,ad68371dbd08,2 years ago
llama3.1:8b-text-q5_K_S,5.6GB,128K,Text,a7562b693302,2 years ago
llama3.1:8b-text-q5_K_M,5.7GB,128K,Text,e0b14a625560,2 years ago
llama3.1:8b-text-q6_K,6.6GB,128K,Text,40e61b3c96cc,2 years ago
llama3.1:8b-text-q8_0,8.5GB,128K,Text,56fd90f1aa19,2 years ago
llama3.1:8b-text-fp16,16GB,128K,Text,722fd1ff1fda,2 years ago
llama3.1:70b-instruct-q2_K,26GB,128K,Text,3cbf499d6905,1 year ago
llama3.1:70b-instruct-q3_K_S,31GB,128K,Text,aae9a850239c,1 year ago
llama3.1:70b-instruct-q3_K_M,34GB,128K,Text,0e97a7709799,1 year ago
llama3.1:70b-instruct-q3_K_L,37GB,128K,Text,dfa642c7de3f,1 year ago
llama3.1:70b-instruct-q4_0,40GB,128K,Text,c0df3564cfe8,1 year ago
llama3.1:70b-instruct-q4_K_S,40GB,128K,Text,826ee833d0c5,1 year ago
llama3.1:70b-instruct-q4_K_M,43GB,128K,Text,711a9e8463af,1 year ago
llama3.1:70b-instruct-q5_0,49GB,128K,Text,97b688346a84,1 year ago
llama3.1:70b-instruct-q5_1,53GB,128K,Text,84421db620ee,1 year ago
llama3.1:70b-instruct-q5_K_S,49GB,128K,Text,9acd76c5572e,1 year ago
llama3.1:70b-instruct-q5_K_M,50GB,128K,Text,1201b5de8650,1 year ago
llama3.1:70b-instruct-q6_K,58GB,128K,Text,eb2f022cab3c,1 year ago
llama3.1:70b-instruct-q8_0,75GB,128K,Text,5dd991fa92a4,1 year ago
llama3.1:70b-instruct-fp16,141GB,128K,Text,80d34437631f,1 year ago
llama3.1:70b-text-q2_K,26GB,128K,Text,4dff43d37532,2 years ago
llama3.1:70b-text-q3_K_S,31GB,128K,Text,5d0e57a281be,2 years ago
llama3.1:70b-text-q3_K_M,34GB,128K,Text,521811adfd14,2 years ago
llama3.1:70b-text-q3_K_L,37GB,128K,Text,92b790ee5c4e,2 years ago
llama3.1:70b-text-q4_0,40GB,128K,Text,89e7cf894d3c,2 years ago
llama3.1:70b-text-q4_1,44GB,128K,Text,dc22a40d439c,2 years ago
llama3.1:70b-text-q4_K_S,40GB,128K,Text,6da906aeecc4,2 years ago
llama3.1:70b-text-q4_K_M,43GB,128K,Text,f2348d28d33b,2 years ago
llama3.1:70b-text-q5_0,49GB,128K,Text,853b4f3150a5,2 years ago
llama3.1:70b-text-q5_1,53GB,128K,Text,fb7068813a93,2 years ago
llama3.1:70b-text-q5_K_S,49GB,128K,Text,540ebde70524,2 years ago
llama3.1:70b-text-q5_K_M,50GB,128K,Text,d06cbd1da457,2 years ago
llama3.1:70b-text-q6_K,58GB,128K,Text,ff11f01d22b1,2 years ago
llama3.1:70b-text-q8_0,75GB,128K,Text,2da4cc56a344,2 years ago
llama3.1:70b-text-fp16,141GB,128K,Text,391fbe608631,2 years ago
llama3.1:405b-instruct-q2_K,149GB,128K,Text,57c259aa0162,1 year ago
llama3.1:405b-instruct-q3_K_S,175GB,128K,Text,5629943379da,1 year ago
llama3.1:405b-instruct-q3_K_M,195GB,128K,Text,9ab0ea61e9d6,1 year ago
llama3.1:405b-instruct-q3_K_L,213GB,128K,Text,fcd77ab1d261,1 year ago
llama3.1:405b-instruct-q4_0,229GB,128K,Text,65fa6b82bfda,1 year ago
llama3.1:405b-instruct-q4_1,254GB,128K,Text,283fcc3a816a,1 year ago
llama3.1:405b-instruct-q4_K_S,231GB,128K,Text,4a745087e617,1 year ago
llama3.1:405b-instruct-q4_K_M,243GB,128K,Text,dbd6b9ea93de,1 year ago
llama3.1:405b-instruct-q5_0,279GB,128K,Text,441bbd85e453,1 year ago
llama3.1:405b-instruct-q5_1,305GB,128K,Text,b80f0c0aea72,1 year ago
llama3.1:405b-instruct-q5_K_S,279GB,128K,Text,5e5285368f59,1 year ago
llama3.1:405b-instruct-q5_K_M,287GB,128K,Text,fed1ac5214db,1 year ago
llama3.1:405b-instruct-q6_K,333GB,128K,Text,5478eb23c5fb,1 year ago
llama3.1:405b-instruct-q8_0,431GB,128K,Text,b674ab2e9d34,1 year ago
llama3.1:405b-instruct-fp16,812GB,128K,Text,8ca13bcda28b,1 year ago
llama3.1:405b-text-q2_K,149GB,128K,Text,f7b0ab60bfbe,2 years ago
llama3.1:405b-text-q3_K_S,175GB,128K,Text,6c66c6eac804,2 years ago
llama3.1:405b-text-q3_K_M,195GB,128K,Text,b9fb97304e8e,2 years ago
llama3.1:405b-text-q3_K_L,213GB,128K,Text,94bf2a77e235,2 years ago
llama3.1:405b-text-q4_0,229GB,128K,Text,320335002c0c,2 years ago
llama3.1:405b-text-q4_1,254GB,128K,Text,fea44733a09c,2 years ago
llama3.1:405b-text-q4_K_S,231GB,128K,Text,06c63988889d,2 years ago
llama3.1:405b-text-q4_K_M,243GB,128K,Text,d8a18ddb2815,2 years ago
llama3.1:405b-text-q5_0,279GB,128K,Text,8d3fd1384383,2 years ago
llama3.1:405b-text-q5_1,305GB,128K,Text,105c1a731c53,2 years ago
llama3.1:405b-text-q5_K_S,279GB,128K,Text,8be1c5b6185d,2 years ago
llama3.1:405b-text-q5_K_M,287GB,128K,Text,0d410297a920,2 years ago
llama3.1:405b-text-q6_K,333GB,128K,Text,0217d822dee9,2 years ago
llama3.1:405b-text-q8_0,431GB,128K,Text,394d4ab99b16,2 years ago
llama3.1:405b-text-fp16,812GB,128K,Text,bc01fb5255d5,2 years ago
