Name,Size / Usage,Context,Input,Digest,Updated
llama3:latest,4.7GB,8K,Text,365c0bd3c000,2 years ago
llama3:instruct,4.7GB,8K,Text,365c0bd3c000,2 years ago
llama3:text,4.7GB,8K,Text,870a5d02cfaf,2 years ago
llama3:8b,4.7GB,8K,Text,365c0bd3c000,2 years ago
llama3:70b,40GB,8K,Text,786f3184aec0,2 years ago
llama3:8b-instruct-q2_K,3.2GB,8K,Text,2745d547f376,2 years ago
llama3:8b-instruct-q3_K_S,3.7GB,8K,Text,0891d012c467,2 years ago
llama3:8b-instruct-q3_K_M,4.0GB,8K,Text,726a1960bfed,2 years ago
llama3:8b-instruct-q3_K_L,4.3GB,8K,Text,df7624806f55,2 years ago
llama3:8b-instruct-q4_0,4.7GB,8K,Text,365c0bd3c000,2 years ago
llama3:8b-instruct-q4_1,5.1GB,8K,Text,ec0a6ea1fb9b,2 years ago
llama3:8b-instruct-q4_K_S,4.7GB,8K,Text,469db3d82576,2 years ago
llama3:8b-instruct-q4_K_M,4.9GB,8K,Text,9b8f3f3385bf,2 years ago
llama3:8b-instruct-q5_0,5.6GB,8K,Text,a13deb0590c7,2 years ago
llama3:8b-instruct-q5_1,6.1GB,8K,Text,662158bc9277,2 years ago
llama3:8b-instruct-q5_K_S,5.6GB,8K,Text,7eae3176f5b5,2 years ago
llama3:8b-instruct-q5_K_M,5.7GB,8K,Text,af3083b17cd4,2 years ago
llama3:8b-instruct-q6_K,6.6GB,8K,Text,e4a3943fcd76,2 years ago
llama3:8b-instruct-q8_0,8.5GB,8K,Text,1b8e49cece7f,2 years ago
llama3:8b-instruct-fp16,16GB,8K,Text,c666fe422df7,2 years ago
llama3:8b-text,4.7GB,8K,Text,870a5d02cfaf,2 years ago
llama3:8b-text-q2_K,3.2GB,8K,Text,ddab15c8cb9c,2 years ago
llama3:8b-text-q3_K_S,3.7GB,8K,Text,ef8314434744,2 years ago
llama3:8b-text-q3_K_M,4.0GB,8K,Text,8dc24663264e,2 years ago
llama3:8b-text-q3_K_L,4.3GB,8K,Text,c8a0b2fe8826,2 years ago
llama3:8b-text-q4_0,4.7GB,8K,Text,870a5d02cfaf,2 years ago
llama3:8b-text-q4_1,5.1GB,8K,Text,6b5617036d84,2 years ago
llama3:8b-text-q4_K_S,4.7GB,8K,Text,9a26d72d3e16,2 years ago
llama3:8b-text-q4_K_M,4.9GB,8K,Text,92666a9c24c8,2 years ago
llama3:8b-text-q5_0,5.6GB,8K,Text,fcf1eef68171,2 years ago
llama3:8b-text-q5_1,6.1GB,8K,Text,3c3ab90050f5,2 years ago
llama3:8b-text-q5_K_S,5.6GB,8K,Text,248acc1da82b,2 years ago
llama3:8b-text-q5_K_M,5.7GB,8K,Text,f8dbc557876f,2 years ago
llama3:8b-text-q6_K,6.6GB,8K,Text,e8210b245747,2 years ago
llama3:8b-text-q8_0,8.5GB,8K,Text,7a0307e073ae,2 years ago
llama3:8b-text-fp16,16GB,8K,Text,1a8e5e89d89c,2 years ago
llama3:70b-instruct,40GB,8K,Text,786f3184aec0,2 years ago
llama3:70b-instruct-q2_K,26GB,8K,Text,693db6efd8f9,2 years ago
llama3:70b-instruct-q3_K_S,31GB,8K,Text,4c1a815173f7,2 years ago
llama3:70b-instruct-q3_K_M,34GB,8K,Text,aa0e78b2b879,2 years ago
llama3:70b-instruct-q3_K_L,37GB,8K,Text,e5d560a5f1ae,2 years ago
llama3:70b-instruct-q4_0,40GB,8K,Text,786f3184aec0,2 years ago
llama3:70b-instruct-q4_1,44GB,8K,Text,df99b9a013cf,2 years ago
llama3:70b-instruct-q4_K_S,40GB,8K,Text,3b5ca57de719,2 years ago
llama3:70b-instruct-q4_K_M,43GB,8K,Text,f04e196898af,2 years ago
llama3:70b-instruct-q5_0,49GB,8K,Text,4b557d9edc8f,2 years ago
llama3:70b-instruct-q5_1,53GB,8K,Text,8fc800ccfec4,2 years ago
llama3:70b-instruct-q5_K_S,49GB,8K,Text,639ad63d3803,2 years ago
llama3:70b-instruct-q5_K_M,50GB,8K,Text,4e84a5514862,2 years ago
llama3:70b-instruct-q6_K,58GB,8K,Text,a50a7631e818,2 years ago
llama3:70b-instruct-q8_0,75GB,8K,Text,13ef6d4ac2af,2 years ago
llama3:70b-instruct-fp16,141GB,8K,Text,a84c389adf03,2 years ago
llama3:70b-text,40GB,8K,Text,0b88ea68f949,2 years ago
llama3:70b-text-q2_K,26GB,8K,Text,8e7acd975e4c,2 years ago
llama3:70b-text-q3_K_S,31GB,8K,Text,85adac3167c3,2 years ago
llama3:70b-text-q3_K_M,34GB,8K,Text,05a42206e81a,2 years ago
llama3:70b-text-q3_K_L,37GB,8K,Text,a59e68b60a66,2 years ago
llama3:70b-text-q4_0,40GB,8K,Text,0b88ea68f949,2 years ago
llama3:70b-text-q4_1,44GB,8K,Text,0568b52cd894,2 years ago
llama3:70b-text-q4_K_S,40GB,8K,Text,13aba0c20a4a,2 years ago
llama3:70b-text-q4_K_M,43GB,8K,Text,d1a70936a292,2 years ago
llama3:70b-text-q5_0,49GB,8K,Text,878949e474d3,2 years ago
llama3:70b-text-q5_1,53GB,8K,Text,f26e4666536b,2 years ago
llama3:70b-text-q5_K_S,49GB,8K,Text,3c9bae7f46ba,2 years ago
llama3:70b-text-q5_K_M,50GB,8K,Text,3a9680b7a812,2 years ago
llama3:70b-text-q6_K,58GB,8K,Text,9a3e4b9ce0a2,2 years ago
llama3:70b-text-q8_0,75GB,8K,Text,ec846ca4f4c2,2 years ago
llama3:70b-text-fp16,141GB,8K,Text,f698d14954d3,2 years ago
