Name,Size / Usage,Context,Input,Digest,Updated
dolphin-mistral:latest,4.1GB,32K,Text,5dc8c5a2be65,2 years ago
dolphin-mistral:v2,4.1GB,32K,Text,d4fedb7cc50d,2 years ago
dolphin-mistral:v2.1,4.1GB,32K,Text,e4e3238590aa,2 years ago
dolphin-mistral:v2.2,4.1GB,32K,Text,450ca08f6907,2 years ago
dolphin-mistral:v2.2.1,4.1GB,32K,Text,04b0ec52c40b,2 years ago
dolphin-mistral:v2.6,4.1GB,32K,Text,ecbf896611f5,2 years ago
dolphin-mistral:v2.8,4.1GB,32K,Text,5dc8c5a2be65,2 years ago
dolphin-mistral:7b,4.1GB,32K,Text,5dc8c5a2be65,2 years ago
dolphin-mistral:7b-v2,4.1GB,32K,Text,d4fedb7cc50d,2 years ago
dolphin-mistral:7b-v2-q2_K,3.1GB,32K,Text,47e88c29db19,2 years ago
dolphin-mistral:7b-v2-q3_K_S,3.2GB,32K,Text,9ce568107856,2 years ago
dolphin-mistral:7b-v2-q3_K_M,3.5GB,32K,Text,ae55e3ef02e8,2 years ago
dolphin-mistral:7b-v2-q3_K_L,3.8GB,32K,Text,0a764a52371c,2 years ago
dolphin-mistral:7b-v2-q4_0,4.1GB,32K,Text,d4fedb7cc50d,2 years ago
dolphin-mistral:7b-v2-q4_1,4.6GB,32K,Text,963a8962e5cb,2 years ago
dolphin-mistral:7b-v2-q4_K_S,4.1GB,32K,Text,31bc12ff86a4,2 years ago
dolphin-mistral:7b-v2-q4_K_M,4.4GB,32K,Text,8151671578cc,2 years ago
dolphin-mistral:7b-v2-q5_0,5.0GB,32K,Text,f233b1631e2e,2 years ago
dolphin-mistral:7b-v2-q5_1,5.4GB,32K,Text,caa3000a6607,2 years ago
dolphin-mistral:7b-v2-q5_K_S,5.0GB,32K,Text,3d1193db8247,2 years ago
dolphin-mistral:7b-v2-q5_K_M,5.1GB,32K,Text,483a8c29490a,2 years ago
dolphin-mistral:7b-v2-q6_K,5.9GB,32K,Text,0abc7e93ace9,2 years ago
dolphin-mistral:7b-v2-q8_0,7.7GB,32K,Text,af57ab7e2f42,2 years ago
dolphin-mistral:7b-v2-fp16,14GB,32K,Text,dbea1ee61c91,2 years ago
dolphin-mistral:7b-v2.1,4.1GB,32K,Text,e4e3238590aa,2 years ago
dolphin-mistral:7b-v2.1-q2_K,3.1GB,32K,Text,09b2c7439c66,2 years ago
dolphin-mistral:7b-v2.1-q3_K_S,3.2GB,32K,Text,cae2e5bf7e2a,2 years ago
dolphin-mistral:7b-v2.1-q3_K_M,3.5GB,32K,Text,de9aa2b8d525,2 years ago
dolphin-mistral:7b-v2.1-q3_K_L,3.8GB,32K,Text,d4e4ac49c638,2 years ago
dolphin-mistral:7b-v2.1-q4_0,4.1GB,32K,Text,e4e3238590aa,2 years ago
dolphin-mistral:7b-v2.1-q4_1,4.6GB,32K,Text,bccbfbb66c22,2 years ago
