Name,Size / Usage,Context,Input,Digest,Updated
mathstral:latest,4.1GB,32K,Text,4ee7052be55a,2 years ago
mathstral:7b,4.1GB,32K,Text,4ee7052be55a,2 years ago
mathstral:7b-v0.1-q2_K,2.7GB,32K,Text,5137b80a2f9f,2 years ago
mathstral:7b-v0.1-q3_K_S,3.2GB,32K,Text,b75c7eed8cf3,2 years ago
mathstral:7b-v0.1-q3_K_M,3.5GB,32K,Text,67dafe37f729,2 years ago
mathstral:7b-v0.1-q3_K_L,3.8GB,32K,Text,f1a0d196fc05,2 years ago
mathstral:7b-v0.1-q4_0,4.1GB,32K,Text,4ee7052be55a,2 years ago
mathstral:7b-v0.1-q4_1,4.6GB,32K,Text,7d1005348e61,2 years ago
mathstral:7b-v0.1-q4_K_S,4.1GB,32K,Text,4c06df180823,2 years ago
mathstral:7b-v0.1-q4_K_M,4.4GB,32K,Text,8cf37cd9128d,2 years ago
mathstral:7b-v0.1-q5_0,5.0GB,32K,Text,c766c6cbd32e,2 years ago
mathstral:7b-v0.1-q5_1,5.4GB,32K,Text,f0082439d2ba,2 years ago
mathstral:7b-v0.1-q5_K_S,5.0GB,32K,Text,e37cf555b2ed,2 years ago
mathstral:7b-v0.1-q5_K_M,5.1GB,32K,Text,562985e7a5a8,2 years ago
mathstral:7b-v0.1-q6_K,5.9GB,32K,Text,696c00e5bba0,2 years ago
mathstral:7b-v0.1-q8_0,7.7GB,32K,Text,939f2d6f06c5,2 years ago
mathstral:7b-v0.1-fp16,14GB,32K,Text,ce1616d5e8c6,2 years ago
