Name,Size / Usage,Context,Input,Digest,Updated
mistral-large:latest,73GB,128K,Text,bbcf36dc47ad,1 year ago
mistral-large:123b,73GB,128K,Text,bbcf36dc47ad,1 year ago
mistral-large:123b-instruct-2407-q2_K,45GB,32K,Text,244e8ac47150,2 years ago
mistral-large:123b-instruct-2407-q3_K_S,53GB,32K,Text,0a5d6df9d7af,2 years ago
mistral-large:123b-instruct-2407-q3_K_M,59GB,32K,Text,5c3ac28dddb6,2 years ago
mistral-large:123b-instruct-2407-q3_K_L,65GB,32K,Text,47437a8d48aa,2 years ago
mistral-large:123b-instruct-2407-q4_0,69GB,32K,Text,0ca7dfa0bf06,2 years ago
mistral-large:123b-instruct-2407-q4_1,77GB,32K,Text,19d48e361da3,2 years ago
mistral-large:123b-instruct-2407-q4_K_S,70GB,32K,Text,b06bbbd76af1,2 years ago
mistral-large:123b-instruct-2407-q4_K_M,73GB,32K,Text,7d1a7425167f,2 years ago
mistral-large:123b-instruct-2407-q5_0,84GB,32K,Text,9972842fc4d6,2 years ago
mistral-large:123b-instruct-2407-q5_1,92GB,32K,Text,0025c4e39412,2 years ago
mistral-large:123b-instruct-2407-q5_K_S,84GB,32K,Text,d4525515e89a,2 years ago
mistral-large:123b-instruct-2407-q5_K_M,86GB,32K,Text,0583f89aa7d1,2 years ago
mistral-large:123b-instruct-2407-q6_K,101GB,32K,Text,5e4615a812a8,2 years ago
mistral-large:123b-instruct-2407-q8_0,130GB,32K,Text,20d741bc6d75,2 years ago
mistral-large:123b-instruct-2407-fp16,245GB,32K,Text,0bfa947cf7ef,2 years ago
mistral-large:123b-instruct-2411-q2_K,45GB,128K,Text,16fda14b30f0,1 year ago
mistral-large:123b-instruct-2411-q3_K_S,53GB,128K,Text,e6c6ff175cc0,1 year ago
mistral-large:123b-instruct-2411-q3_K_M,59GB,128K,Text,69b0928bdc0d,1 year ago
mistral-large:123b-instruct-2411-q3_K_L,65GB,128K,Text,e18a67d80ee4,1 year ago
mistral-large:123b-instruct-2411-q4_0,69GB,128K,Text,1e4807d65914,1 year ago
mistral-large:123b-instruct-2411-q4_1,77GB,128K,Text,7dea3bd9090c,1 year ago
mistral-large:123b-instruct-2411-q4_K_S,70GB,128K,Text,66a1fdacc93b,1 year ago
mistral-large:123b-instruct-2411-q4_K_M,73GB,128K,Text,bbcf36dc47ad,1 year ago
mistral-large:123b-instruct-2411-q5_0,84GB,128K,Text,9cad9ed23f22,1 year ago
mistral-large:123b-instruct-2411-q5_1,92GB,128K,Text,feda4f519c21,1 year ago
mistral-large:123b-instruct-2411-q5_K_S,84GB,128K,Text,a36515217259,1 year ago
mistral-large:123b-instruct-2411-q5_K_M,86GB,128K,Text,72f20cdebd72,1 year ago
mistral-large:123b-instruct-2411-q6_K,101GB,128K,Text,17a9a92108df,1 year ago
mistral-large:123b-instruct-2411-q8_0,130GB,128K,Text,fc9b9f119292,1 year ago
mistral-large:123b-instruct-2411-fp16,245GB,128K,Text,2b810c3ba71a,1 year ago
