Name,Size / Usage,Context,Input,Digest,Updated
mistral-nemo:latest,7.1GB,1000K,Text,e7e06d107c6c,1 year ago
mistral-nemo:12b,7.1GB,1000K,Text,e7e06d107c6c,1 year ago
mistral-nemo:12b-instruct-2407-q2_K,4.8GB,1000K,Text,868f6ba4dbda,1 year ago
mistral-nemo:12b-instruct-2407-q3_K_S,5.5GB,1000K,Text,5bba7a13afef,1 year ago
mistral-nemo:12b-instruct-2407-q3_K_M,6.1GB,1000K,Text,0549a17f596f,1 year ago
mistral-nemo:12b-instruct-2407-q3_K_L,6.6GB,1000K,Text,8dc575f2f1d9,1 year ago
mistral-nemo:12b-instruct-2407-q4_0,7.1GB,1000K,Text,e7e06d107c6c,1 year ago
mistral-nemo:12b-instruct-2407-q4_1,7.8GB,1000K,Text,243f0861c69b,1 year ago
mistral-nemo:12b-instruct-2407-q4_K_S,7.1GB,1000K,Text,fe6fcaf0d26f,1 year ago
mistral-nemo:12b-instruct-2407-q4_K_M,7.5GB,1000K,Text,daf673741712,1 year ago
mistral-nemo:12b-instruct-2407-q5_0,8.5GB,1000K,Text,dab3cfa34f38,1 year ago
mistral-nemo:12b-instruct-2407-q5_1,9.2GB,1000K,Text,8898d5e38428,1 year ago
mistral-nemo:12b-instruct-2407-q5_K_S,8.5GB,1000K,Text,40374746451f,1 year ago
mistral-nemo:12b-instruct-2407-q5_K_M,8.7GB,1000K,Text,cf4d8cc50281,1 year ago
mistral-nemo:12b-instruct-2407-q6_K,10GB,1000K,Text,b6435edbd791,1 year ago
mistral-nemo:12b-instruct-2407-q8_0,13GB,1000K,Text,e9b8ba00d2a1,1 year ago
mistral-nemo:12b-instruct-2407-fp16,25GB,1000K,Text,412dcb6ec5f9,1 year ago
