Name,Size / Usage,Context,Input,Digest,Updated
mistral-openorca:latest,4.1GB,32K,Text,12dc6acc14d0,2 years ago
mistral-openorca:7b,4.1GB,32K,Text,12dc6acc14d0,2 years ago
mistral-openorca:7b-q2_K,3.1GB,32K,Text,977fdfe52b7c,2 years ago
mistral-openorca:7b-q3_K_S,3.2GB,32K,Text,2274bf658e73,2 years ago
mistral-openorca:7b-q3_K_M,3.5GB,32K,Text,1c71a3f469da,2 years ago
mistral-openorca:7b-q3_K_L,3.8GB,32K,Text,e80eba13740d,2 years ago
mistral-openorca:7b-q4_0,4.1GB,32K,Text,12dc6acc14d0,2 years ago
mistral-openorca:7b-q4_1,4.6GB,32K,Text,185461182e00,2 years ago
mistral-openorca:7b-q4_K_S,4.1GB,32K,Text,b8b68de9a6c0,2 years ago
mistral-openorca:7b-q4_K_M,4.4GB,32K,Text,d4fd6870e8eb,2 years ago
mistral-openorca:7b-q5_0,5.0GB,32K,Text,da128676aa71,2 years ago
mistral-openorca:7b-q5_1,5.4GB,32K,Text,864f8be0fd03,2 years ago
mistral-openorca:7b-q5_K_S,5.0GB,32K,Text,dc071e3647c7,2 years ago
mistral-openorca:7b-q5_K_M,5.1GB,32K,Text,30b5e000fa20,2 years ago
mistral-openorca:7b-q6_K,5.9GB,32K,Text,74e3eb59f041,2 years ago
mistral-openorca:7b-q8_0,7.7GB,32K,Text,d7fd37191d96,2 years ago
mistral-openorca:7b-fp16,14GB,32K,Text,c3544390282f,2 years ago
