Name,Size / Usage,Context,Input,Digest,Updated
mistral-small:latest,14GB,32K,Text,8039dd90c113,1 year ago
mistral-small:22b,13GB,128K,Text,d095cd553b04,1 year ago
mistral-small:24b,14GB,32K,Text,8039dd90c113,1 year ago
mistral-small:22b-instruct-2409-q2_K,8.3GB,128K,Text,8ec9babc3847,1 year ago
mistral-small:22b-instruct-2409-q3_K_S,9.6GB,128K,Text,dfaf3aefa53f,1 year ago
mistral-small:22b-instruct-2409-q3_K_M,11GB,128K,Text,eaa764a8f77f,1 year ago
mistral-small:22b-instruct-2409-q3_K_L,12GB,128K,Text,fe81dad8bbb0,1 year ago
mistral-small:22b-instruct-2409-q4_0,13GB,128K,Text,d095cd553b04,1 year ago
mistral-small:22b-instruct-2409-q4_1,14GB,128K,Text,565c78387545,1 year ago
mistral-small:22b-instruct-2409-q4_K_S,13GB,128K,Text,9b3a8280f0c7,1 year ago
mistral-small:22b-instruct-2409-q4_K_M,13GB,128K,Text,9f552ae9b883,1 year ago
mistral-small:22b-instruct-2409-q5_0,15GB,128K,Text,04c315f44b8c,1 year ago
mistral-small:22b-instruct-2409-q5_1,17GB,128K,Text,5bd49ef5756a,1 year ago
mistral-small:22b-instruct-2409-q5_K_S,15GB,128K,Text,5b4d9855bfa5,1 year ago
mistral-small:22b-instruct-2409-q5_K_M,16GB,128K,Text,eec48ef9afdc,1 year ago
mistral-small:22b-instruct-2409-q6_K,18GB,128K,Text,5113380707de,1 year ago
mistral-small:22b-instruct-2409-q8_0,24GB,128K,Text,ebe30125ec3c,1 year ago
mistral-small:22b-instruct-2409-fp16,44GB,128K,Text,28fc9c710e5f,1 year ago
mistral-small:24b-instruct-2501-q4_K_M,14GB,32K,Text,8039dd90c113,1 year ago
mistral-small:24b-instruct-2501-q8_0,25GB,32K,Text,20ffe5db0161,1 year ago
mistral-small:24b-instruct-2501-fp16,47GB,32K,Text,6134e1a7e2c8,1 year ago
