Name,Size / Usage,Context,Input,Digest,Updated
mistral:latest,4.4GB,32K,Text,6577803aa9a0,1 year ago
mistral:instruct,4.1GB,32K,Text,3944fe81ec14,1 year ago
mistral:text,4.1GB,16K,Text,495ae085225b,2 years ago
mistral:v0.1,4.1GB,32K,Text,b17615239298,2 years ago
mistral:v0.2,4.1GB,32K,Text,61e88e884507,2 years ago
mistral:v0.3,4.4GB,32K,Text,6577803aa9a0,1 year ago
mistral:7b,4.4GB,32K,Text,6577803aa9a0,1 year ago
mistral:7b-instruct,4.4GB,32K,Text,6577803aa9a0,1 year ago
mistral:7b-instruct-q2_K,3.1GB,32K,Text,1344ecf13c2e,2 years ago
mistral:7b-instruct-v0.2-q2_K,3.1GB,32K,Text,6deedd139c2a,2 years ago
mistral:7b-instruct-q3_K_S,3.2GB,32K,Text,30ead8e09346,2 years ago
mistral:7b-instruct-v0.2-q3_K_S,3.2GB,32K,Text,a0adecf535f4,2 years ago
mistral:7b-instruct-q3_K_M,3.5GB,32K,Text,9fddddabfd5d,2 years ago
mistral:7b-instruct-v0.2-q3_K_M,3.5GB,32K,Text,6897f015d8dc,2 years ago
mistral:7b-instruct-q3_K_L,3.8GB,32K,Text,7f1b28865005,2 years ago
mistral:7b-instruct-v0.2-q3_K_L,3.8GB,32K,Text,efe60f8368f7,2 years ago
mistral:7b-instruct-q4_0,4.1GB,32K,Text,b17615239298,2 years ago
mistral:7b-instruct-v0.2-q4_0,4.1GB,32K,Text,61e88e884507,2 years ago
mistral:7b-instruct-q4_1,4.6GB,32K,Text,4455f2ee0189,2 years ago
mistral:7b-instruct-v0.2-q4_1,4.6GB,32K,Text,658e1f4c66cc,2 years ago
mistral:7b-instruct-q4_K_S,4.1GB,32K,Text,d8ee783f8c73,2 years ago
mistral:7b-instruct-v0.2-q4_K_S,4.1GB,32K,Text,ba00d3a5239e,2 years ago
mistral:7b-instruct-v0.2-q4_K_M,4.4GB,32K,Text,eb14864c7427,2 years ago
mistral:7b-instruct-v0.2-q5_0,5.0GB,32K,Text,0e6b5e504307,2 years ago
mistral:7b-instruct-v0.2-q5_1,5.4GB,32K,Text,ff048d9b25be,2 years ago
mistral:7b-instruct-v0.2-q5_K_S,5.0GB,32K,Text,db882a87043d,2 years ago
mistral:7b-instruct-v0.2-q5_K_M,5.1GB,32K,Text,bec2cbe92b28,2 years ago
mistral:7b-instruct-v0.2-q6_K,5.9GB,32K,Text,1019a5160773,2 years ago
mistral:7b-instruct-v0.2-q8_0,7.7GB,32K,Text,3f321fd2a1c3,2 years ago
mistral:7b-instruct-v0.2-fp16,14GB,32K,Text,094d67ff087c,2 years ago
mistral:7b-instruct-v0.3-q2_K,2.7GB,32K,Text,8bada5a287d3,1 year ago
mistral:7b-instruct-v0.3-q3_K_S,3.2GB,32K,Text,89f2f40a58a5,1 year ago
mistral:7b-instruct-v0.3-q3_K_M,3.5GB,32K,Text,5f4359ac850d,1 year ago
mistral:7b-instruct-v0.3-q3_K_L,3.8GB,32K,Text,9c690c1791aa,1 year ago
mistral:7b-instruct-v0.3-q4_0,4.1GB,32K,Text,3944fe81ec14,1 year ago
mistral:7b-instruct-v0.3-q4_1,4.6GB,32K,Text,571250ebd2d9,1 year ago
mistral:7b-instruct-v0.3-q4_K_S,4.1GB,32K,Text,4567baa854e6,1 year ago
mistral:7b-instruct-q4_K_M,4.4GB,32K,Text,1a85656b534f,2 years ago
mistral:7b-instruct-v0.3-q4_K_M,4.4GB,32K,Text,6577803aa9a0,1 year ago
mistral:7b-instruct-q5_0,5.0GB,32K,Text,69b94d2f2086,2 years ago
mistral:7b-instruct-v0.3-q5_0,5.0GB,32K,Text,78fdb100e03d,1 year ago
mistral:7b-instruct-q5_1,5.4GB,32K,Text,0aeff8418eda,2 years ago
mistral:7b-instruct-v0.3-q5_1,5.4GB,32K,Text,8b786c3ade1f,1 year ago
mistral:7b-instruct-q5_K_S,5.0GB,32K,Text,6e47e694bb5c,2 years ago
mistral:7b-instruct-v0.3-q5_K_S,5.0GB,32K,Text,13690c9631b6,1 year ago
mistral:7b-instruct-q5_K_M,5.1GB,32K,Text,8397c99c426f,2 years ago
mistral:7b-instruct-v0.3-q5_K_M,5.1GB,32K,Text,e6968ec1decc,1 year ago
mistral:7b-instruct-q6_K,5.9GB,32K,Text,bb307cbab5aa,2 years ago
mistral:7b-instruct-v0.3-q6_K,5.9GB,32K,Text,80cca373bdb2,1 year ago
mistral:7b-instruct-q8_0,7.7GB,32K,Text,2162e081e7f0,2 years ago
mistral:7b-instruct-v0.3-q8_0,7.7GB,32K,Text,7aae4c4eed11,1 year ago
mistral:7b-instruct-fp16,14GB,32K,Text,7334da3db4d2,2 years ago
mistral:7b-instruct-v0.3-fp16,14GB,32K,Text,b7c44a30bb65,1 year ago
mistral:7b-text,4.1GB,16K,Text,495ae085225b,2 years ago
mistral:7b-text-q2_K,3.1GB,32K,Text,741772b3543d,2 years ago
mistral:7b-text-v0.2-q2_K,2.7GB,16K,Text,748b32627509,2 years ago
mistral:7b-text-q3_K_S,3.2GB,32K,Text,ec0a4bd34689,2 years ago
mistral:7b-text-v0.2-q3_K_S,3.2GB,16K,Text,1cd170493ae6,2 years ago
mistral:7b-text-q3_K_M,3.5GB,32K,Text,633491386324,2 years ago
mistral:7b-text-v0.2-q3_K_M,3.5GB,16K,Text,519ef17de46e,2 years ago
mistral:7b-text-q3_K_L,3.8GB,32K,Text,ae1eaf0c61df,2 years ago
mistral:7b-text-v0.2-q3_K_L,3.8GB,16K,Text,991a9afb3a73,2 years ago
mistral:7b-text-q4_0,4.1GB,32K,Text,d19e34de4cb6,2 years ago
mistral:7b-text-v0.2-q4_0,4.1GB,16K,Text,495ae085225b,2 years ago
mistral:7b-text-q4_1,4.6GB,32K,Text,14d146cb57dc,2 years ago
mistral:7b-text-v0.2-q4_1,4.6GB,16K,Text,fae6ab253307,2 years ago
mistral:7b-text-q4_K_S,4.1GB,32K,Text,e6aa05445f6e,2 years ago
mistral:7b-text-v0.2-q4_K_S,4.1GB,16K,Text,1a6db06e5aa7,2 years ago
mistral:7b-text-q4_K_M,4.4GB,32K,Text,60eca258468e,2 years ago
mistral:7b-text-v0.2-q4_K_M,4.4GB,16K,Text,33518cc91a4d,2 years ago
mistral:7b-text-q5_0,5.0GB,32K,Text,efb1aa205985,2 years ago
mistral:7b-text-v0.2-q5_0,5.0GB,16K,Text,de4b5d95fa55,2 years ago
mistral:7b-text-q5_1,5.4GB,32K,Text,05b86a2ea9de,2 years ago
mistral:7b-text-v0.2-q5_1,5.4GB,16K,Text,719e139683a3,2 years ago
mistral:7b-text-q5_K_S,5.0GB,32K,Text,be6784da326c,2 years ago
mistral:7b-text-v0.2-q5_K_S,5.0GB,16K,Text,d419d7d9e74a,2 years ago
mistral:7b-text-q5_K_M,5.1GB,32K,Text,71cd339e522c,2 years ago
mistral:7b-text-v0.2-q5_K_M,5.1GB,16K,Text,d4e74c03817c,2 years ago
mistral:7b-text-q6_K,5.9GB,32K,Text,08f5c2f86290,2 years ago
mistral:7b-text-v0.2-q6_K,5.9GB,16K,Text,017da36fcc18,2 years ago
mistral:7b-text-q8_0,7.7GB,32K,Text,3197b6e23271,2 years ago
mistral:7b-text-v0.2-q8_0,7.7GB,16K,Text,e844517e7eaf,2 years ago
mistral:7b-text-fp16,14GB,32K,Text,0c3d49e38913,2 years ago
mistral:7b-text-v0.2-fp16,14GB,16K,Text,06b91ca50a5e,2 years ago
