Name,Size / Usage,Context,Input,Digest,Updated
mistrallite:latest,4.1GB,32K,Text,5393d4f5f262,2 years ago
mistrallite:7b,4.1GB,32K,Text,5393d4f5f262,2 years ago
mistrallite:7b-v0.1-q2_K,3.1GB,32K,Text,32164f7b30a5,2 years ago
mistrallite:7b-v0.1-q3_K_S,3.2GB,32K,Text,ebf457323d7d,2 years ago
mistrallite:7b-v0.1-q3_K_M,3.5GB,32K,Text,366ee513d776,2 years ago
mistrallite:7b-v0.1-q3_K_L,3.8GB,32K,Text,bb7562f0532f,2 years ago
mistrallite:7b-v0.1-q4_0,4.1GB,32K,Text,5393d4f5f262,2 years ago
mistrallite:7b-v0.1-q4_1,4.6GB,32K,Text,00a4a71eee8f,2 years ago
mistrallite:7b-v0.1-q4_K_S,4.1GB,32K,Text,81a8a1744387,2 years ago
mistrallite:7b-v0.1-q4_K_M,4.4GB,32K,Text,d73bbd6b49d1,2 years ago
mistrallite:7b-v0.1-q5_0,5.0GB,32K,Text,751a158ec222,2 years ago
mistrallite:7b-v0.1-q5_1,5.4GB,32K,Text,e09d24104dd5,2 years ago
mistrallite:7b-v0.1-q5_K_S,5.0GB,32K,Text,6b71023e7195,2 years ago
mistrallite:7b-v0.1-q5_K_M,5.1GB,32K,Text,7a3f8c87136f,2 years ago
mistrallite:7b-v0.1-q6_K,5.9GB,32K,Text,c63d67539934,2 years ago
mistrallite:7b-v0.1-q8_0,7.7GB,32K,Text,8856fb347897,2 years ago
mistrallite:7b-v0.1-fp16,14GB,32K,Text,a6c59d49e2a9,2 years ago
