Name,Size / Usage,Context,Input,Digest,Updated
mixtral:latest,26GB,32K,Text,a3b6bef0f836,1 year ago
mixtral:instruct,26GB,32K,Text,a3b6bef0f836,1 year ago
mixtral:text,26GB,32K,Text,29c986d45fba,1 year ago
mixtral:v0.1,80GB,64K,Text,e8479ee1cb51,2 years ago
mixtral:8x7b,26GB,32K,Text,a3b6bef0f836,1 year ago
mixtral:8x22b,80GB,64K,Text,e8479ee1cb51,2 years ago
mixtral:8x7b-instruct-v0.1-q2_K,17GB,32K,Text,b5f8be13d719,1 year ago
mixtral:8x7b-instruct-v0.1-q3_K_S,20GB,32K,Text,8214ed645fc2,1 year ago
mixtral:8x7b-instruct-v0.1-q3_K_M,23GB,32K,Text,0f4e85e45e0c,1 year ago
mixtral:8x7b-instruct-v0.1-q3_K_L,24GB,32K,Text,44a28a0d7d9a,1 year ago
mixtral:8x7b-instruct-v0.1-q4_0,26GB,32K,Text,a3b6bef0f836,1 year ago
mixtral:8x7b-instruct-v0.1-q4_1,29GB,32K,Text,4ca263ed25e3,1 year ago
mixtral:8x7b-instruct-v0.1-q4_K_S,27GB,32K,Text,39c18795563b,1 year ago
mixtral:8x7b-instruct-v0.1-q4_K_M,28GB,32K,Text,a69121c90013,1 year ago
mixtral:8x7b-instruct-v0.1-q5_0,32GB,32K,Text,94bb1b270af9,1 year ago
mixtral:8x7b-instruct-v0.1-q5_1,35GB,32K,Text,1084fd5133d1,1 year ago
mixtral:8x7b-instruct-v0.1-q5_K_S,32GB,32K,Text,68f12ddfe676,1 year ago
mixtral:8x7b-instruct-v0.1-q5_K_M,33GB,32K,Text,d011e1981bd1,1 year ago
mixtral:8x7b-instruct-v0.1-q6_K,38GB,32K,Text,ceaac0dbeffa,1 year ago
mixtral:8x7b-instruct-v0.1-q8_0,50GB,32K,Text,4b4321b5a853,1 year ago
mixtral:8x7b-instruct-v0.1-fp16,93GB,32K,Text,96c204672c06,1 year ago
mixtral:8x7b-text,26GB,32K,Text,29c986d45fba,1 year ago
mixtral:8x7b-text-v0.1-q2_K,17GB,32K,Text,279c2f61bb77,1 year ago
mixtral:8x7b-text-v0.1-q3_K_S,20GB,32K,Text,b8bdfbd641af,1 year ago
mixtral:8x7b-text-v0.1-q3_K_M,23GB,32K,Text,2ec7294409e7,1 year ago
mixtral:8x7b-text-v0.1-q3_K_L,24GB,32K,Text,09d5395d1226,1 year ago
mixtral:8x7b-text-v0.1-q4_0,26GB,32K,Text,29c986d45fba,1 year ago
mixtral:8x7b-text-v0.1-q4_1,29GB,32K,Text,20f1c9c7d6ee,1 year ago
mixtral:8x7b-text-v0.1-q4_K_S,27GB,32K,Text,45ad2aba6509,1 year ago
mixtral:8x7b-text-v0.1-q4_K_M,28GB,32K,Text,2b19c246b20c,1 year ago
mixtral:8x7b-text-v0.1-q5_0,32GB,32K,Text,1692f253599b,1 year ago
mixtral:8x7b-text-v0.1-q5_1,35GB,32K,Text,24ef911cb6dc,1 year ago
mixtral:8x7b-text-v0.1-q5_K_S,32GB,32K,Text,0f550cd04214,1 year ago
mixtral:8x7b-text-v0.1-q5_K_M,33GB,32K,Text,957a4d1fad36,1 year ago
mixtral:8x7b-text-v0.1-q6_K,38GB,32K,Text,0331d26f4ac1,1 year ago
mixtral:8x7b-text-v0.1-q8_0,50GB,32K,Text,50d4ad519912,1 year ago
mixtral:8x7b-text-v0.1-fp16,93GB,32K,Text,6c08977f2b56,1 year ago
mixtral:8x22b-instruct,80GB,64K,Text,e8479ee1cb51,2 years ago
mixtral:8x22b-instruct-v0.1-q2_K,52GB,64K,Text,cf96f64cdf60,2 years ago
mixtral:8x22b-instruct-v0.1-q3_K_S,62GB,64K,Text,50ec4fbf79f2,2 years ago
mixtral:8x22b-instruct-v0.1-q3_K_M,68GB,64K,Text,d552821493b8,2 years ago
mixtral:8x22b-instruct-v0.1-q3_K_L,73GB,64K,Text,85c9d74f72e2,2 years ago
mixtral:8x22b-instruct-v0.1-q4_0,80GB,64K,Text,e8479ee1cb51,2 years ago
mixtral:8x22b-instruct-v0.1-q4_1,88GB,64K,Text,0ea2df035a44,2 years ago
mixtral:8x22b-instruct-v0.1-q4_K_S,80GB,64K,Text,a9be4647cd05,2 years ago
mixtral:8x22b-instruct-v0.1-q4_K_M,86GB,64K,Text,de58127cf267,2 years ago
mixtral:8x22b-instruct-v0.1-q5_0,97GB,64K,Text,c4d73325754c,2 years ago
mixtral:8x22b-instruct-v0.1-q5_1,106GB,64K,Text,a8e4c57d9fdb,2 years ago
mixtral:8x22b-instruct-v0.1-q5_K_S,97GB,64K,Text,7dc2b27d2ce5,2 years ago
mixtral:8x22b-instruct-v0.1-q5_K_M,100GB,64K,Text,040d78ec94bc,2 years ago
mixtral:8x22b-instruct-v0.1-q6_K,116GB,64K,Text,2a597519778d,2 years ago
mixtral:8x22b-instruct-v0.1-q8_0,149GB,64K,Text,74d06fe380a1,2 years ago
mixtral:8x22b-instruct-v0.1-fp16,281GB,64K,Text,be69186cc79b,2 years ago
mixtral:8x22b-text,80GB,64K,Text,eb6b1cd64bb1,2 years ago
mixtral:8x22b-text-v0.1-q2_K,52GB,64K,Text,9a187644e490,2 years ago
mixtral:8x22b-text-v0.1-q3_K_S,61GB,64K,Text,4f5b5d113e8d,2 years ago
mixtral:8x22b-text-v0.1-q3_K_M,68GB,64K,Text,a45b937d5d88,2 years ago
mixtral:8x22b-text-v0.1-q3_K_L,73GB,64K,Text,5637d20e8d2b,2 years ago
mixtral:8x22b-text-v0.1-q4_0,80GB,64K,Text,eb6b1cd64bb1,2 years ago
mixtral:8x22b-text-v0.1-q4_1,88GB,64K,Text,068cdfff8170,2 years ago
mixtral:8x22b-text-v0.1-q4_K_S,80GB,64K,Text,f43943467ac8,2 years ago
mixtral:8x22b-text-v0.1-q4_K_M,86GB,64K,Text,48fd198637f7,2 years ago
mixtral:8x22b-text-v0.1-q5_0,97GB,64K,Text,4f7e4cb4532b,2 years ago
mixtral:8x22b-text-v0.1-q5_1,106GB,64K,Text,77414be8fbac,2 years ago
mixtral:8x22b-text-v0.1-q5_K_S,97GB,64K,Text,9e736b483924,2 years ago
mixtral:8x22b-text-v0.1-q5_K_M,100GB,64K,Text,92a2e32d7f87,2 years ago
mixtral:8x22b-text-v0.1-q6_K,116GB,64K,Text,2fb8e840c060,2 years ago
mixtral:8x22b-text-v0.1-q8_0,149GB,64K,Text,619b5b9ddad2,2 years ago
mixtral:8x22b-text-v0.1-fp16,281GB,64K,Text,bada034b7898,2 years ago
mixtral:v0.1-instruct,80GB,64K,Text,e8479ee1cb51,2 years ago
