Name,Size / Usage,Context,Input,Digest,Updated
yarn-mistral:latest,4.1GB,32K,Text,8e9c368a0ae4,2 years ago
yarn-mistral:7b,4.1GB,32K,Text,8e9c368a0ae4,2 years ago
yarn-mistral:7b-128k,4.1GB,128K,Text,6511b83c33d5,2 years ago
yarn-mistral:7b-128k-q2_K,3.1GB,128K,Text,4801801e65c9,2 years ago
yarn-mistral:7b-128k-q3_K_S,3.2GB,128K,Text,150773407811,2 years ago
yarn-mistral:7b-128k-q3_K_M,3.5GB,128K,Text,c910ed0b2220,2 years ago
yarn-mistral:7b-128k-q3_K_L,3.8GB,128K,Text,04e1735cc221,2 years ago
yarn-mistral:7b-128k-q4_0,4.1GB,128K,Text,6511b83c33d5,2 years ago
yarn-mistral:7b-128k-q4_1,4.6GB,128K,Text,2f2460d79fe1,2 years ago
yarn-mistral:7b-128k-q4_K_S,4.1GB,128K,Text,60021a54efbe,2 years ago
yarn-mistral:7b-128k-q4_K_M,4.4GB,128K,Text,b29d79d2f3ef,2 years ago
yarn-mistral:7b-128k-q5_0,5.0GB,128K,Text,f6e752bb89ba,2 years ago
yarn-mistral:7b-128k-q5_1,5.4GB,128K,Text,27a21ac0ee02,2 years ago
yarn-mistral:7b-128k-q5_K_S,5.0GB,128K,Text,48e075e27562,2 years ago
yarn-mistral:7b-128k-q5_K_M,5.1GB,128K,Text,e73d718076ea,2 years ago
yarn-mistral:7b-128k-q6_K,5.9GB,128K,Text,d2efb1f4a053,2 years ago
yarn-mistral:7b-128k-q8_0,7.7GB,128K,Text,c7d7fcc635b3,2 years ago
yarn-mistral:7b-128k-fp16,14GB,128K,Text,24fcccd3ec98,2 years ago
yarn-mistral:7b-64k,4.1GB,32K,Text,8e9c368a0ae4,2 years ago
yarn-mistral:7b-64k-q2_K,3.1GB,32K,Text,7e69098a0185,2 years ago
yarn-mistral:7b-64k-q3_K_S,3.2GB,32K,Text,9f1a8b3eec09,2 years ago
yarn-mistral:7b-64k-q3_K_M,3.5GB,32K,Text,2fe3d1edecaa,2 years ago
yarn-mistral:7b-64k-q3_K_L,3.8GB,32K,Text,6fec537d7505,2 years ago
yarn-mistral:7b-64k-q4_0,4.1GB,32K,Text,8e9c368a0ae4,2 years ago
yarn-mistral:7b-64k-q4_1,4.6GB,32K,Text,0b1ddb2af722,2 years ago
yarn-mistral:7b-64k-q4_K_S,4.1GB,32K,Text,6a3c24b1e938,2 years ago
yarn-mistral:7b-64k-q4_K_M,4.4GB,32K,Text,f9434e5ec017,2 years ago
yarn-mistral:7b-64k-q5_0,5.0GB,32K,Text,917060ebb0d8,2 years ago
yarn-mistral:7b-64k-q5_1,5.4GB,32K,Text,5efec29a0821,2 years ago
yarn-mistral:7b-64k-q5_K_S,5.0GB,32K,Text,1fb11cbfb6ad,2 years ago
yarn-mistral:7b-64k-q5_K_M,5.1GB,32K,Text,1ac045b0f86f,2 years ago
yarn-mistral:7b-64k-q6_K,5.9GB,32K,Text,c3108d901ef7,2 years ago
yarn-mistral:7b-64k-q8_0,7.7GB,32K,Text,236ce568b73c,2 years ago
