Name,Size / Usage,Context,Input,Digest,Updated
nemotron-mini:latest,2.7GB,4K,Text,ed76ab18784f,1 year ago
nemotron-mini:4b,2.7GB,4K,Text,ed76ab18784f,1 year ago
nemotron-mini:4b-instruct-q2_K,1.9GB,4K,Text,71c1aed58cc4,1 year ago
nemotron-mini:4b-instruct-q3_K_S,2.1GB,4K,Text,28cabdeeb76e,1 year ago
nemotron-mini:4b-instruct-q3_K_M,2.3GB,4K,Text,91b07164ba46,1 year ago
nemotron-mini:4b-instruct-q3_K_L,2.5GB,4K,Text,899020cd5b1e,1 year ago
nemotron-mini:4b-instruct-q4_0,2.6GB,4K,Text,041bd339f71f,1 year ago
nemotron-mini:4b-instruct-q4_1,2.8GB,4K,Text,715f0114b145,1 year ago
nemotron-mini:4b-instruct-q4_K_S,2.6GB,4K,Text,59f3d2ea76f8,1 year ago
nemotron-mini:4b-instruct-q4_K_M,2.7GB,4K,Text,ed76ab18784f,1 year ago
nemotron-mini:4b-instruct-q5_0,3.0GB,4K,Text,e5f64c7116d1,1 year ago
nemotron-mini:4b-instruct-q5_1,3.2GB,4K,Text,8c244be13dfe,1 year ago
nemotron-mini:4b-instruct-q5_K_S,3.0GB,4K,Text,072f4b7daa17,1 year ago
nemotron-mini:4b-instruct-q5_K_M,3.1GB,4K,Text,9e36e563dbdd,1 year ago
nemotron-mini:4b-instruct-q6_K,3.4GB,4K,Text,4cf36901911e,1 year ago
nemotron-mini:4b-instruct-q8_0,4.5GB,4K,Text,fe86a4d04f9f,1 year ago
nemotron-mini:4b-instruct-fp16,8.4GB,4K,Text,d0d806e9853c,1 year ago
