Name,Size / Usage,Context,Input,Digest,Updated
nemotron:latest,43GB,128K,Text,2262f047a28a,1 year ago
nemotron:70b,43GB,128K,Text,2262f047a28a,1 year ago
nemotron:70b-instruct-q2_K,26GB,128K,Text,f4743c4c6e52,1 year ago
nemotron:70b-instruct-q3_K_S,31GB,128K,Text,49258a4a766a,1 year ago
nemotron:70b-instruct-q3_K_M,34GB,128K,Text,a0a786c3dc39,1 year ago
nemotron:70b-instruct-q3_K_L,37GB,128K,Text,a6c94d07d7c9,1 year ago
nemotron:70b-instruct-q4_0,40GB,128K,Text,aade1b26eba3,1 year ago
nemotron:70b-instruct-q4_1,44GB,128K,Text,c463f99d4c5e,1 year ago
nemotron:70b-instruct-q4_K_S,40GB,128K,Text,0e32f30ad742,1 year ago
nemotron:70b-instruct-q4_K_M,43GB,128K,Text,2262f047a28a,1 year ago
nemotron:70b-instruct-q5_0,49GB,128K,Text,4c83a56211a0,1 year ago
nemotron:70b-instruct-q5_1,53GB,128K,Text,32ce9fe7477b,1 year ago
nemotron:70b-instruct-q5_K_S,49GB,128K,Text,c5dfebb28f5f,1 year ago
nemotron:70b-instruct-q5_K_M,50GB,128K,Text,def2cefbe818,1 year ago
nemotron:70b-instruct-q6_K,58GB,128K,Text,8d12c48f836a,1 year ago
nemotron:70b-instruct-q8_0,75GB,128K,Text,8865b9ab3285,1 year ago
nemotron:70b-instruct-fp16,141GB,128K,Text,e02a46ff1109,1 year ago
