Name,Size / Usage,Context,Input,Digest,Updated,source,size_gb,is_installed
granite-embedding:30m-english-q4_K_M,30MB,512,Text,772f63cb8959,1 year ago,ibm\granite-embedding.csv,0.029296875,False
granite-embedding:30m-english-q8_0,34MB,512,Text,b00a80937371,1 year ago,ibm\granite-embedding.csv,0.033203125,False
granite-embedding:30m,63MB,512,Text,eb4c533ba6f7,1 year ago,granite\granite-embedding.csv,0.0615234375,False
granite-embedding:latest,63MB,512,Text,eb4c533ba6f7,1 year ago,granite\granite-embedding.csv,0.0615234375,False
granite-embedding:30m-en-fp16,63MB,512,Text,eb4c533ba6f7,1 year ago,granite\granite-embedding.csv,0.0615234375,False
granite-embedding:30m,63MB,512,Text,96e3c340e259,1 year ago,ibm\granite-embedding.csv,0.0615234375,False
granite-embedding:30m-english-f16,63MB,512,Text,96e3c340e259,1 year ago,ibm\granite-embedding.csv,0.0615234375,False
granite-embedding:30m-en,63MB,512,Text,eb4c533ba6f7,1 year ago,granite\granite-embedding.csv,0.0615234375,False
granite-embedding:125m-english-q4_K_M,88MB,512,Text,9f919db9aa33,1 year ago,ibm\granite-embedding.csv,0.0859375,False
granite-embedding:107m-multilingual-q4_K_M,117MB,512,Text,68dc42680429,1 year ago,ibm\granite-embedding.csv,0.1142578125,False
granite-embedding:107m-multilingual-q8_0,121MB,512,Text,4b7625a1e347,1 year ago,ibm\granite-embedding.csv,0.1181640625,False
granite-embedding:125m-english-q8_0,135MB,512,Text,2375dd6b7253,1 year ago,ibm\granite-embedding.csv,0.1318359375,False
granite4:350m-h-base-q2_K,160MB,1M,Text,8ebc2d29ab98,10 months ago,ibm\granite4.csv,0.15625,False
granite4:350m-h-q2_K,160MB,1M,Text,095c6a011c36,10 months ago,ibm\granite4.csv,0.15625,False
granite4:350m-q2_K,181MB,32K,Text,4388094af88e,10 months ago,ibm\granite4.csv,0.1767578125,False
granite4:350m-base-q2_K,181MB,32K,Text,c6b51e1b6648,10 months ago,ibm\granite4.csv,0.1767578125,False
granite4:350m-h-q3_K_S,181MB,1M,Text,e376efd6da33,10 months ago,ibm\granite4.csv,0.1767578125,False
granite4:350m-h-base-q3_K_S,181MB,1M,Text,238f8ab7cce4,10 months ago,ibm\granite4.csv,0.1767578125,False
granite4:350m-h-q3_K_M,189MB,1M,Text,eca5dfd0dd8d,10 months ago,ibm\granite4.csv,0.1845703125,False
granite4:350m-h-base-q3_K_M,189MB,1M,Text,479207290be7,10 months ago,ibm\granite4.csv,0.1845703125,False
granite4:350m-q3_K_S,195MB,32K,Text,8e8f22f173de,10 months ago,ibm\granite4.csv,0.1904296875,False
granite4:350m-base-q3_K_S,195MB,32K,Text,229dfb8c5522,10 months ago,ibm\granite4.csv,0.1904296875,False
granite4:350m-h-q3_K_L,195MB,1M,Text,ece1ad8bbde4,10 months ago,ibm\granite4.csv,0.1904296875,False
granite4:350m-h-base-q3_K_L,195MB,1M,Text,44c4aecd6f23,10 months ago,ibm\granite4.csv,0.1904296875,False
granite4:350m-q3_K_M,208MB,32K,Text,f6f52d09dec5,10 months ago,ibm\granite4.csv,0.203125,False
granite4:350m-base-q3_K_M,208MB,32K,Text,2ac9fd2e0bc1,10 months ago,ibm\granite4.csv,0.203125,False
granite4:350m-h-q4_0,216MB,1M,Text,b44a3d784081,10 months ago,ibm\granite4.csv,0.2109375,False
