Name,Size / Usage,Context,Input,Digest,Updated
phi3.5:latest,2.2GB,128K,Text,61819fb370a3,1 year ago
phi3.5:3.8b,2.2GB,128K,Text,61819fb370a3,1 year ago
phi3.5:3.8b-mini-instruct-q2_K,1.4GB,4K,Text,45b8dc82a846,1 year ago
phi3.5:3.8b-mini-instruct-q3_K_S,1.7GB,4K,Text,a96deac0d01a,1 year ago
phi3.5:3.8b-mini-instruct-q3_K_M,2.0GB,4K,Text,0d7837063f04,1 year ago
phi3.5:3.8b-mini-instruct-q3_K_L,2.1GB,4K,Text,1a0c69ceca7c,1 year ago
phi3.5:3.8b-mini-instruct-q4_0,2.2GB,128K,Text,61819fb370a3,1 year ago
phi3.5:3.8b-mini-instruct-q4_1,2.4GB,4K,Text,4cbfba8563ff,1 year ago
phi3.5:3.8b-mini-instruct-q4_K_S,2.2GB,4K,Text,593801e5a118,1 year ago
phi3.5:3.8b-mini-instruct-q4_K_M,2.4GB,4K,Text,570961596984,1 year ago
phi3.5:3.8b-mini-instruct-q5_0,2.6GB,4K,Text,08d2a846d344,1 year ago
phi3.5:3.8b-mini-instruct-q5_1,2.9GB,4K,Text,56d7624b988b,1 year ago
phi3.5:3.8b-mini-instruct-q5_K_S,2.6GB,4K,Text,359cb1eb71b5,1 year ago
phi3.5:3.8b-mini-instruct-q5_K_M,2.8GB,4K,Text,d8410edb4013,1 year ago
phi3.5:3.8b-mini-instruct-q6_K,3.1GB,4K,Text,64777e5c6803,1 year ago
phi3.5:3.8b-mini-instruct-q8_0,4.1GB,4K,Text,8b50e8e1e216,1 year ago
phi3.5:3.8b-mini-instruct-fp16,7.6GB,4K,Text,4611ed13d496,1 year ago
