Name,Size / Usage,Context,Input,Digest,Updated
phi3:latest,2.2GB,128K,Text,4f2222927938,2 years ago
phi3:instruct,2.2GB,128K,Text,4f2222927938,2 years ago
phi3:medium,7.9GB,128K,Text,cf611a26b048,2 years ago
phi3:mini,2.2GB,128K,Text,4f2222927938,2 years ago
phi3:3.8b,2.2GB,128K,Text,4f2222927938,2 years ago
phi3:14b,7.9GB,128K,Text,cf611a26b048,2 years ago
phi3:3.8b-instruct,2.2GB,128K,Text,4f2222927938,2 years ago
phi3:3.8b-mini-128k-instruct-q2_K,1.4GB,4K,Text,0dc429b5761b,2 years ago
phi3:3.8b-mini-128k-instruct-q3_K_S,1.7GB,4K,Text,b867d0390a90,2 years ago
phi3:3.8b-mini-128k-instruct-q3_K_M,2.0GB,4K,Text,bf51ffbfc6fd,2 years ago
phi3:3.8b-mini-128k-instruct-q3_K_L,2.1GB,4K,Text,58dabb8dab6e,2 years ago
phi3:3.8b-mini-128k-instruct-q4_0,2.2GB,128K,Text,4f2222927938,2 years ago
phi3:3.8b-mini-128k-instruct-q4_1,2.4GB,4K,Text,7ed2c3a2024e,2 years ago
phi3:3.8b-mini-128k-instruct-q4_K_S,2.2GB,4K,Text,786fb198d976,2 years ago
phi3:3.8b-mini-128k-instruct-q4_K_M,2.4GB,4K,Text,5a157c52afff,2 years ago
phi3:3.8b-mini-128k-instruct-q5_0,2.6GB,128K,Text,68e0cbe0eb8a,2 years ago
phi3:3.8b-mini-128k-instruct-q5_1,2.9GB,4K,Text,7ccd40684bd5,2 years ago
phi3:3.8b-mini-128k-instruct-q5_K_S,2.6GB,4K,Text,86b1e7aa6fd8,2 years ago
phi3:3.8b-mini-128k-instruct-q5_K_M,2.8GB,4K,Text,ffbd0ae55416,2 years ago
phi3:3.8b-mini-128k-instruct-q6_K,3.1GB,4K,Text,90771235c599,2 years ago
phi3:3.8b-mini-128k-instruct-q8_0,4.1GB,4K,Text,adc0589ce82e,2 years ago
phi3:3.8b-mini-128k-instruct-fp16,7.6GB,4K,Text,40010fd60dc7,2 years ago
phi3:3.8b-mini-4k-instruct-q2_K,1.4GB,4K,Text,f71db22ea23b,2 years ago
phi3:3.8b-mini-4k-instruct-q3_K_S,1.7GB,4K,Text,71d5c0da0a45,2 years ago
phi3:3.8b-mini-4k-instruct-q3_K_M,2.0GB,4K,Text,9971a6367aaa,2 years ago
phi3:3.8b-mini-4k-instruct-q3_K_L,2.1GB,4K,Text,7b07bdbff049,2 years ago
phi3:3.8b-mini-4k-instruct-q4_0,2.2GB,4K,Text,9e6804ea5320,2 years ago
phi3:3.8b-mini-4k-instruct-q4_1,2.4GB,4K,Text,ce621d0c2d06,2 years ago
phi3:3.8b-mini-4k-instruct-q4_K_S,2.2GB,4K,Text,3a368186663f,2 years ago
phi3:3.8b-mini-4k-instruct-q4_K_M,2.4GB,4K,Text,d5ea514251bf,2 years ago
phi3:3.8b-mini-4k-instruct-q5_0,2.6GB,4K,Text,df35ca8fb243,2 years ago
phi3:3.8b-mini-4k-instruct-q5_1,2.9GB,4K,Text,416e85af3eae,2 years ago
phi3:3.8b-mini-4k-instruct-q5_K_S,2.6GB,4K,Text,2f614430e421,2 years ago
phi3:3.8b-mini-4k-instruct-q5_K_M,2.8GB,4K,Text,a902ed3435bb,2 years ago
phi3:3.8b-mini-4k-instruct-q6_K,3.1GB,4K,Text,bbae7edc39d4,2 years ago
