Name,Size / Usage,Context,Input,Digest,Updated
qwen:latest,2.3GB,32K,Text,d53d04290064,2 years ago
qwen:0.5b,395MB,32K,Text,b5dc5e784f2a,2 years ago
qwen:1.8b,1.1GB,32K,Text,b6e8ec2e7126,2 years ago
qwen:4b,2.3GB,32K,Text,d53d04290064,2 years ago
qwen:7b,4.5GB,32K,Text,2091ee8c8d8f,2 years ago
qwen:14b,8.2GB,32K,Text,80362ced6553,2 years ago
qwen:32b,18GB,32K,Text,26e7e8447f5d,2 years ago
qwen:72b,41GB,32K,Text,e1c64582de5c,2 years ago
qwen:110b,63GB,32K,Text,7fed4b7787da,2 years ago
qwen:0.5b-chat,395MB,32K,Text,b5dc5e784f2a,2 years ago
qwen:0.5b-chat-v1.5-q2_K,298MB,32K,Text,a16189bc79c0,2 years ago
qwen:0.5b-chat-v1.5-q3_K_S,333MB,32K,Text,0bcee5f34ad7,2 years ago
qwen:0.5b-chat-v1.5-q3_K_M,350MB,32K,Text,b18e5c255a90,2 years ago
qwen:0.5b-chat-v1.5-q3_K_L,364MB,32K,Text,d184d2901228,2 years ago
qwen:0.5b-chat-v1.5-q4_0,395MB,32K,Text,b5dc5e784f2a,2 years ago
qwen:0.5b-chat-v1.5-q4_1,424MB,32K,Text,1bf15c40f38e,2 years ago
qwen:0.5b-chat-v1.5-q4_K_S,397MB,32K,Text,5d85925638c3,2 years ago
qwen:0.5b-chat-v1.5-q4_K_M,407MB,32K,Text,e1c9c6192a7e,2 years ago
qwen:0.5b-chat-v1.5-q5_0,453MB,32K,Text,60ea3fa139a6,2 years ago
qwen:0.5b-chat-v1.5-q5_1,482MB,32K,Text,a60a006869f5,2 years ago
qwen:0.5b-chat-v1.5-q5_K_S,453MB,32K,Text,1cf5f7bb58c9,2 years ago
qwen:0.5b-chat-v1.5-q5_K_M,459MB,32K,Text,743996dfe09d,2 years ago
qwen:0.5b-chat-v1.5-q6_K,515MB,32K,Text,0d79ae8737db,2 years ago
qwen:0.5b-chat-v1.5-q8_0,665MB,32K,Text,38781999773b,2 years ago
qwen:0.5b-chat-v1.5-fp16,1.2GB,32K,Text,967f7a3593ba,2 years ago
qwen:0.5b-text,395MB,32K,Text,f92ac32068ca,2 years ago
qwen:0.5b-text-v1.5-q2_K,298MB,32K,Text,6be7d85c1f37,2 years ago
qwen:0.5b-text-v1.5-q3_K_S,333MB,32K,Text,37eeb0d10fd8,2 years ago
qwen:0.5b-text-v1.5-q3_K_M,350MB,32K,Text,7b641307e2fe,2 years ago
qwen:0.5b-text-v1.5-q3_K_L,364MB,32K,Text,49837f2c5b03,2 years ago
qwen:0.5b-text-v1.5-q4_0,395MB,32K,Text,f92ac32068ca,2 years ago
qwen:0.5b-text-v1.5-q4_1,424MB,32K,Text,8634f265be16,2 years ago
qwen:0.5b-text-v1.5-q4_K_S,397MB,32K,Text,b0702a4235ed,2 years ago
qwen:0.5b-text-v1.5-q4_K_M,407MB,32K,Text,d8d0c86b10cd,2 years ago
qwen:0.5b-text-v1.5-q5_0,453MB,32K,Text,3822065b797a,2 years ago
qwen:0.5b-text-v1.5-q5_1,482MB,32K,Text,9f7ae5e6520b,2 years ago
qwen:0.5b-text-v1.5-q5_K_S,453MB,32K,Text,4ea8ddc7c860,2 years ago
qwen:0.5b-text-v1.5-q5_K_M,459MB,32K,Text,dcedf0beaf7e,2 years ago
