Name,Size / Usage,Context,Input,Digest,Updated
qwen2.5:latest,4.7GB,32K,Text,845dbda0ea48,1 year ago
qwen2.5:0.5b,398MB,32K,Text,a8b0c5157701,1 year ago
qwen2.5:1.5b,986MB,32K,Text,65ec06548149,1 year ago
qwen2.5:3b,1.9GB,32K,Text,357c53fb659c,1 year ago
qwen2.5:7b,4.7GB,32K,Text,845dbda0ea48,1 year ago
qwen2.5:14b,9.0GB,32K,Text,7cdf5a0187d5,1 year ago
qwen2.5:32b,20GB,32K,Text,9f13ba1299af,1 year ago
qwen2.5:72b,47GB,32K,Text,424bad2cc13f,1 year ago
qwen2.5:0.5b-base,398MB,32K,Text,24c564a74dea,1 year ago
qwen2.5:0.5b-base-q2_K,339MB,32K,Text,b439066a7c50,1 year ago
qwen2.5:0.5b-base-q3_K_S,338MB,32K,Text,cf1fe7a28bac,1 year ago
qwen2.5:0.5b-base-q3_K_M,355MB,32K,Text,2b0f4078dcc1,1 year ago
qwen2.5:0.5b-base-q3_K_L,369MB,32K,Text,59bf60d67517,1 year ago
qwen2.5:0.5b-base-q4_0,352MB,32K,Text,a990247b9c63,1 year ago
qwen2.5:0.5b-base-q4_1,375MB,32K,Text,50cc344abeb2,1 year ago
qwen2.5:0.5b-base-q4_K_S,385MB,32K,Text,75db83387279,1 year ago
qwen2.5:0.5b-base-q4_K_M,398MB,32K,Text,24c564a74dea,1 year ago
qwen2.5:0.5b-base-q5_0,397MB,32K,Text,a30fbb649ad5,1 year ago
qwen2.5:0.5b-base-q5_1,419MB,32K,Text,c3e31c5b32da,1 year ago
qwen2.5:0.5b-base-q5_K_S,413MB,32K,Text,2484afe4f04e,1 year ago
qwen2.5:0.5b-base-q8_0,531MB,32K,Text,db0459695543,1 year ago
qwen2.5:0.5b-instruct,398MB,32K,Text,a8b0c5157701,1 year ago
qwen2.5:0.5b-instruct-q2_K,339MB,32K,Text,fa66a85e7fe2,1 year ago
qwen2.5:0.5b-instruct-q3_K_S,338MB,32K,Text,2b61ae1bb74f,1 year ago
qwen2.5:0.5b-instruct-q3_K_M,355MB,32K,Text,a1b962ae1ffb,1 year ago
qwen2.5:0.5b-instruct-q3_K_L,369MB,32K,Text,2ea07e2fd539,1 year ago
qwen2.5:0.5b-instruct-q4_0,352MB,32K,Text,44deb286b008,1 year ago
qwen2.5:0.5b-instruct-q4_1,375MB,32K,Text,61378941e31f,1 year ago
qwen2.5:0.5b-instruct-q4_K_S,385MB,32K,Text,6f4611e3bd35,1 year ago
qwen2.5:0.5b-instruct-q4_K_M,398MB,32K,Text,a8b0c5157701,1 year ago
qwen2.5:0.5b-instruct-q5_0,397MB,32K,Text,4a8f6fc82b6e,1 year ago
qwen2.5:0.5b-instruct-q5_1,419MB,32K,Text,95b03700b65c,1 year ago
qwen2.5:0.5b-instruct-q5_K_S,413MB,32K,Text,5830fc2c0193,1 year ago
qwen2.5:0.5b-instruct-q5_K_M,420MB,32K,Text,0762ec590a8c,1 year ago
qwen2.5:0.5b-instruct-q6_K,506MB,32K,Text,ac75f8387539,1 year ago
qwen2.5:0.5b-instruct-q8_0,531MB,32K,Text,84d044692a2c,1 year ago
qwen2.5:0.5b-instruct-fp16,994MB,32K,Text,c82efd44bfdc,1 year ago
qwen2.5:1.5b-instruct,986MB,32K,Text,65ec06548149,1 year ago
qwen2.5:1.5b-instruct-q2_K,676MB,32K,Text,c239521b8b51,1 year ago
qwen2.5:1.5b-instruct-q3_K_S,761MB,32K,Text,2ead4934f6e9,1 year ago
qwen2.5:1.5b-instruct-q3_K_M,824MB,32K,Text,5a4d48f91dab,1 year ago
qwen2.5:1.5b-instruct-q3_K_L,880MB,32K,Text,b16c18a133fa,1 year ago
qwen2.5:1.5b-instruct-q4_0,935MB,32K,Text,635e70c8687b,1 year ago
qwen2.5:1.5b-instruct-q4_1,1.0GB,32K,Text,4543b48a5085,1 year ago
qwen2.5:1.5b-instruct-q4_K_S,940MB,32K,Text,17dd5468f0a7,1 year ago
qwen2.5:1.5b-instruct-q4_K_M,986MB,32K,Text,65ec06548149,1 year ago
qwen2.5:1.5b-instruct-q5_0,1.1GB,32K,Text,267c3094f0b0,1 year ago
qwen2.5:1.5b-instruct-q5_1,1.2GB,32K,Text,828d5d698355,1 year ago
qwen2.5:1.5b-instruct-q5_K_S,1.1GB,32K,Text,4dce61337043,1 year ago
