Name,Size / Usage,Context,Input,Digest,Updated
qwen2.5vl:latest,6.0GB,125K,"Text, Image",5ced39dfa4ba,1 year ago
qwen2.5vl:3b,3.2GB,125K,"Text, Image",fb90415cde1e,1 year ago
qwen2.5vl:7b,6.0GB,125K,"Text, Image",5ced39dfa4ba,1 year ago
qwen2.5vl:32b,21GB,125K,"Text, Image",3edc3a52fe98,1 year ago
qwen2.5vl:72b,49GB,125K,"Text, Image",05ea68274581,1 year ago
qwen2.5vl:3b-q4_K_M,3.2GB,125K,"Text, Image",fb90415cde1e,1 year ago
qwen2.5vl:3b-q8_0,4.6GB,125K,"Text, Image",21858d9f5230,1 year ago
qwen2.5vl:3b-fp16,7.5GB,125K,"Text, Image",0aeee3542efe,1 year ago
qwen2.5vl:7b-q4_K_M,6.0GB,125K,"Text, Image",5ced39dfa4ba,1 year ago
qwen2.5vl:7b-q8_0,9.4GB,125K,"Text, Image",434c6f75b469,1 year ago
qwen2.5vl:7b-fp16,17GB,125K,"Text, Image",db03e34551a0,1 year ago
qwen2.5vl:32b-q4_K_M,21GB,125K,"Text, Image",3edc3a52fe98,1 year ago
qwen2.5vl:32b-q8_0,36GB,125K,"Text, Image",2702bb339158,1 year ago
qwen2.5vl:32b-fp16,67GB,125K,"Text, Image",36c223960eca,1 year ago
qwen2.5vl:72b-q4_K_M,49GB,125K,"Text, Image",05ea68274581,1 year ago
qwen2.5vl:72b-q8_0,79GB,125K,"Text, Image",7ab696d4a6e8,1 year ago
qwen2.5vl:72b-fp16,147GB,125K,"Text, Image",740f061f9f08,1 year ago
