Name,Size / Usage,Context,Input,Digest,Updated
qwen2:latest,4.4GB,32K,Text,dd314f039b9d,1 year ago
qwen2:0.5b,352MB,32K,Text,6f48b936a09f,2 years ago
qwen2:1.5b,935MB,32K,Text,f6daf2b25194,2 years ago
qwen2:7b,4.4GB,32K,Text,dd314f039b9d,1 year ago
qwen2:72b,41GB,32K,Text,93563ef658b2,1 year ago
qwen2:0.5b-instruct,352MB,32K,Text,6f48b936a09f,2 years ago
qwen2:0.5b-instruct-q2_K,339MB,32K,Text,06dda8c1519a,2 years ago
qwen2:0.5b-instruct-q3_K_S,338MB,32K,Text,ae41a13fd9b2,2 years ago
qwen2:0.5b-instruct-q3_K_M,355MB,32K,Text,2adbb16f0a5d,2 years ago
qwen2:0.5b-instruct-q3_K_L,369MB,32K,Text,425aee1fa207,2 years ago
qwen2:0.5b-instruct-q4_0,352MB,32K,Text,6f48b936a09f,2 years ago
qwen2:0.5b-instruct-q4_1,375MB,32K,Text,a1a9a139f5f4,2 years ago
qwen2:0.5b-instruct-q4_K_S,385MB,32K,Text,f6898a38eeae,2 years ago
qwen2:0.5b-instruct-q4_K_M,398MB,32K,Text,19d15f48d098,2 years ago
qwen2:0.5b-instruct-q5_0,397MB,32K,Text,b17625f38956,2 years ago
qwen2:0.5b-instruct-q5_1,419MB,32K,Text,76769ded76b2,2 years ago
qwen2:0.5b-instruct-q5_K_S,413MB,32K,Text,dfba5ca4486a,2 years ago
qwen2:0.5b-instruct-q5_K_M,420MB,32K,Text,d9515b0adb44,2 years ago
qwen2:0.5b-instruct-q6_K,506MB,32K,Text,8e5bba81c7b5,2 years ago
qwen2:0.5b-instruct-q8_0,531MB,32K,Text,6b8eef84f0bf,2 years ago
qwen2:0.5b-instruct-fp16,994MB,32K,Text,f9b12d5481d2,2 years ago
qwen2:1.5b-instruct,935MB,32K,Text,f6daf2b25194,2 years ago
qwen2:1.5b-instruct-q2_K,676MB,32K,Text,7851c5581bce,2 years ago
qwen2:1.5b-instruct-q3_K_S,761MB,32K,Text,980b3bdef07c,2 years ago
qwen2:1.5b-instruct-q3_K_M,824MB,32K,Text,4a143b4bca71,2 years ago
qwen2:1.5b-instruct-q3_K_L,880MB,32K,Text,2c7ac92e9b2a,2 years ago
qwen2:1.5b-instruct-q4_0,935MB,32K,Text,f6daf2b25194,2 years ago
qwen2:1.5b-instruct-q4_1,1.0GB,32K,Text,8cbdd0be53c3,2 years ago
qwen2:1.5b-instruct-q4_K_S,940MB,32K,Text,976868269c51,2 years ago
qwen2:1.5b-instruct-q4_K_M,986MB,32K,Text,0d2a504f5771,2 years ago
qwen2:1.5b-instruct-q5_0,1.1GB,32K,Text,945eea96cfa5,2 years ago
qwen2:1.5b-instruct-q5_1,1.2GB,32K,Text,5b1266375ca6,2 years ago
qwen2:1.5b-instruct-q5_K_S,1.1GB,32K,Text,272e01e2734a,2 years ago
qwen2:1.5b-instruct-q5_K_M,1.1GB,32K,Text,2ce7afe8f9e9,2 years ago
qwen2:1.5b-instruct-q6_K,1.3GB,32K,Text,1fcc9e410c55,2 years ago
qwen2:1.5b-instruct-q8_0,1.6GB,32K,Text,908c3f054aac,2 years ago
qwen2:1.5b-instruct-fp16,3.1GB,32K,Text,44ae02940761,2 years ago
qwen2:7b-instruct,4.4GB,32K,Text,dd314f039b9d,1 year ago
qwen2:7b-instruct-q2_K,3.0GB,32K,Text,2ce92f066b62,1 year ago
qwen2:7b-instruct-q3_K_S,3.5GB,32K,Text,ff9bc8063c30,1 year ago
qwen2:7b-instruct-q3_K_M,3.8GB,32K,Text,39ea238e2e11,1 year ago
qwen2:7b-instruct-q3_K_L,4.1GB,32K,Text,0022885490d9,1 year ago
qwen2:7b-instruct-q4_0,4.4GB,32K,Text,dd314f039b9d,1 year ago
qwen2:7b-instruct-q4_1,4.9GB,32K,Text,6cbf8f4e11ba,1 year ago
qwen2:7b-instruct-q4_K_S,4.5GB,32K,Text,47d94758e9c1,1 year ago
qwen2:7b-instruct-q4_K_M,4.7GB,32K,Text,f10f702d139e,1 year ago
qwen2:7b-instruct-q5_0,5.3GB,32K,Text,383487c3b3c4,1 year ago
qwen2:7b-instruct-q5_1,5.8GB,32K,Text,1dbbe91baa3c,1 year ago
qwen2:7b-instruct-q5_K_S,5.3GB,32K,Text,6879a027e0ab,1 year ago
qwen2:7b-instruct-q5_K_M,5.4GB,32K,Text,11803450872c,1 year ago
qwen2:7b-instruct-q6_K,6.3GB,32K,Text,43f1d6679e17,1 year ago
qwen2:7b-instruct-q8_0,8.1GB,32K,Text,5f579402cc6c,1 year ago
qwen2:7b-instruct-fp16,15GB,32K,Text,5ad93c6749a1,1 year ago
qwen2:7b-text,4.4GB,128K,Text,5c0af9e4500d,2 years ago
qwen2:7b-text-q2_K,3.0GB,128K,Text,37935d384f48,2 years ago
qwen2:7b-text-q3_K_S,3.5GB,128K,Text,2eaaf224cac3,2 years ago
qwen2:7b-text-q3_K_M,3.8GB,128K,Text,636d21d77b6c,2 years ago
qwen2:7b-text-q3_K_L,4.1GB,128K,Text,45ac40a8d58b,2 years ago
qwen2:7b-text-q4_0,4.4GB,128K,Text,5c0af9e4500d,2 years ago
qwen2:7b-text-q4_1,4.9GB,128K,Text,b765b8677fb7,2 years ago
qwen2:7b-text-q4_K_S,4.5GB,128K,Text,5cfe6a2793de,2 years ago
qwen2:7b-text-q4_K_M,4.7GB,128K,Text,37dee31a1b72,2 years ago
qwen2:7b-text-q5_0,5.3GB,128K,Text,b8336b2174d3,2 years ago
qwen2:7b-text-q5_1,5.8GB,128K,Text,0899d84212a8,2 years ago
qwen2:7b-text-q8_0,8.1GB,128K,Text,1ad9e7ef89a6,2 years ago
qwen2:72b-instruct,41GB,32K,Text,93563ef658b2,1 year ago
qwen2:72b-instruct-q2_K,30GB,32K,Text,cb6c3529e5c1,1 year ago
qwen2:72b-instruct-q3_K_S,34GB,32K,Text,ae65012ceeac,1 year ago
qwen2:72b-instruct-q3_K_M,38GB,32K,Text,448681f34ba7,1 year ago
qwen2:72b-instruct-q3_K_L,40GB,32K,Text,d78d37529ebe,1 year ago
qwen2:72b-instruct-q4_0,41GB,32K,Text,93563ef658b2,1 year ago
qwen2:72b-instruct-q4_1,46GB,32K,Text,3c2ddfc9cd29,1 year ago
qwen2:72b-instruct-q4_K_S,44GB,32K,Text,fc25a7dea14d,1 year ago
qwen2:72b-instruct-q4_K_M,47GB,32K,Text,1f4e04e13ff3,1 year ago
qwen2:72b-instruct-q5_0,50GB,32K,Text,90a488948103,1 year ago
qwen2:72b-instruct-q5_1,55GB,32K,Text,5a83f6b7eca1,1 year ago
qwen2:72b-instruct-q5_K_S,51GB,32K,Text,3f262d50f9be,1 year ago
qwen2:72b-instruct-q5_K_M,54GB,32K,Text,36ae993a19fb,1 year ago
qwen2:72b-instruct-q6_K,64GB,32K,Text,5a83045ef50f,1 year ago
qwen2:72b-instruct-q8_0,77GB,32K,Text,8f1da3c9500d,1 year ago
qwen2:72b-instruct-fp16,145GB,32K,Text,345ab45e8107,1 year ago
