Name,Size / Usage,Context,Input,Digest,Updated
qwen3-vl:latest,6.1GB,256K,"Text, Image",901cae732162,10 months ago
qwen3-vl:2b,1.9GB,256K,"Text, Image",0635d9d857d4,10 months ago
qwen3-vl:4b,3.3GB,256K,"Text, Image",1343d82ebee3,10 months ago
qwen3-vl:8b,6.1GB,256K,"Text, Image",901cae732162,10 months ago
qwen3-vl:30b,20GB,256K,"Text, Image",eda0be100877,10 months ago
qwen3-vl:32b,21GB,256K,"Text, Image",ff2e46876908,10 months ago
qwen3-vl:235b,143GB,256K,"Text, Image",dc44c5b88b17,10 months ago
qwen3-vl:2b-instruct,1.9GB,256K,"Text, Image",ea422f1e7365,10 months ago
qwen3-vl:2b-instruct-q4_K_M,1.9GB,256K,"Text, Image",ea422f1e7365,10 months ago
qwen3-vl:2b-instruct-q8_0,2.6GB,256K,"Text, Image",9674b2259d72,10 months ago
qwen3-vl:2b-instruct-bf16,4.3GB,256K,"Text, Image",fc3633fe6782,10 months ago
qwen3-vl:2b-thinking,1.9GB,256K,"Text, Image",0635d9d857d4,10 months ago
qwen3-vl:2b-thinking-q4_K_M,1.9GB,256K,"Text, Image",0635d9d857d4,10 months ago
qwen3-vl:2b-thinking-q8_0,2.6GB,256K,"Text, Image",d73b897fb9aa,10 months ago
qwen3-vl:2b-thinking-bf16,4.3GB,256K,"Text, Image",0d2c70920874,10 months ago
qwen3-vl:4b-instruct,3.3GB,256K,"Text, Image",ee4b975b58c1,10 months ago
qwen3-vl:4b-instruct-q4_K_M,3.3GB,256K,"Text, Image",ee4b975b58c1,10 months ago
qwen3-vl:4b-instruct-q8_0,5.1GB,256K,"Text, Image",3c4e71051a81,10 months ago
qwen3-vl:4b-instruct-bf16,8.9GB,256K,"Text, Image",a074ff293a12,10 months ago
qwen3-vl:4b-thinking,3.3GB,256K,"Text, Image",1343d82ebee3,10 months ago
qwen3-vl:4b-thinking-q4_K_M,3.3GB,256K,"Text, Image",1343d82ebee3,10 months ago
qwen3-vl:4b-thinking-q8_0,5.1GB,256K,"Text, Image",5b16d3ac6a65,10 months ago
qwen3-vl:4b-thinking-bf16,8.9GB,256K,"Text, Image",b04bc96a3a84,10 months ago
qwen3-vl:8b-instruct,6.1GB,256K,"Text, Image",0533d74300e4,10 months ago
qwen3-vl:8b-instruct-q4_K_M,6.1GB,256K,"Text, Image",0533d74300e4,10 months ago
qwen3-vl:8b-instruct-q8_0,9.8GB,256K,"Text, Image",eff3eb825b32,10 months ago
qwen3-vl:8b-instruct-bf16,18GB,256K,"Text, Image",55aa31bad4e2,10 months ago
qwen3-vl:8b-thinking,6.1GB,256K,"Text, Image",901cae732162,10 months ago
qwen3-vl:8b-thinking-q4_K_M,6.1GB,256K,"Text, Image",901cae732162,10 months ago
qwen3-vl:8b-thinking-q8_0,9.8GB,256K,"Text, Image",9e9bbfc77186,10 months ago
qwen3-vl:8b-thinking-bf16,18GB,256K,"Text, Image",a86052dd9262,10 months ago
qwen3-vl:30b-a3b,20GB,256K,"Text, Image",eda0be100877,10 months ago
qwen3-vl:30b-a3b-instruct,20GB,256K,"Text, Image",c871fc73fabc,10 months ago
qwen3-vl:30b-a3b-instruct-q4_K_M,20GB,256K,"Text, Image",c871fc73fabc,10 months ago
qwen3-vl:30b-a3b-instruct-q8_0,34GB,256K,"Text, Image",e274c055d4d6,10 months ago
qwen3-vl:30b-a3b-instruct-bf16,62GB,256K,"Text, Image",d4cad104e81d,10 months ago
qwen3-vl:30b-a3b-thinking,20GB,256K,"Text, Image",eda0be100877,10 months ago
qwen3-vl:30b-a3b-thinking-q4_K_M,20GB,256K,"Text, Image",eda0be100877,10 months ago
qwen3-vl:30b-a3b-thinking-q8_0,34GB,256K,"Text, Image",1f8c2d354be6,10 months ago
qwen3-vl:30b-a3b-thinking-bf16,62GB,256K,"Text, Image",ae3f9633ff7f,10 months ago
qwen3-vl:32b-instruct,21GB,256K,"Text, Image",c9a60b1a1a13,10 months ago
qwen3-vl:32b-instruct-q4_K_M,21GB,256K,"Text, Image",c9a60b1a1a13,10 months ago
qwen3-vl:32b-instruct-q8_0,36GB,256K,"Text, Image",2d0a26462393,10 months ago
qwen3-vl:32b-instruct-bf16,67GB,256K,"Text, Image",b8e3027ef0f8,10 months ago
qwen3-vl:32b-thinking,21GB,256K,"Text, Image",ff2e46876908,10 months ago
qwen3-vl:32b-thinking-q4_K_M,21GB,256K,"Text, Image",ff2e46876908,10 months ago
qwen3-vl:32b-thinking-q8_0,36GB,256K,"Text, Image",76a7fcb8a3c0,10 months ago
qwen3-vl:32b-thinking-bf16,67GB,256K,"Text, Image",11c4702a61b1,10 months ago
qwen3-vl:235b-a22b,143GB,256K,"Text, Image",dc44c5b88b17,10 months ago
qwen3-vl:235b-a22b-instruct,143GB,256K,"Text, Image",f5a03319651d,10 months ago
qwen3-vl:235b-a22b-instruct-q4_K_M,143GB,256K,"Text, Image",f5a03319651d,10 months ago
qwen3-vl:235b-a22b-instruct-q8_0,251GB,256K,"Text, Image",9b028966853a,10 months ago
qwen3-vl:235b-a22b-instruct-bf16,471GB,256K,"Text, Image",f9d397f6f0db,10 months ago
qwen3-vl:235b-a22b-thinking,143GB,256K,"Text, Image",dc44c5b88b17,10 months ago
qwen3-vl:235b-a22b-thinking-q4_K_M,143GB,256K,"Text, Image",dc44c5b88b17,10 months ago
qwen3-vl:235b-a22b-thinking-q8_0,251GB,256K,"Text, Image",01dc46352af0,10 months ago
qwen3-vl:235b-a22b-thinking-bf16,471GB,256K,"Text, Image",f78566ff0c56,10 months ago
