name,parameter_size,architecture,context_length,quantization
qwen2.5-coder:3b,3085938688,qwen2,N/A,2
qwen3:4b,4022468096,qwen3,N/A,2
qwen3:1.7b,2031739904,qwen3,N/A,2
qwen3:0.6b,751632384,qwen3,N/A,2
qwen2.5-coder:1.5b-base-q4_K_M,1543714304,qwen2,N/A,2
qwen2.5-coder:0.5b-base-q5_0,494032768,qwen2,N/A,2
qwen2.5-coder:0.5b-base-q4_K_M,494032768,qwen2,N/A,2
qwen2.5-coder:1.5b-instruct-q4_K_M,1543714304,qwen2,N/A,2
qwen2.5-coder:1.5b-base-q4_K_S,1543714304,qwen2,N/A,2
qwen2.5-coder:1.5b-base-q4_1,1543714304,qwen2,N/A,2
qwen2.5-coder:1.5b-base-q4_0,1543714304,qwen2,N/A,2
qwen2.5-coder:1.5b-base-q3_K_L,1543714304,qwen2,N/A,2
qwen2.5-coder:1.5b-base-q3_K_M,1543714304,qwen2,N/A,2
qwen2.5-coder:1.5b-base-q3_K_S,1543714304,qwen2,N/A,2
qwen2.5-coder:1.5b-base-q2_K,1543714304,qwen2,N/A,2
qwen2.5-coder:1.5b-base,1543714304,qwen2,N/A,2
qwen2.5-coder:0.5b-instruct-fp16,494032768,qwen2,N/A,2
qwen2.5-coder:0.5b-instruct-q8_0,494032768,qwen2,N/A,2
qwen2.5-coder:0.5b-instruct-q6_K,494032768,qwen2,N/A,2
qwen2.5-coder:0.5b-instruct-q5_K_M,494032768,qwen2,N/A,2
qwen2.5-coder:0.5b-instruct-q5_K_S,494032768,qwen2,N/A,2
qwen2.5-coder:0.5b-instruct-q5_1,494032768,qwen2,N/A,2
qwen2.5-coder:0.5b-instruct-q5_0,494032768,qwen2,N/A,2
qwen2.5-coder:0.5b-instruct-q4_K_M,494032768,qwen2,N/A,2
qwen2.5-coder:0.5b-instruct-q4_K_S,494032768,qwen2,N/A,2
qwen2.5-coder:0.5b-instruct-q4_1,494032768,qwen2,N/A,2
qwen2.5-coder:0.5b-instruct-q4_0,494032768,qwen2,N/A,2
qwen2.5-coder:0.5b-instruct-q3_K_L,494032768,qwen2,N/A,2
qwen2.5-coder:0.5b-instruct-q3_K_M,494032768,qwen2,N/A,2
qwen2.5-coder:0.5b-instruct-q3_K_S,494032768,qwen2,N/A,2
qwen2.5-coder:0.5b-instruct-q2_K,494032768,qwen2,N/A,2
qwen2.5-coder:0.5b-instruct,494032768,qwen2,N/A,2
qwen2.5-coder:0.5b-base-fp16,494032768,qwen2,N/A,2
qwen2.5-coder:0.5b-base-q8_0,494032768,qwen2,N/A,2
qwen2.5-coder:0.5b-base-q6_K,494032768,qwen2,N/A,2
qwen2.5-coder:0.5b-base-q5_K_M,494032768,qwen2,N/A,2
qwen2.5-coder:0.5b-base-q5_K_S,494032768,qwen2,N/A,2
qwen2.5-coder:0.5b-base-q5_1,494032768,qwen2,N/A,2
qwen2.5-coder:0.5b-base-q4_K_S,494032768,qwen2,N/A,2
qwen2.5-coder:0.5b-base-q4_1,494032768,qwen2,N/A,2
qwen2.5-coder:0.5b-base-q4_0,494032768,qwen2,N/A,2
qwen2.5-coder:0.5b-base-q3_K_L,494032768,qwen2,N/A,2
qwen2.5-coder:0.5b-base-q3_K_M,494032768,qwen2,N/A,2
qwen2.5-coder:0.5b-base-q3_K_S,494032768,qwen2,N/A,2
qwen2.5-coder:0.5b-base-q2_K,494032768,qwen2,N/A,2
qwen2.5-coder:0.5b-base,494032768,qwen2,N/A,2
qwen2.5-coder:1.5b,1543714304,qwen2,N/A,2
qwen2.5-coder:0.5b,494032768,qwen2,N/A,2
qwen2.5vl:3b,3754622976,qwen25vl,N/A,2
qwen2.5vl:3b-q4_K_M,3754622976,qwen25vl,N/A,2
qwen2:1.5b-instruct-q8_0,1543714304,qwen2,N/A,2
qwen2:1.5b-instruct-q6_K,1543714304,qwen2,N/A,2
qwen2:1.5b-instruct-q5_K_M,1543714304,qwen2,N/A,2
qwen2:1.5b-instruct-q5_K_S,1543714304,qwen2,N/A,2
qwen2:1.5b-instruct-q5_1,1543714304,qwen2,N/A,2
qwen2:1.5b-instruct-q5_0,1543714304,qwen2,N/A,2
qwen2:1.5b-instruct-q4_K_M,1543714304,qwen2,N/A,2
qwen2:1.5b-instruct-q4_K_S,1543714304,qwen2,N/A,2
qwen2:1.5b-instruct-q4_1,1543714304,qwen2,N/A,2
qwen2:1.5b-instruct-q4_0,1543714304,qwen2,N/A,2
qwen2:1.5b-instruct-q3_K_L,1543714304,qwen2,N/A,2
qwen2:1.5b-instruct-q3_K_M,1543714304,qwen2,N/A,2
qwen2:1.5b-instruct-q3_K_S,1543714304,qwen2,N/A,2
qwen2:1.5b-instruct-q2_K,1543714304,qwen2,N/A,2
qwen2:1.5b-instruct,1543714304,qwen2,N/A,2
qwen2:0.5b-instruct-fp16,494032768,qwen2,N/A,2
qwen2:0.5b-instruct-q8_0,494032768,qwen2,N/A,2
qwen2:0.5b-instruct-q6_K,494032768,qwen2,N/A,2
qwen2:0.5b-instruct-q5_K_M,494032768,qwen2,N/A,2
qwen2:0.5b-instruct-q5_K_S,494032768,qwen2,N/A,2
qwen2:0.5b-instruct-q5_1,494032768,qwen2,N/A,2
qwen2:0.5b-instruct-q5_0,494032768,qwen2,N/A,2
qwen2:0.5b-instruct-q4_K_M,494032768,qwen2,N/A,2
